Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Glyoxylate and Dicarboxylate Metabolism,3,14,0.09017713365539452,33.267857142857146,8.162790727657712e-05,0.0006618658080443941,True
Fructose and Mannose Metabolism,3,16,0.10305958132045089,29.109375,0.00012452197458457477,0.0006618658080443941,True
Pyrimidine Biosynthesis,1,8,0.05152979066022544,19.40625,0.05042925889727259,0.15128777669181775,False
Tyrosine metabolism,4,45,0.2898550724637681,13.799999999999999,0.00016546645201109852,0.0006618658080443941,True
Alanine and Aspartate Metabolism,1,12,0.07729468599033816,12.9375,0.07472081868878168,0.17932996485307603,False
Pyrimidine Catabolism,1,18,0.11594202898550725,8.625,0.11004474528964092,0.22008949057928184,False
Fatty acid elongation,1,25,0.1610305958132045,6.21,0.1496232028240879,0.2564969191270078,False
Intracellular demand,1,35,0.22544283413848631,4.435714285714286,0.20324953813921479,0.27750977571753677,False
Fatty acid activation,1,37,0.23832528180354268,4.195945945945946,0.21357867210896295,0.27750977571753677,False
"Transport, Extracellular",5,516,3.323671497584541,1.504360465116279,0.23125814643128062,0.27750977571753677,False
Nucleotides,1,164,1.0563607085346216,0.9466463414634146,0.661671960174151,0.7218239565536192,False
Extracellular exchange,2,416,2.679549114331723,0.7463942307692308,0.7666079226410011,0.7666079226410011,False
