Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Oxidative Phosphorylation,3,5,0.13955984970477725,21.496153846153845,0.0002028838571205041,0.0010144192856025205,True
Biomass and maintenance functions,1,2,0.055823939881910895,17.91346153846154,0.05505214581374488,0.14510535042246123,False
Cholesterol Metabolism,15,43,1.2002147074610843,12.497763864042934,1.3870195124574263e-13,3.467548781143566e-12,True
Pyrimidine Biosynthesis,2,8,0.22329575952764358,8.95673076923077,0.019359661893482785,0.0604989434171337,False
Glycolysis/Gluconeogenesis,7,29,0.809447128287708,8.64787798408488,1.0150915563854636e-05,8.459096303212197e-05,True
Triacylglycerol Synthesis,3,13,0.36285560923242083,8.267751479289942,0.004927953991553552,0.017599835684119828,True
Glycerophospholipid Metabolism,9,47,1.3118625872249061,6.860474631751227,4.093507427513126e-06,5.116884284391407e-05,True
"Transport, Peroxisomal",10,80,2.232957595276436,4.478365384615384,5.994913151328349e-05,0.00037468207195802183,True
R Group Synthesis,6,50,1.3955984970477724,4.299230769230769,0.002399522786242052,0.009998011609341882,True
Arginine and Proline Metabolism,3,33,0.9210950080515298,3.256993006993007,0.06295359443020543,0.14510535042246123,False
Fructose and Mannose Metabolism,1,16,0.44659151905528716,2.2391826923076925,0.3648346758173368,0.6512194272414128,False
"Transport, Endoplasmic Reticular",6,102,2.847020933977456,2.1074660633484164,0.06384635418588294,0.14510535042246123,False
Pyrimidine Catabolism,1,18,0.5024154589371981,1.9903846153846154,0.3999505680286186,0.6512194272414128,False
"Fatty acid oxidation, peroxisome",1,19,0.5303274288781535,1.8856275303643724,0.4167804334345042,0.6512194272414128,False
Sphingolipid Metabolism,4,79,2.2050456253354804,1.8140214216163584,0.17763058920397232,0.37006372750827565,False
Fatty acid elongation,1,25,0.6977992485238862,1.4330769230769231,0.5083779353074893,0.7476146107463079,False
Folate Metabolism,2,50,1.3955984970477724,1.4330769230769231,0.40944836260722095,0.6512194272414128,False
"Valine, Leucine, and Isoleucine Metabolism",1,30,0.8373590982286635,1.1942307692307692,0.5737109529963146,0.7548828328898876,False
Inositol Phosphate Metabolism,2,64,1.7863660762211486,1.1195913461538463,0.5384246442031106,0.7478120058376537,False
Fatty acid activation,1,37,1.0327428878153515,0.9682952182952184,0.650969642036864,0.792608755007373,False
Nucleotides,4,164,4.577563070316693,0.8738273921200751,0.6800934259112088,0.792608755007373,False
Fatty Acid Metabolism,1,42,1.172302737520129,0.853021978021978,0.6974957044064882,0.792608755007373,False
"Transport, Mitochondrial",4,190,5.303274288781535,0.7542510121457491,0.7863971837513535,0.854779547555819,False
Extracellular exchange,7,416,11.611379495437467,0.6028568786982248,0.955106816592864,0.9828746504035293,False
"Transport, Extracellular",8,516,14.402576489533011,0.5554561717352415,0.9828746504035293,0.9828746504035293,False
