Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Biomass and maintenance functions,1,2,0.07997852925389157,12.503355704697988,0.07838969404186796,0.2286366076221149,False
Cholesterol Metabolism,15,43,1.719538378958669,8.723271421882316,3.062042876510343e-11,1.07171500677862e-09,True
Starch and Sucrose Metabolism,6,21,0.8397745571658615,7.14477468839885,0.00012194572793504072,0.0014227001592421419,True
Pyrimidine Biosynthesis,2,8,0.31991411701556627,6.251677852348994,0.03795860579687685,0.12077738208097179,False
Glycolysis/Gluconeogenesis,7,29,1.1596886741814278,6.0361027539921315,0.00010562828810676556,0.0014227001592421419,True
Urea cycle/amino group metabolism,6,25,0.9997316156736447,6.001610738255033,0.00034847874213887715,0.0030491889937151752,True
Triacylglycerol Synthesis,3,13,0.5198604401502952,5.770779556014456,0.01334127927123731,0.05836809681166323,False
Glyoxylate and Dicarboxylate Metabolism,3,14,0.559849704777241,5.358581016299136,0.016489779213966906,0.06412691916542686,False
ROS Detoxification,1,6,0.23993558776167473,4.167785234899329,0.2173210818991815,0.5433027047479537,False
Cysteine Metabolism,3,19,0.75979602791197,3.948428117273048,0.03795235013435679,0.12077738208097179,False
Glycerophospholipid Metabolism,6,47,1.8794954374664519,3.192346137369699,0.010235832873861168,0.05117916436930584,False
"Transport, Peroxisomal",10,80,3.199141170155663,3.1258389261744965,0.0011450103966716009,0.006679227313917672,True
Glutamate metabolism,1,10,0.39989264626945786,2.5006711409395974,0.3354280126485706,0.624360971586224,False
Purine Catabolism,1,10,0.39989264626945786,2.5006711409395974,0.3354280126485706,0.624360971586224,False
Propanoate Metabolism,1,10,0.39989264626945786,2.5006711409395974,0.3354280126485706,0.624360971586224,False
"Transport, Mitochondrial",18,190,7.597960279119699,2.369056870363829,0.0004631434011039132,0.003242003807727393,True
Galactose metabolism,1,12,0.47987117552334946,2.0838926174496644,0.38766095017470786,0.6461015836245131,False
Fatty acid elongation,2,25,0.9997316156736447,2.0005369127516777,0.2640370239527807,0.616086389223155,False
"Valine, Leucine, and Isoleucine Metabolism",2,30,1.1996779388083736,1.6671140939597315,0.3389388131468073,0.624360971586224,False
Sphingolipid Metabolism,5,79,3.159151905528717,1.582703253759239,0.20737366686685868,0.5433027047479537,False
Fructose and Mannose Metabolism,1,16,0.6398282340311325,1.5629194630872485,0.48020373749277595,0.7639604914657799,False
Pyrimidine Catabolism,1,18,0.7198067632850241,1.389261744966443,0.5211225563224529,0.7930125857080804,False
"Transport, Endoplasmic Reticular",5,102,4.078904991948471,1.2258191867350967,0.38696232082016613,0.6461015836245131,False
"Transport, Extracellular",19,516,20.634460547504027,0.9207897611986889,0.6902059706153177,0.897467159659545,False
Nucleotides,6,164,6.558239398819109,0.9148796857096088,0.6489391185975187,0.897467159659545,False
Extracellular exchange,13,416,16.635534084809446,0.7814597315436242,0.8658317292154497,0.897467159659545,False
Inositol Phosphate Metabolism,2,64,2.55931293612453,0.7814597315436242,0.7335747756113866,0.897467159659545,False
Arginine and Proline Metabolism,1,33,1.319645732689211,0.7577791336180597,0.7414574183333771,0.897467159659545,False
Fatty acid activation,1,37,1.479602791196994,0.6758570651188102,0.780739692460321,0.897467159659545,False
Tryptophan metabolism,1,42,1.679549114331723,0.5953978906999041,0.8216046787425757,0.897467159659545,False
Fatty Acid Metabolism,1,42,1.679549114331723,0.5953978906999041,0.8216046787425757,0.897467159659545,False
Tyrosine metabolism,1,45,1.7995169082125604,0.5557046979865772,0.842392116777102,0.897467159659545,False
R Group Synthesis,1,50,1.9994632313472893,0.5001342281879194,0.8718252408121294,0.897467159659545,False
Folate Metabolism,1,50,1.9994632313472893,0.5001342281879194,0.8718252408121294,0.897467159659545,False
Carnitine shuttle,1,111,4.438808373590982,0.22528568837293672,0.9899447546310283,0.9899447546310283,False
