Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Biomass and maintenance functions,1,2,0.18142780461621041,5.511834319526627,0.17322093613894024,0.3536594112836697,False
Glyoxylate and Dicarboxylate Metabolism,6,14,1.269994632313473,4.724429416737109,0.0008531679506282578,0.013935076526928212,True
Alanine and Aspartate Metabolism,5,12,1.0885668276972624,4.59319526627219,0.0027625526469285296,0.0323686370855809,True
Oxidative Phosphorylation,2,5,0.45356951154052605,4.409467455621302,0.0682348067940757,0.23882182377926497,False
Cholesterol Metabolism,17,43,3.900697799248524,4.358194578230356,6.036835437638908e-08,2.520632639153564e-06,True
Triacylglycerol Synthesis,5,13,1.1792807300053676,4.239872553482021,0.004159507401088707,0.03396931044222444,True
Salvage Pathway,1,3,0.2721417069243156,3.674556213017752,0.24826157082880007,0.4505487766893039,False
Purine Catabolism,3,10,0.9071390230810521,3.3071005917159764,0.05487912669105439,0.2240897673218054,False
Pyrimidine Catabolism,5,18,1.6328502415458936,3.062130177514793,0.01896704816534127,0.10326504001130246,False
Glycolysis/Gluconeogenesis,8,29,2.630703166935051,3.0410120383595185,0.003302922151589888,0.0323686370855809,True
C5-Branched dibasic acid metabolism,2,8,0.7257112184648417,2.7559171597633134,0.15958504911614305,0.3470157862398927,False
Fructose and Mannose Metabolism,4,16,1.4514224369296833,2.7559171597633134,0.05041478584141664,0.2240897673218054,False
Pyrimidine Biosynthesis,2,8,0.7257112184648417,2.7559171597633134,0.15958504911614305,0.3470157862398927,False
Citric Acid Cycle,4,17,1.5421363392377885,2.593804385659589,0.061382571547762686,0.2313650773723363,False
Ascorbate and Aldarate Metabolism,3,13,1.1792807300053676,2.5439235320892126,0.10696603847310047,0.29413786002109127,False
Glycerophospholipid Metabolism,10,47,4.263553408480945,2.345461412564522,0.008111386387284798,0.049682241622119386,True
Pyruvate Metabolism,5,27,2.449275362318841,2.0414201183431953,0.09165206286581737,0.29413786002109127,False
Lysine Metabolism,4,22,1.9957058507783145,2.0043033889187734,0.1325828932478441,0.3419243036391769,False
Urea cycle/amino group metabolism,4,25,2.26784755770263,1.7637869822485208,0.18622387165178367,0.364998788437496,False
Cysteine Metabolism,3,19,1.723564143853999,1.7405792587978821,0.24494915886535074,0.4505487766893039,False
"Transport, Extracellular",81,516,46.808373590982285,1.7304596119444062,1.0288296486341078e-07,2.520632639153564e-06,True
Vitamin A Metabolism,5,32,2.9028448738593666,1.722448224852071,0.1590649711353024,0.3470157862398927,False
Tyrosine metabolism,7,45,4.082125603864735,1.714792899408284,0.10805064245672741,0.29413786002109127,False
"Transport, Mitochondrial",28,190,17.23564143853999,1.6245406415446901,0.006048139450366591,0.04233697615256614,True
R Group Synthesis,7,50,4.53569511540526,1.5433136094674558,0.1628849608881129,0.3470157862398927,False
Fatty acid oxidation,4,29,2.630703166935051,1.5205060191797592,0.2661654970814357,0.4657896198925125,False
"Transport, Peroxisomal",11,80,7.257112184648417,1.5157544378698224,0.10504519824902615,0.29413786002109127,False
Nucleotides,22,164,14.877079978529254,1.478784817433973,0.03798487752601976,0.18612589987749684,False
Steroid Metabolism,5,42,3.8099838969404187,1.3123415046491969,0.3318172826853467,0.5606567879855858,False
Intracellular demand,4,35,3.174986580783682,1.259847844463229,0.3937398783788396,0.6431084680187714,False
Glutamate metabolism,1,10,0.9071390230810521,1.1023668639053255,0.6140942020529361,0.8597318828741105,False
"Glycine, Serine, and Threonine Metabolism",3,30,2.7214170692431563,1.1023668639053255,0.5206273223897249,0.7972105874092662,False
Folate Metabolism,5,50,4.53569511540526,1.1023668639053255,0.4800489901936594,0.7587871135319132,False
Propanoate Metabolism,1,10,0.9071390230810521,1.1023668639053255,0.6140942020529361,0.8597318828741105,False
Tryptophan metabolism,4,42,3.8099838969404187,1.0498732037193577,0.5373157303002547,0.7978324480215903,False
Pentose and Glucuronate Interconversions,1,12,1.0885668276972624,0.918639053254438,0.6811125071520834,0.8782766539592654,False
CYP Metabolism,1,12,1.0885668276972624,0.918639053254438,0.6811125071520834,0.8782766539592654,False
Fatty acid activation,3,37,3.3564143853998925,0.8938109707340477,0.6657383161409354,0.8782766539592654,False
"Transport, Endoplasmic Reticular",7,102,9.252818035426731,0.7565262791507135,0.8317653948115384,0.9982995925841331,False
Sphingolipid Metabolism,5,79,7.166398282340311,0.6977005467755224,0.8570074346908975,0.9982995925841331,False
Extracellular exchange,24,416,37.73698336017176,0.6359808830223032,0.9966598908867086,0.9982995925841331,False
"Transport, Lysosomal",4,72,6.531400966183575,0.6124260355029586,0.9035443870223938,0.9982995925841331,False
Fatty Acid Metabolism,2,42,3.8099838969404187,0.5249366018596788,0.9056415879873242,0.9982995925841331,False
Fatty acid elongation,1,25,2.26784755770263,0.4409467455621302,0.9079531012713299,0.9982995925841331,False
"Valine, Leucine, and Isoleucine Metabolism",1,30,2.7214170692431563,0.3674556213017751,0.9429927576679792,0.9982995925841331,False
Inositol Phosphate Metabolism,2,64,5.805689747718733,0.3444896449704142,0.9838374461302778,0.9982995925841331,False
Arginine and Proline Metabolism,1,33,2.993558776167472,0.3340505648197956,0.957249546927174,0.9982995925841331,False
Carnitine shuttle,3,111,10.069243156199677,0.29793699024468256,0.9982995925841331,0.9982995925841331,False
"Transport, Nuclear",1,62,5.624261943102523,0.1778011070815041,0.9973867091662477,0.9982995925841331,False
