Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Glycolysis/Gluconeogenesis,8,29,0.5837359098228664,13.704827586206896,5.640773470300937e-08,1.2973778981692155e-06,True
Oxidative Phosphorylation,1,5,0.10064412238325282,9.936,0.09672300671212226,0.33042185893795856,False
Glycerophospholipid Metabolism,8,47,0.9460547504025765,8.456170212765958,3.0895101618092673e-06,3.5529366860806576e-05,True
ROS Detoxification,1,6,0.12077294685990338,8.280000000000001,0.11492934223928992,0.33042185893795856,False
Pyrimidine Biosynthesis,1,8,0.1610305958132045,6.21,0.1502626151650996,0.38357959277573783,False
Glutamate metabolism,1,10,0.20128824476650564,4.968,0.1842033981564719,0.38357959277573783,False
CYP Metabolism,1,12,0.24154589371980675,4.140000000000001,0.21680585678628658,0.38357959277573783,False
Galactose metabolism,1,12,0.24154589371980675,4.140000000000001,0.21680585678628658,0.38357959277573783,False
R Group Synthesis,4,50,1.0064412238325282,3.9743999999999997,0.017337562431587475,0.09969098398162798,False
Pyruvate Metabolism,2,27,0.5434782608695652,3.68,0.10162327719575802,0.33042185893795856,False
Steroid Metabolism,3,42,0.8454106280193237,3.5485714285714285,0.05135592157628138,0.23623723925089438,False
Fructose and Mannose Metabolism,1,16,0.322061191626409,3.105,0.27820214599734333,0.4208910110530306,False
Citric Acid Cycle,1,17,0.3421900161030596,2.9223529411764706,0.29279374681949955,0.4208910110530306,False
Fatty acid activation,2,37,0.7447665056360708,2.6854054054054055,0.1700734541430214,0.38357959277573783,False
"Fatty acid oxidation, peroxisome",1,19,0.3824476650563607,2.6147368421052635,0.3211093082351585,0.4344420052593321,False
"Transport, Extracellular",22,516,10.38647342995169,2.118139534883721,0.00033146087011166404,0.0025412000041894244,True
Folate Metabolism,2,50,1.0064412238325282,1.9871999999999999,0.2665824513110145,0.4208910110530306,False
Arginine and Proline Metabolism,1,33,0.6642512077294686,1.5054545454545456,0.4903116392184103,0.5935351422117598,False
Sphingolipid Metabolism,2,79,1.5901771336553945,1.2577215189873419,0.4758382423988092,0.5935351422117598,False
Nucleotides,3,164,3.3011272141706924,0.9087804878048781,0.6492988585380797,0.7466936873187916,False
Extracellular exchange,6,416,8.373590982286634,0.7165384615384616,0.8587774387947671,0.897812776921802,False
"Transport, Peroxisomal",1,80,1.6103059581320451,0.621,0.8068735000220517,0.8837185952622472,False
"Transport, Mitochondrial",2,190,3.824476650563607,0.5229473684210526,0.9030552010225308,0.9030552010225307,False
