ReactionID,ReactionName,Subsystem,HFD_mean,KD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,KD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
ADPT,Adenine phosphoribosyltransferase,Salvage Pathway,0.00011678663872492621,-0.00027792488126745,0.0003947115199923762,,3.710998942849971,0.0029829763421356822,1.8870409438588862,38,12,0.23155353855828234,False,Up,48.0,0.01288244766505636,0.01288244766505636,0.0029829763421356822
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,0.7880592118534729,0.6579440679816808,0.13011514387179213,0.2603390872412242,4.667825765268232,0.0002926559449312716,1.7858731146152242,38,12,0.049659002874481335,True,Up,19.0,0.005099302200751476,0.005099302200751476,0.0002926559449312716
TRIOK,Triokinase,Fructose and Mannose Metabolism,0.03091222614198706,-0.0005137270124414167,0.031425953154428476,,9.070060755331642,5.8141822889955146e-11,1.6779900641543462,38,12,7.22121440293243e-08,True,Up,1.0,0.00026838432635534085,0.00026838432635534085,5.8141822889955146e-11
KHK,Ketohexokinase,Fructose and Mannose Metabolism,0.03091222614198706,-0.0005137270124414167,0.031425953154428476,,9.070060755331642,5.8141822889955146e-11,1.6779900641543462,38,12,7.22121440293243e-08,True,Up,1.0,0.00026838432635534085,0.00026838432635534085,5.8141822889955146e-11
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,Fructose and Mannose Metabolism,0.03091222614198706,-0.0005137270124414167,0.031425953154428476,,9.070060755331642,5.8141822889955146e-11,1.6779900641543462,38,12,7.22121440293243e-08,True,Up,1.0,0.00026838432635534085,0.00026838432635534085,5.8141822889955146e-11
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",0.06330452048608837,0.012250527566427458,0.05105399291966091,2.3694646347144097,7.129328911032541,8.363306158817925e-09,1.618385284582875,38,12,7.790419686938897e-06,True,Up,4.0,0.0010735373054213634,0.0010735373054213634,8.363306158817925e-09
MMSAD3m,Methylmalonate-semialdehyde dehydrogenase (acylating),Propanoate Metabolism,0.03151221682934665,-0.03600804522955292,0.06752026205889958,,3.616528140486953,0.002661747495424449,1.4450114804729872,38,12,0.2110142801691808,False,Up,45.0,0.012077294685990338,0.012077294685990338,0.002661747495424449
BALAtmr,"Beta-alanine transport, mitochondria","Transport, Mitochondrial",0.03151221682934665,-0.03600804522955292,0.06752026205889958,,3.616528140486953,0.002661747495424449,1.4450114804729872,38,12,0.2110142801691808,False,Up,45.0,0.012077294685990338,0.012077294685990338,0.002661747495424449
APAT2rm,3-Aminopropanoate:2-oxoglutarate aminotransferase (m),beta-Alanine metabolism,0.03151221682934665,-0.03600804522955292,0.06752026205889958,,3.616528140486953,0.002661747495424449,1.4450114804729872,38,12,0.2110142801691808,False,Up,45.0,0.012077294685990338,0.012077294685990338,0.002661747495424449
FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty acid activation,0.017707086769041733,0.00609270902295875,0.011614377746082982,1.5391711123785021,4.558547510026729,0.00019226190236215686,1.443387430467594,38,12,0.049659002874481335,True,Up,9.0,0.0024154589371980675,0.0024154589371980675,0.00019226190236215686
DCMPDA,DCMP deaminase,Pyrimidine Catabolism,-0.0014818617772621209,-0.0007949693010090167,-0.0006868924762531042,0.8984399139898067,-5.6090058265401534,2.251637182961218e-06,-1.3650368885715412,38,12,0.0016779200287426997,True,Down,5.0,0.0013419216317767043,0.0013419216317767043,2.251637182961218e-06
NDPK7m,"ATP:dCDP phosphotransferase, mitochondria",Nucleotides,0.0008419005069067106,0.00018579416884192498,0.0006561063380647856,2.1799439217823045,5.152853668953221,1.2459022312497089e-05,1.3121467684839008,38,12,0.005802789642045519,True,Up,7.0,0.001878690284487386,0.001878690284487386,1.2459022312497089e-05
DM_dctp_m,DCTP demand,Intracellular demand,0.0008419005069067106,0.00018579416884192498,0.0006561063380647856,2.1799439217823045,5.152853668953221,1.2459022312497089e-05,1.3121467684839008,38,12,0.005802789642045519,True,Up,7.0,0.001878690284487386,0.001878690284487386,1.2459022312497089e-05
DNDPt8m,DADP transport via dUDP antiport,"Transport, Mitochondrial",0.0005090846989501263,0.0017263064917949,-0.0012172217928447739,-1.7617108165842363,-2.4366695566932024,0.03177071170445418,-1.2857037742194701,38,12,0.6882422779697458,False,Down,172.0,0.04616210413311862,0.04616210413311862,0.03177071170445418
SUCCt4_3,Succinate transport via sodium symport,"Transport, Extracellular",0.025108881088537226,-0.03129727406781275,0.056406155156349974,,2.6529648749933883,0.020617301333468133,1.2840502162119287,38,12,0.5402856934136505,False,Up,140.0,0.03757380568974772,0.03757380568974772,0.020617301333468133
ADK3,Adentylate kinase (GTP),Nucleotides,-0.06990856677756707,-0.27452283808508443,0.20461427130751736,-1.973385013199541,3.6655423980763504,0.0018724059411412493,1.2695978391805494,38,12,0.17016059845590964,False,Up,41.0,0.011003757380568975,0.011003757380568975,0.0018724059411412493
AOBUTDsm,"L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous)","Glycine, Serine, and Threonine Metabolism",-0.005108442307358727,0.007949961012120475,-0.013058403319479203,,-2.176508994133002,0.05180273543517171,-1.2644605557698747,38,12,0.8733800553459267,False,Down,219.0,0.05877616747181964,0.05877616747181964,0.05180273543517171
AACTtm,Aminoacetone transport (mitochondrial),"Transport, Mitochondrial",-0.005108442307358727,0.007949961012120475,-0.013058403319479203,,-2.176508994133002,0.05180273543517171,-1.2644605557698747,38,12,0.8733800553459267,False,Down,219.0,0.05877616747181964,0.05877616747181964,0.05180273543517171
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"Glycine, Serine, and Threonine Metabolism",-0.005108442307358727,0.007949961012120475,-0.013058403319479203,,-2.176508994133002,0.05180273543517171,-1.2644605557698747,38,12,0.8733800553459267,False,Down,219.0,0.05877616747181964,0.05877616747181964,0.05180273543517171
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine Catabolism,0.01904055838504749,-0.027034309640597682,0.04607486802564517,,2.3692467128474735,0.035537593852777584,1.2108294460517717,38,12,0.748096467205928,False,Up,175.0,0.04696725711218465,0.04696725711218465,0.035537593852777584
UPPN,B-ureidopropionase,Pyrimidine Catabolism,0.01904055838504749,-0.027034309640597682,0.04607486802564517,,2.3692467128474735,0.035537593852777584,1.2108294460517717,38,12,0.748096467205928,False,Up,175.0,0.04696725711218465,0.04696725711218465,0.035537593852777584
DURAD,Dihydrouracil dehydrogenase (NADP),Pyrimidine Catabolism,-0.01904055838504749,0.027034309640597682,-0.04607486802564517,,-2.3692467128474735,0.035537593852777584,-1.2108294460517717,38,12,0.748096467205928,False,Down,175.0,0.04696725711218465,0.04696725711218465,0.035537593852777584
ALR2,Aldose reductase (methylglyoxal),Pyruvate Metabolism,-0.025855004859396246,0.08767963883413064,-0.1135346436935269,,-2.009544527250531,0.06956037858030888,-1.2011790013406825,38,12,1.0,False,Down,240.0,0.0644122383252818,0.0644122383252818,0.06956037858030888
ME2,Malic enzyme (NADP),Pyruvate Metabolism,-0.002155498362786971,0.03525957336650316,-0.03741507172929013,,-2.243518474826549,0.044750172012142375,-1.159772069691816,38,12,0.8094133054235072,False,Down,206.0,0.05528717122920022,0.05528717122920022,0.044750172012142375
CYTK4,Cytidylate kinase (dCMP)(GTP),Nucleotides,0.028716428434392587,0.20344532552316283,-0.17472889708877024,-2.8246928960325017,-3.04514411770517,0.00795862442180482,-1.148708674206892,38,12,0.3365038982294449,False,Down,76.0,0.020397208803005905,0.020397208803005905,0.00795862442180482
H2Otly,"H2O transport, lysosomal","Transport, Lysosomal",0.012311099023556557,0.004759491005517167,0.00755160801803939,1.3710803390530775,3.6977693595728587,0.0012769898854554731,1.1177779395588379,38,12,0.12521221876860772,False,Up,37.0,0.009930220075147612,0.009930220075147612,0.0012769898854554731
