ReactionID,ReactionName,Subsystem,HFD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,0.7880592118534729,0.9598893833463025,-0.17183017149282953,-0.2845641281827135,-7.041051421640365,3.842809738481257e-09,-1.6392295491013658,38,37,1.2007500373751409e-05,True,Down,1.0,0.00026838432635534085,0.00026838432635534085,3.842809738481257e-09
ARGLYSex,Arginine/Lysine exchanger (Arg in),"Transport, Extracellular",0.025267889846686323,0.01352590500458554,0.011741984842100784,0.9015800565326983,6.669303621613445,7.254550795420639e-09,1.5478689815944455,38,37,1.2007500373751409e-05,True,Up,2.0,0.0005367686527106817,0.0005367686527106817,7.254550795420639e-09
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,0.00019392765768336313,0.0002170515280356459,-2.312387035228276e-05,-0.1625189266881502,-5.821198476379391,1.8368961924175625e-07,-1.3496289956331502,38,37,1.2007500373751409e-05,True,Down,3.0,0.0008051529790660225,0.0008051529790660225,1.8368961924175625e-07
DGK1,Deoxyguanylate kinase (dGMP:ATP),Nucleotides,-0.0006399612703553842,-0.0007162700425179351,7.630877216255089e-05,-0.16251902996112697,5.821198476376772,1.8368961924345778e-07,1.3496289956325294,38,37,1.2007500373751409e-05,True,Up,6.0,0.001610305958132045,0.001610305958132045,1.8368961924345778e-07
MI1PS,Myo Inositol 1 phosphate synthase,Inositol Phosphate Metabolism,0.0006464255256115,0.0007235050934524621,-7.707956784096205e-05,-0.1625189821673255,-5.821198476376565,1.8368961924347718e-07,-1.3496289956324723,38,37,1.2007500373751409e-05,True,Down,7.0,0.001878690284487386,0.001878690284487386,1.8368961924347718e-07
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,0.0006464255256115,0.0007235050934524621,-7.707956784096205e-05,-0.1625189821673255,-5.821198476376565,1.8368961924347718e-07,-1.3496289956324723,38,37,1.2007500373751409e-05,True,Down,7.0,0.001878690284487386,0.001878690284487386,1.8368961924347718e-07
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,0.0006464255256115,0.0007235050934524621,-7.707956784096205e-05,-0.1625189821673255,-5.821198476376565,1.8368961924347718e-07,-1.3496289956324723,38,37,1.2007500373751409e-05,True,Down,7.0,0.001878690284487386,0.001878690284487386,1.8368961924347718e-07
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
SQLSr,Squalene synthase,Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-0.0011635659461007844,-0.0013023091682145078,0.00013874322211372345,-0.16251901915346287,5.821198476376478,1.8368961924363396e-07,1.3496289956324583,38,37,1.2007500373751409e-05,True,Up,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",-0.0011635659461007844,-0.0013023091682145078,0.00013874322211372345,-0.16251901915346287,5.821198476376478,1.8368961924363396e-07,1.3496289956324583,38,37,1.2007500373751409e-05,True,Up,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011635659461007844,0.0013023091682145078,-0.00013874322211372345,-0.16251899273477705,-5.821198476376478,1.8368961924363396e-07,-1.3496289956324583,38,37,1.2007500373751409e-05,True,Down,10.0,0.0026838432635534087,0.0026838432635534087,1.8368961924363396e-07
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,0.00025857021024456315,0.00028940203738093246,-3.0831827136369315e-05,-0.1625189465020624,-5.821198476376541,1.8368961924327058e-07,-1.3496289956324516,38,37,1.2007500373751409e-05,True,Down,4.0,0.0010735373054213634,0.0010735373054213634,1.8368961924327058e-07
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,0.00025857021024456315,0.00028940203738093246,-3.0831827136369315e-05,-0.1625189465020624,-5.821198476376541,1.8368961924327058e-07,-1.3496289956324516,38,37,1.2007500373751409e-05,True,Down,4.0,0.0010735373054213634,0.0010735373054213634,1.8368961924327058e-07
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,0.002327131892201679,0.002604618336429139,-0.0002774864442274599,-0.1625189993394477,-5.821198476376381,1.8368961924375464e-07,-1.3496289956324394,38,37,1.2007500373751409e-05,True,Down,24.0,0.00644122383252818,0.00644122383252818,1.8368961924375464e-07
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,0.002327131892201679,0.002604618336429139,-0.0002774864442274599,-0.1625189993394477,-5.821198476376381,1.8368961924375464e-07,-1.3496289956324394,38,37,1.2007500373751409e-05,True,Down,24.0,0.00644122383252818,0.00644122383252818,1.8368961924375464e-07
