ReactionID,ReactionName,Subsystem,KD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,0.6579440679816808,0.9598893833463025,-0.30194531536462166,-0.5449032154239377,-8.96812178473944,9.499244854720147e-10,-2.4380133215300037,12,37,2.4627098918908607e-06,True,Down,1.0,0.00026838432635534085,0.00026838432635534085,9.499244854720147e-10
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Extracellular exchange,-0.21923519452314832,-0.07340814957230557,-0.14582704495084275,1.5784672774854183,-4.51917877790362,0.0006395758927804989,-2.161384721842876,12,37,0.020025712407564195,True,Down,119.0,0.031937734836285564,0.031937734836285564,0.0006395758927804989
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,0.2222717915640148,0.08762573877860122,0.13464605278541358,1.3428982593094931,4.268156375547755,0.0010819745391387244,2.1467683288224135,12,37,0.0310110548679299,True,Up,129.0,0.03462157809983897,0.03462157809983897,0.0010819745391387244
ARTFR13,R group artificial flux,R Group Synthesis,0.2222717915640148,0.08762573877860122,0.13464605278541358,1.3428982593094931,4.268156375547755,0.0010819745391387244,2.1467683288224135,12,37,0.0310110548679299,True,Up,129.0,0.03462157809983897,0.03462157809983897,0.0010819745391387244
RTOT6,R total flux,R Group Synthesis,0.7556724908995657,0.9759747239724229,-0.22030223307285723,-0.3690826803221668,-5.836796469170178,1.3746045932553944e-05,-1.9428038943385206,12,37,0.004268147262057999,True,Down,9.0,0.0024154589371980675,0.0024154589371980675,1.3746045932553944e-05
ARTFR61,R group artificial flux,R Group Synthesis,0.7556724908995657,0.9759747239724229,-0.22030223307285723,-0.3690826803221668,-5.836796469170178,1.3746045932553944e-05,-1.9428038943385206,12,37,0.004268147262057999,True,Down,9.0,0.0024154589371980675,0.0024154589371980675,1.3746045932553944e-05
HDD2COAtx,Hdd2coa intracellular transport,"Transport, Peroxisomal",-0.7556724908995657,-0.9759747239724229,0.22030223307285723,-0.36908268040835573,5.836796469170178,1.3746045932553944e-05,1.9428038943385206,12,37,0.004268147262057999,True,Up,9.0,0.0024154589371980675,0.0024154589371980675,1.3746045932553944e-05
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,0.7556724908995657,0.9759747239724229,-0.22030223307285723,-0.3690826803221668,-5.836796469170178,1.3746045932553944e-05,-1.9428038943385206,12,37,0.004268147262057999,True,Down,9.0,0.0024154589371980675,0.0024154589371980675,1.3746045932553944e-05
ARTFR41,R group artificial flux,R Group Synthesis,0.05197684631012608,0.4416397120138731,-0.38966286570374703,-3.0869288956867407,-6.271917619435665,2.1022191229044187e-06,-1.8620125372348137,12,37,0.0017632152394709162,True,Down,4.0,0.0010735373054213634,0.0010735373054213634,2.1022191229044187e-06
NADH2_u10m,"NADH dehydrogenase, mitochondrial",Oxidative Phosphorylation,0.6993667682395476,0.8709846596894808,-0.17161789144993322,-0.31659806415874275,-4.731251965748705,0.0002117123213355306,-1.7160989065071361,12,37,0.007733726561727324,True,Down,102.0,0.027375201288244767,0.027375201288244767,0.0002117123213355306
CHOLK,Choline kinase,Glycerophospholipid Metabolism,0.006629248102437133,0.00784944426138932,-0.0012201961589521871,-0.2437452644521323,-5.4645530420326205,2.1392986224076544e-05,-1.7151103303803772,12,37,0.0049944413026586166,True,Down,13.0,0.003488996242619431,0.003488996242619431,2.1392986224076544e-05
CEPTC,Choline phosphotransferase,Glycerophospholipid Metabolism,0.006629248102437133,0.00784944426138932,-0.0012201961589521871,-0.2437452644521323,-5.4645530420326205,2.1392986224076544e-05,-1.7151103303803772,12,37,0.0049944413026586166,True,Down,13.0,0.003488996242619431,0.003488996242619431,2.1392986224076544e-05
CHLPCTD,Choline phosphate cytididyltransferase,Glycerophospholipid Metabolism,0.006629248102437133,0.00784944426138932,-0.0012201961589521871,-0.2437452644521323,-5.4645530420326205,2.1392986224076544e-05,-1.7151103303803772,12,37,0.0049944413026586166,True,Down,13.0,0.003488996242619431,0.003488996242619431,2.1392986224076544e-05
TTDCAtr_copy2,Fatty acid transport,"Transport, Extracellular",0.19077289247128149,0.06640009264576548,0.12437279982551601,1.5225990277213768,3.3538581837106793,0.0057435883904777925,1.6993041680432324,12,37,0.11444176653968051,False,Up,187.0,0.05018786902844874,0.05018786902844874,0.0057435883904777925
ARTPLM1,R group to palmitate conversion,R Group Synthesis,1.281404316290671,1.6750358444442637,-0.3936315281535927,-0.3864662132024362,-5.661845982808329,9.88099589407651e-06,-1.6992804486052142,12,37,0.004268147262057999,True,Down,7.0,0.001878690284487386,0.001878690284487386,9.88099589407651e-06
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,0.00024613136653210834,0.00028940203738093246,-4.327067084882412e-05,-0.2336464668572636,-4.784193898431563,0.0001542278383532364,-1.6428243525697286,12,37,0.006246227453417287,True,Down,66.0,0.017713365539452495,0.017713365539452495,0.0001542278383532364
