ReactionID,ReactionName,Subsystem,HFD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,WD_n,q_value,Significant,Direction
ENO,Enolase,Glycolysis/Gluconeogenesis,0.8669101946947994,0.7802806705833585,0.08662952411144087,0.15188938749015227,7.917217197190758,3.3623287285994834e-09,1.9814934966884934,38,12,6.597512270705959e-07,True,Up
PGM,Phosphoglycerate mutase,Glycolysis/Gluconeogenesis,-0.8669088216476482,-0.7802807825950997,-0.08662803905254846,0.15188689542361114,-7.91685498779495,3.364270884149576e-09,-1.9813555287829145,38,12,6.597512270705959e-07,True,Down
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",0.07965294246059078,0.18496583152957605,-0.10531288906898527,-1.2154592248879719,-7.188859386090864,1.0710945519001344e-07,-1.9772191245476716,38,12,1.1737936177587943e-05,True,Down
PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,0.07965294246059078,0.18496583152957605,-0.10531288906898527,-1.2154592248879719,-7.188859386090864,1.0710945519001344e-07,-1.9772191245476716,38,12,1.1737936177587943e-05,True,Down
PGK,Phosphoglycerate kinase,Glycolysis/Gluconeogenesis,-0.8640489688481484,-0.7759429991539232,-0.08810596969422524,0.15516240179334015,-7.899025962944172,2.662970015392788e-09,-1.9465698907526827,38,12,5.836603692560899e-07,True,Down
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/Gluconeogenesis,0.8640489688481484,0.7759429991539232,0.08810596969422524,0.15516240175542248,7.899025962944172,2.662970015392788e-09,1.9465698907526827,38,12,5.836603692560899e-07,True,Up
SERt4,L-serine via sodium symport,"Transport, Extracellular",0.09994661149324642,0.5008034138339662,-0.4008568023407198,-2.3250148346096653,-7.8643198974929325,2.088287137089365e-09,-1.901444378425604,38,12,5.187305248529983e-07,True,Down
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,0.7880592118534729,0.8952817371086385,-0.10722252525516551,-0.18403772443426986,-8.530187057578674,3.555844364104471e-11,-1.785552392673989,38,12,3.240931165963259e-08,True,Down
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",0.018405162246115703,0.04742503081779811,-0.029019868571682404,-1.3655382388384198,-9.307350427184776,3.12713160817611e-11,-1.7197052773505603,38,12,3.240931165963259e-08,True,Down
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",-0.018735319291597052,-0.0477596621133795,0.02902434282178245,-1.3500320700279969,9.287580207144536,3.30621505634406e-11,1.716052363236756,38,12,3.240931165963259e-08,True,Up
KHK2,Ketohexokinase (D-xylulose),Glyoxylate and Dicarboxylate Metabolism,-0.0004765881050915192,-0.0015658367887884,0.0010892486836968807,-1.7161192055800478,8.946932441463753,8.698151277410567e-11,1.653111382885583,38,12,3.240931165963259e-08,True,Up
GCALDD,Glycolaldehyde dehydrogenase,Glyoxylate and Dicarboxylate Metabolism,-0.0004765881050915192,-0.0015658367887884,0.0010892486836968807,-1.7161192055800478,8.946932441463753,8.698151277410567e-11,1.653111382885583,38,12,3.240931165963259e-08,True,Up
FBA4,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glyoxylate and Dicarboxylate Metabolism,-0.0004765881050915192,-0.0015658367887884,0.0010892486836968807,-1.7161192055800478,8.946932441463753,8.698151277410567e-11,1.653111382885583,38,12,3.240931165963259e-08,True,Up
THMDt4,Thymidine transport in via sodium symport,"Transport, Extracellular",-7.967132990012063e-05,-0.0002617612526132,0.00018208992271307936,-1.7161202546626881,8.946932441463748,8.698151277410723e-11,1.6531113828855821,38,12,3.240931165963259e-08,True,Up
TRIODTHYt2,T3 transport via facilitated diffusion,"Transport, Extracellular",8.249781039645005e-05,0.00027104769324539995,-0.0001885498828489499,-1.7161177785019721,-8.946932441463746,8.698151277410786e-11,-1.6531113828855817,38,12,3.240931165963259e-08,True,Down
IDHPOXOX3,Iodide:hydrogen-peroxide oxidoreductase 3,Tyrosine metabolism,-8.249781039645005e-05,-0.00027104769324539995,0.0001885498828489499,-1.7161202115050818,8.946932441463746,8.698151277410786e-11,1.6531113828855817,38,12,3.240931165963259e-08,True,Up
EX_triodthy_e,Triiodothyronine exchange,Extracellular exchange,-8.249781039645005e-05,-0.00027104769324539995,0.0001885498828489499,-1.7161202115050818,8.946932441463746,8.698151277410786e-11,1.6531113828855817,38,12,3.240931165963259e-08,True,Up
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",-0.020953236534679173,-0.198275709326846,0.1773224727921668,-3.24226293893441,8.398489546267266,4.2549962934520914e-10,1.5517764059151178,38,12,1.3211763491168744e-07,True,Up
EX_fru_e,D-Fructose exchange,Extracellular exchange,0.020953236534679173,0.198275709326846,-0.1773224727921668,-3.2422629266190337,-8.398489546267266,4.2549962934520914e-10,-1.5517764059151178,38,12,1.3211763491168744e-07,True,Down
METtec,L-methionine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",0.01032425584214344,0.014258495290788507,-0.003934239448645068,-0.465783939358459,-8.080339607507794,1.016649652754141e-09,-1.4960834845335877,38,12,2.913874312432253e-07,True,Down
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,-0.0211380436687009,-0.21612999348725023,0.19499194981854934,-3.353985536349251,7.923904307273898,1.7295164985219355e-09,1.4640879980879258,38,12,4.60298462392338e-07,True,Up
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",-0.5182210974475929,-0.8147037037668828,0.2964826063192899,-0.6527077163329187,5.303691458561384,1.2145236343714444e-05,1.429485732382765,38,12,0.0004763489538597897,True,Up
EX_acac_e,Acetoacetate exchange,Extracellular exchange,0.5182210974475929,0.8147037037668828,-0.2964826063192899,-0.6527077161302953,-5.303691458561384,1.2145236343714444e-05,-1.429485732382765,38,12,0.0004763489538597897,True,Down
METLEUex,Methionine/Leucine exchange (Met in),"Transport, Extracellular",-0.0014035835887034676,-0.0047399576144855,0.0033363740257820323,-1.7557592463571605,7.623600513036951,4.254100177801848e-09,1.4086013132576993,38,12,7.925388631244844e-07,True,Up
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotides,4.5813066485191535e-05,-8.442119153001847e-05,0.00013023425801521001,,7.407840984325027,8.167231304470472e-09,1.3687357464599959,38,12,1.4491001828789037e-06,True,Up
