ReactionID,ReactionName,Subsystem,KD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,WD_n,q_value,Significant,Direction
DNDPt32m,DGDP transport via ATP antiport,"Transport, Mitochondrial",6.057353399848561e-07,-0.00027802310814030006,0.0002786288434802849,,1289.363835784043,7.671878196165454e-30,526.3805817447645,12,12,2.858541815891248e-26,True,Up
CLHCO3tex2,Chloride transport via bicarbonate countertransport (2:1),"Transport, Extracellular",0.00010475764272241666,-0.028705338017443297,0.028810095660165715,,770.8880398767275,2.198373217160506e-27,314.7137244187122,12,12,4.095569303570022e-24,True,Up
SERALANaEx,L-alanine/L-serine Na-dependent exchange (Ser-L in),"Transport, Extracellular",-0.00024242291572970835,-0.05498354589718701,0.0547411229814573,-7.825330651545441,632.954303219048,1.922605406363928e-26,258.40251223092196,12,12,1.6034497409120685e-23,True,Up
DRIBt,Deoxyribose transport via diffusion,"Transport, Extracellular",8.0402997326375e-05,0.018051202486215605,-0.01797079948888923,-7.810628159867086,-626.5092453733928,2.1517038927966566e-26,-255.7713283834925,12,12,1.6034497409120685e-23,True,Down
EX_drib_e,Deoxy D Ribose exchange,Extracellular exchange,-8.0402997326375e-05,-0.018051202486215605,0.01797079948888923,-7.810631732542459,626.5092453733928,2.1517038927966566e-26,255.7713283834925,12,12,1.6034497409120685e-23,True,Up
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,-4.3319739646458335e-05,-0.005677031252221901,0.005633711512575443,-7.033971606107839,364.53656006534817,8.312125929545008e-24,148.8214274582557,12,12,2.3389345347196383e-21,True,Up
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,-4.3319739646458335e-05,-0.005677031252221901,0.005633711512575443,-7.033971606107839,364.53656006534817,8.312125929545008e-24,148.8214274582557,12,12,2.3389345347196383e-21,True,Up
HSD17B7r,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,-0.00019057085421766667,-0.0249742196972008,0.024783648842983133,-7.033969052437811,364.5365600653049,8.312125929555875e-24,148.82142745823805,12,12,2.3389345347196383e-21,True,Up
NRVNCt,Fatty acid transport via diffusion,"Transport, Extracellular",-0.0002804632437670833,-0.03675457454175201,0.036474111297984925,-7.03396881164773,364.53656006529775,8.312125929557647e-24,148.82142745823512,12,12,2.3389345347196383e-21,True,Up
FATP9t,Fatty acid electroneutral transport,"Transport, Extracellular",-0.0002804632437670833,-0.03675457454175201,0.036474111297984925,-7.03396881164773,364.53656006529775,8.312125929557647e-24,148.82142745823512,12,12,2.3389345347196383e-21,True,Up
CYSASNNaEx,L-cysteine/L-asparagine Na-dependent exchange (Cys-L in),"Transport, Extracellular",-3.96292371014909e-07,-5.1933926510850435e-05,5.153763413983552e-05,-7.034329617317989,364.5365600652806,8.312125929561958e-24,148.82142745822813,12,12,2.3389345347196383e-21,True,Up
HISt4,L-histidine transport in via sodium symport,"Transport, Extracellular",-3.1281993132343096e-06,-0.00040994903038059995,0.00040682083106736565,-7.034014069017579,364.5365600652523,8.312125929569047e-24,148.82142745821656,12,12,2.3389345347196383e-21,True,Up
GCALDD,Glycolaldehyde dehydrogenase,Glyoxylate and Dicarboxylate Metabolism,1.2541792239251394e-05,-0.0015658367887884,0.0015783785810276514,,352.76370994304887,1.1926934020288545e-23,144.01518152193972,12,12,2.3389345347196383e-21,True,Up
KHK2,Ketohexokinase (D-xylulose),Glyoxylate and Dicarboxylate Metabolism,1.2541792239251394e-05,-0.0015658367887884,0.0015783785810276514,,352.76370994304887,1.1926934020288545e-23,144.01518152193972,12,12,2.3389345347196383e-21,True,Up
FBA4,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glyoxylate and Dicarboxylate Metabolism,1.2541792239251394e-05,-0.0015658367887884,0.0015783785810276514,,352.76370994304887,1.1926934020288545e-23,144.01518152193972,12,12,2.3389345347196383e-21,True,Up
EX_triodthy_e,Triiodothyronine exchange,Extracellular exchange,2.1709950104331506e-06,-0.00027104769324539995,0.0002732186882558331,,352.76370994303505,1.1926934020293719e-23,144.01518152193407,12,12,2.3389345347196383e-21,True,Up
TRIODTHYt2,T3 transport via facilitated diffusion,"Transport, Extracellular",-2.1709950104331506e-06,0.00027104769324539995,-0.0002732186882558331,,-352.76370994303505,1.1926934020293719e-23,-144.01518152193407,12,12,2.3389345347196383e-21,True,Down
IDHPOXOX3,Iodide:hydrogen-peroxide oxidoreductase 3,Tyrosine metabolism,2.1709950104331506e-06,-0.00027104769324539995,0.0002732186882558331,,352.76370994303505,1.1926934020293719e-23,144.01518152193407,12,12,2.3389345347196383e-21,True,Up
THMDt4,Thymidine transport in via sodium symport,"Transport, Extracellular",2.0966139447405238e-06,-0.0002617612526132,0.0002638578665579405,,352.76370994299276,1.1926934020309481e-23,144.01518152191682,12,12,2.3389345347196383e-21,True,Up
ARTFR42,R group artificial flux,R Group Synthesis,-0.00013804070195508333,-0.0166044991558551,0.016466458453900018,-6.910337718268426,334.36850883856283,2.1495653188266627e-23,136.50537211829433,12,12,4.004640188974073e-21,True,Up
CHOLt4,"Choline, sodium cotransport","Transport, Extracellular",0.0003835486091495833,0.043855704257547,-0.04347215564839742,-6.8372108916558725,-317.704296844874,3.771832282671045e-23,-129.7022360599435,12,12,6.692308135824912e-21,True,Down
CPK1,Adenylate kinase,Nucleotides,0.0002450724427524167,0.0211032259722749,-0.020858153529522482,-6.42811089415862,-238.56883234315038,8.807847173322644e-22,-97.3953179620511,12,12,1.4917290258090986e-19,True,Down
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,Fructose and Mannose Metabolism,-0.0005137270124414167,0.040902859238180704,-0.04141658625062212,,-225.9821946813423,1.5986570242750915e-21,-92.25684465392986,12,12,2.3826384289795963e-19,True,Down
TRIOK,Triokinase,Fructose and Mannose Metabolism,-0.0005137270124414167,0.040902859238180704,-0.04141658625062212,,-225.9821946813423,1.5986570242750915e-21,-92.25684465392986,12,12,2.3826384289795963e-19,True,Down
KHK,Ketohexokinase,Fructose and Mannose Metabolism,-0.0005137270124414167,0.040902859238180704,-0.04141658625062212,,-225.9821946813423,1.5986570242750915e-21,-92.25684465392986,12,12,2.3826384289795963e-19,True,Down
TYRDOPO3,Tyrosine:dopa oxidase (dopaquinone producing 2),Tyrosine metabolism,0.00010337970296091666,-0.006008179370444701,0.0061115590734056174,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
DM_melanin_c,"Demand for Melanin, Cytosolic",Intracellular demand,0.00020675940592183333,-0.012016358740889401,0.012223118146811235,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
DOPAQNISO1,Dopaquinone isomerase 1,Tyrosine metabolism,0.00020675940592183333,-0.012016358740889401,0.012223118146811235,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
TYRASE,TYRASE,Tyrosine metabolism,0.00020675940592183333,-0.012016358740889401,0.012223118146811235,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
DOPACHRMISO,L-dopachrome isomerase 1,Tyrosine metabolism,0.00010337970296091666,-0.006008179370444701,0.0061115590734056174,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
DCT,Dopachrome tautomerase,Tyrosine metabolism,0.00020675940592183333,-0.012016358740889401,0.012223118146811235,,165.7101302597204,4.845336126103045e-20,67.65087739107491,12,12,5.641788251831233e-18,True,Up
CHOLtu,Choline uniport,"Transport, Extracellular",0.004354480196594717,-0.038544636133812725,0.04289911633040744,,161.75492653605713,4.398963577112111e-20,66.03617223245307,12,12,5.641788251831233e-18,True,Up
ASNALANaEx,L-alanine/L-asparagine Na-dependent exchange (Asn-L in),"Transport, Extracellular",-2.8173315377673063e-05,-0.0009370822420300002,0.0009089089266523272,-5.055779384687188,90.43045929888092,3.772425300179592e-17,36.918080414630076,12,12,4.25941111165732e-15,True,Up
CSm,Citrate synthase,Citric Acid Cycle,0.0004388243953779584,-0.0107949201939044,0.01123374458928236,,71.75730296120685,4.784253142810822e-16,29.294796262210188,12,12,5.2429785912097417e-14,True,Up
ARTCOAL1,R group coenzyme a ligase,R Group Synthesis,0.0028043984280199164,0.05834387004278399,-0.05553947161476407,-4.378817800344598,-55.51295597576289,7.995623714585863e-15,-22.663069375700893,12,12,8.275470544596368e-13,True,Down
MOGAT,Monoacylglycerol acyltransferase,Triacylglycerol Synthesis,0.0028043984280199164,0.05834387004278399,-0.05553947161476407,-4.378817800344598,-55.51295597576289,7.995623714585863e-15,-22.663069375700893,12,12,8.275470544596368e-13,True,Down
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",Glycolysis/Gluconeogenesis,-1.707672425546574e-05,-0.00032613963752449996,0.0003090629132690342,-4.255394634827729,50.73114366244641,2.145959232741134e-14,20.710902673470382,12,12,2.1610389462685043e-12,True,Up
LEUTAm,Leucine transaminase  mitochondrial,"Valine, Leucine, and Isoleucine Metabolism",-0.002839617716086708,0.047886335883608,-0.05072595359969471,,-50.07289115447846,2.4760816995971096e-14,-20.44217221239892,12,12,2.3656103622304694e-12,True,Down
LEUt5m,Leucine mitochondrial transport,"Transport, Mitochondrial",-0.002839617716086708,0.047886335883608,-0.05072595359969471,,-50.07289115447846,2.4760816995971096e-14,-20.44217221239892,12,12,2.3656103622304694e-12,True,Down
THRSERNaEx,L-serine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",-0.0030040517988804585,-0.05583191273358348,0.05282786093470303,-4.216108432810132,49.293304565468745,2.9404920556430156e-14,20.12390732016715,12,12,2.739068349831469e-12,True,Up
EX_whttdca_e,Omega hydroxy tetradecanoate (n-C14:0) exchange,Extracellular exchange,-0.0030365970408664164,-0.0414049136672704,0.038368316626403984,-3.769274652221968,35.41750024820994,1.092441493169297e-12,14.459133928835152,12,12,9.466132566392559e-11,True,Up
FAH2,Fatty acid omega-hydroxylase,CYP Metabolism,-0.0030365970408664164,-0.0414049136672704,0.038368316626403984,-3.769274652221968,35.41750024820994,1.092441493169297e-12,14.459133928835152,12,12,9.466132566392559e-11,True,Up
WHTTDCAte,Xenobiotic transport,"Transport, Extracellular",0.0030365970408664164,0.0414049136672704,-0.038368316626403984,-3.769274564170169,-35.41750024820994,1.092441493169297e-12,-14.459133928835152,12,12,9.466132566392559e-11,True,Down
FACOAL1812,Fatty-acid--CoA ligase,Fatty acid activation,-0.0059096266928019585,-0.07593976378218911,0.07003013708938716,-3.683716629532531,33.216758851939815,2.199088863407483e-12,13.560685016054823,12,12,1.7812619793600613e-10,True,Up
VACCt,Fatty acid transport via diffusion,"Transport, Extracellular",-0.0059096266928019585,-0.07593976378218911,0.07003013708938716,-3.683716629532531,33.216758851939815,2.199088863407483e-12,13.560685016054823,12,12,1.7812619793600613e-10,True,Up
EX_vacc_e,Vaccenic acid exchange,Extracellular exchange,0.0059096266928019585,0.07593976378218911,-0.07003013708938716,-3.683716584506857,-33.216758851939815,2.199088863407483e-12,-13.560685016054823,12,12,1.7812619793600613e-10,True,Down
EX_pyr_e,Pyruvate exchange,Extracellular exchange,0.0003919189014566161,-0.09375976410790261,0.09415168300935924,,27.200991552379786,1.932294898775024e-11,11.104758300181025,12,12,1.4999439151741125e-09,True,Up
PYRt2,Pyruvate transport in via proton symport,"Transport, Extracellular",-0.0003919189014566161,0.09375976410790261,-0.09415168300935924,,-27.200991552379786,1.932294898775024e-11,-11.104758300181025,12,12,1.4999439151741125e-09,True,Down
METLEUex,Methionine/Leucine exchange (Met in),"Transport, Extracellular",0.00019266368368512504,-0.0047399576144855,0.004932621298170625,,20.520108826587464,4.056980111690118e-10,8.377299348586758,12,12,3.084960795134159e-08,True,Up
3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),Cysteine Metabolism,0.0009295560748946502,-0.0058645298357319,0.00679408591062655,,17.0116231399415,3.0100446558720475e-09,6.944966064896609,12,12,2.156812766880625e-07,True,Up
3SALATAi,3-sulfino-alanine transaminase (irreversible),Cysteine Metabolism,0.0009295560748946502,-0.0058645298357319,0.00679408591062655,,17.0116231399415,3.0100446558720475e-09,6.944966064896609,12,12,2.156812766880625e-07,True,Up
GLNt4,L-glutamine reversible transport via sodium symport,"Transport, Extracellular",-0.00027625896933162504,-0.0019425463133423,0.001666287344010675,-2.8138562325842713,16.906971993768213,3.2140252233931202e-09,6.902242413376283,12,12,2.2595203740307104e-07,True,Up
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,1.1249763950941671e-05,-0.0015173294318476,0.0015285791957985416,,16.604508061781193,3.893000077217262e-09,6.778762030215603,12,12,2.6373305977657307e-07,True,Up
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",0.01085694997862721,-0.0502323716073376,0.06108932158596481,,15.772109735168428,6.711711220762076e-09,6.438936836390962,12,12,4.387339650624473e-07,True,Up
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",-0.01085694997862721,0.0502323716073376,-0.06108932158596481,,-15.772109735168428,6.711711220762076e-09,-6.438936836390962,12,12,4.387339650624473e-07,True,Down
