ReactionID,ReactionName,Subsystem,WD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,WD_n,SCD_n,q_value,Significant,Direction
METLEUex,Methionine/Leucine exchange (Met in),"Transport, Extracellular",-0.0047399576144855,0.0014145711492850252,-0.006154528763770525,,-15.855421259152275,8.110512496598787e-18,-2.9783422459552167,12,37,3.021976956232708e-14,True,Down
ARTFR13,R group artificial flux,R Group Synthesis,0.357839375916618,0.08762573877860122,0.2702136371380168,2.029885538359716,5.128566969664262,0.0002969829746015896,2.858592915970632,12,37,0.019413308129219698,True,Up
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,0.357839375916618,0.08762573877860122,0.2702136371380168,2.029885538359716,5.128566969664262,0.0002969829746015896,2.858592915970632,12,37,0.019413308129219698,True,Up
TTDCAtr_copy2,Fatty acid transport,"Transport, Extracellular",0.30918318645679693,0.06640009264576548,0.24278309381103147,2.219204705550738,4.596422402662359,0.0006897725125440233,2.5134617504937755,12,37,0.03671560545341473,True,Up
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Extracellular exchange,-0.3164344622493476,-0.07340814957230557,-0.24302631267704206,2.107894589794525,-4.5967341498661884,0.0006828477401637283,-2.496291623118226,12,37,0.03671560545341473,True,Down
METtec,L-methionine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",0.014258495290788507,0.008569799140360197,0.0056886961504283105,0.7344884386135667,12.57079526626907,8.347784444107091e-15,2.3669753686715387,12,37,1.555192241937151e-11,True,Up
HEX1,Hexokinase (D-glucose:ATP),Glycolysis/Gluconeogenesis,0.46018674719877817,0.07608114609315554,0.38410560110562264,2.596608550408236,7.964250612794063,3.5231377250653385e-08,2.3248272805361947,12,37,4.861930060590167e-06,True,Up
RTOT2,R total flux,R Group Synthesis,0.30701763416902617,0.08292986709988742,0.22408776706913874,1.888357835324318,4.062371113440573,0.0018007670943476083,2.320405067922361,12,37,0.07097941451236725,False,Up
ARTFR204,R group artificial flux,R Group Synthesis,0.2610529207773102,0.06702695209151072,0.19402596868579947,1.9615290617447014,3.844848825940175,0.0026476673929500105,2.2166308712487544,12,37,0.08404521936983841,False,Up
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/Gluconeogenesis,0.7759429991539232,0.9538820691087058,-0.1779390699547826,-0.29786023733517075,-9.960660134060905,4.1328187327741395e-13,-2.0533805365233038,12,37,2.808867954093486e-10,True,Down
PGK,Phosphoglycerate kinase,Glycolysis/Gluconeogenesis,-0.7759429991539232,-0.9538820691087058,0.1779390699547826,-0.29786023740453743,9.960660134060905,4.1328187327741395e-13,2.0533805365233038,12,37,2.808867954093486e-10,True,Up
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,0.19224429866661516,-0.1627276821971081,0.3549719808637233,,8.04690080717349,2.6194089858504174e-09,2.04993439802557,12,37,3.7538145697225597e-07,True,Up
ENO,Enolase,Glycolysis/Gluconeogenesis,0.7802806705833585,0.9563599732149167,-0.17607930263155824,-0.29356058834333887,-9.92798813183299,4.522562590979948e-13,-2.0496947670097567,12,37,2.808867954093486e-10,True,Down
PGM,Phosphoglycerate mutase,Glycolysis/Gluconeogenesis,-0.7802807825950997,-0.9563615702855505,0.17608078769045077,-0.29356279053052614,9.927955867456939,4.523136802082909e-13,2.0496831249839835,12,37,2.808867954093486e-10,True,Up
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,-0.21612999348725023,0.150797125349964,-0.36692711883721424,,-10.479805394034015,1.7501021980744138e-12,-1.968566247738388,12,37,9.31554398575038e-10,True,Down
ARGLYSex,Arginine/Lysine exchanger (Arg in),"Transport, Extracellular",0.030153874938316325,0.01352590500458554,0.016627969933730787,1.1566182758387984,6.404205390065152,1.899998340417792e-06,1.9431949205673162,12,37,0.00019133496801072145,True,Up
PROD2,Proline dehydrogenase,Arginine and Proline Metabolism,0.00056821078097365,0.0009174492159141135,-0.0003492384349404635,-0.6912020003713509,-5.907514216746523,6.547013775639312e-06,-1.8121599130149133,12,37,0.0006254916237956943,True,Down
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,-0.17121601040586432,0.16371434074383961,-0.33493035114970393,,-6.546049350290256,4.6657175953781976e-07,-1.7979114781737975,12,37,5.4326449251184886e-05,True,Down
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,-0.0015173294318476,0.0007331233753946644,-0.0022504528072422644,,-9.49296052837021,2.448288039041548e-11,-1.7831935789476467,12,37,1.1402901541836009e-08,True,Down
FACOAL161,Fatty acid  CoA ligase  hexadecenoate ,Fatty acid activation,-0.79085705411069,-0.4257692077987445,-0.36508784631194546,0.8933453381491242,-3.5309344332978734,0.004040203268834086,-1.741915878964387,12,37,0.09123513563439882,False,Down
HDCEAt,Hexadecenoate  n C161  transport in via uniport,"Transport, Extracellular",-0.79085705411069,-0.4257692077987445,-0.36508784631194546,0.8933453381491242,-3.5309344332978734,0.004040203268834086,-1.741915878964387,12,37,0.09123513563439882,False,Down
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,Extracellular exchange,0.79085705411069,0.4257692077987445,0.36508784631194546,0.8933453378362789,3.5309344332978734,0.004040203268834086,1.741915878964387,12,37,0.09123513563439882,False,Up
CYTK14,"Cytidylate kinase (dCMP,UTP)",Nucleotides,-0.0037086582167096586,-0.2554008235294668,0.2516921653127571,-6.105722087290294,3.8455071681746933,0.0020164991860860716,1.7353097759098102,12,37,0.07666812211588472,False,Up
HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,Steroid Metabolism,0.023873419394490558,0.007270974756754814,0.016602444637735744,1.7151845130308858,6.59101976510941,2.3570262694677933e-07,1.7278174627872076,12,37,2.9274266266789993e-05,True,Up
HSD11B2r,11-beta-hydroxysteroid dehydrogenase type 2,Steroid Metabolism,-0.023873419394490558,-0.007270974756754814,-0.016602444637735744,1.7151845406283581,-6.59101976510941,2.3570262694677933e-07,-1.7278174627872076,12,37,2.9274266266789993e-05,True,Down
EX_fru_e,D-Fructose exchange,Extracellular exchange,0.198275709326846,-0.13233329660096704,0.33060900592781306,,9.001266033457162,9.555129775235418e-11,1.690831826940722,12,37,3.560241354252717e-08,True,Up
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",-0.198275709326846,0.13233329660096704,-0.33060900592781306,,-9.001266033457162,9.555129775235418e-11,-1.690831826940722,12,37,3.560241354252717e-08,True,Down
CYTK4,Cytidylate kinase (dCMP)(GTP),Nucleotides,-0.06442254964076703,0.20046654280317025,-0.26488909244393727,,-5.2328000437024835,3.9881607296555946e-05,-1.667757280462646,12,37,0.002971977375739349,True,Down
CPK1,Adenylate kinase,Nucleotides,0.0211032259722749,0.007286861574297967,0.013816364397976932,1.534094052549274,8.809321463001023,1.6395341254655542e-10,1.6547762334798257,12,37,5.289770907543324e-08,True,Up
