Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Salvage Pathway,3,0,0.0,1,1,0.5,0.75,0.555174876662441,0.0,0.7028524192434831,1.0,False
Pyrimidine Catabolism,18,1,0.05555555555555555,5,6,0.5454545454545454,0.5,-0.01979200403679972,0.0,0.40085272499767055,0.864406779661017,False
Pentose and Glucuronate Interconversions,12,0,0.0,2,5,0.7142857142857143,0.2265625,-0.2785486926428234,0.0,0.3917189105311281,0.6815378289473685,False
Cholesterol Metabolism,43,0,0.0,20,11,0.6451612903225806,0.07480639219284058,0.16226898533218742,0.0,0.38495525887812443,0.5086834669113159,False
Fructose and Mannose Metabolism,16,3,0.1875,7,1,0.875,0.03515625,0.2860766095718251,0.0,0.36391079276480887,0.3259943181818182,False
Citric Acid Cycle,17,0,0.0,8,7,0.5333333333333333,0.4999999999999999,0.057206842413348766,0.0,0.3504095215456928,0.864406779661017,False
D-alanine metabolism,3,0,0.0,2,1,0.6666666666666666,0.5,0.11674016925762376,0.3502205077728713,0.3502205077728713,0.864406779661017,False
Alanine and Aspartate Metabolism,12,1,0.08333333333333333,3,3,0.5,0.65625,-0.008077458575392637,0.0,0.3304947798331962,1.0,False
Glycolysis/Gluconeogenesis,29,0,0.0,15,4,0.7894736842105263,0.00960540771484375,0.16296458402923258,0.05383387313484987,0.2888041604931407,0.31875,False
Biomass and maintenance functions,2,0,0.0,1,0,1.0,0.5,0.2886197467773147,0.2886197467773147,0.2886197467773147,0.864406779661017,False
Oxidative Phosphorylation,5,0,0.0,4,0,1.0,0.0625,0.28690850099730886,0.11936332095544508,0.28690850099730886,0.45535714285714285,False
"Tyr, Phe, Trp Biosynthesis",1,0,0.0,1,0,1.0,0.5,0.2601143170329098,0.2601143170329098,0.2601143170329098,0.864406779661017,False
Tyrosine metabolism,45,4,0.08888888888888889,8,15,0.6521739130434783,0.10501980781555176,-0.08527842347793553,0.0,0.2571677696053448,0.5578125,False
Glyoxylate and Dicarboxylate Metabolism,14,3,0.21428571428571427,2,7,0.7777777777777778,0.08984375,-0.22733433374189807,-0.07769899180128445,0.25534191786754157,0.5578125,False
Butanoate Metabolism,3,0,0.0,1,0,1.0,0.5,0.25040094619518455,0.0,0.25040094619518455,0.864406779661017,False
"Valine, Leucine, and Isoleucine Metabolism",30,0,0.0,11,7,0.6111111111111112,0.2403411865234375,-0.0328845377584166,0.0,0.24743813752611524,0.6815378289473685,False
Propanoate Metabolism,10,0,0.0,4,0,1.0,0.0625,0.24704216852563593,0.0,0.24704216852563593,0.45535714285714285,False
ROS Detoxification,6,0,0.0,3,2,0.6,0.5,-0.056831968739670884,0.025202405897504783,0.24599105067881086,0.864406779661017,False
beta-Alanine metabolism,11,0,0.0,3,0,1.0,0.125,0.22732845311352348,0.0,0.22732845311352348,0.5795454545454546,False
Triacylglycerol Synthesis,13,0,0.0,5,2,0.7142857142857143,0.2265625,0.2098445332759959,0.0,0.22412326149237538,0.6815378289473685,False
Fatty acid oxidation,29,0,0.0,4,2,0.6666666666666666,0.34375,0.07309764020544858,0.0,0.22242855730288263,0.815406976744186,False
"Glycine, Serine, and Threonine Metabolism",30,0,0.0,2,12,0.8571428571428571,0.0064697265625,-0.1825949816880744,0.0,0.21851509754897122,0.31875,False
Histidine Metabolism,11,0,0.0,5,0,1.0,0.03125,0.20869707311496263,0.0,0.20869707311496263,0.31875,False
R Group Synthesis,50,0,0.0,18,7,0.72,0.021642625331878662,0.0839253211829801,0.0,0.20615487334444837,0.31875,False
Vitamin A Metabolism,32,0,0.0,14,9,0.6086956521739131,0.2024364471435547,0.0559614751454377,0.0,0.19744908728151211,0.6815378289473685,False
Starch and Sucrose Metabolism,21,0,0.0,0,6,1.0,0.015625,-0.1973696152619196,0.0,0.1973696152619196,0.31875,False
Pyruvate Metabolism,27,0,0.0,4,7,0.6363636363636364,0.2744140625,-0.10563405266210094,0.0,0.1964549665255271,0.7176983173076923,False
Miscellaneous,12,0,0.0,3,2,0.6,0.5,0.02220762446592939,0.0,0.19514701615393368,0.864406779661017,False
Pentose Phosphate Pathway,18,0,0.0,4,9,0.6923076923076923,0.1334228515625,-0.12784434716991477,-0.03819536040775363,0.1913385560075871,0.5917013417119565,False
Pyrimidine Biosynthesis,8,1,0.125,1,1,0.5,0.75,-0.03870047825399822,0.0,0.1830103516426394,1.0,False
"Transport, Extracellular",516,5,0.009689922480620155,127,108,0.5404255319148936,0.12012816720922051,0.007647163377830853,0.0,0.1816762026668744,0.5795454545454546,False
"Transport, Mitochondrial",190,0,0.0,50,32,0.6097560975609756,0.029904169167158087,0.031081664120001278,0.0,0.18128527425864088,0.31875,False
Fatty acid elongation,25,1,0.04,5,4,0.5555555555555556,0.5,0.013816194822951343,0.0,0.16960543124029023,0.864406779661017,False
Urea cycle/amino group metabolism,25,0,0.0,6,5,0.5454545454545454,0.5,0.01565467929505819,0.0,0.16663442718386867,0.864406779661017,False
Folate Metabolism,50,0,0.0,12,3,0.8,0.017578125,0.1380311006222949,0.0,0.16620959817859707,0.31875,False
Glutamate metabolism,10,0,0.0,4,1,0.8,0.1875,0.05824953450955409,0.0,0.1608161389068539,0.6815378289473685,False
Taurine and hypotaurine metabolism,7,0,0.0,5,0,1.0,0.03125,0.15585587957846106,0.1706595096008385,0.15585587957846106,0.31875,False
Purine Catabolism,10,0,0.0,1,2,0.6666666666666666,0.5,-0.05595034515992303,0.0,0.15110701436750343,0.864406779661017,False
Nucleotides,164,1,0.006097560975609756,37,19,0.6607142857142857,0.011120694736430053,0.04039794199202839,0.0,0.1506957527399546,0.31875,False
Fatty acid activation,37,1,0.02702702702702703,6,6,0.5,0.61279296875,0.02794925851973048,0.0,0.14426241857259958,1.0,False
Ascorbate and Aldarate Metabolism,13,0,0.0,4,2,0.6666666666666666,0.34375,0.04026180144163733,0.0,0.1386058951967957,0.815406976744186,False
Tryptophan metabolism,42,0,0.0,11,5,0.6875,0.1050567626953125,0.08814884002975873,0.0,0.13146410732053992,0.5578125,False
Glycerophospholipid Metabolism,47,0,0.0,11,5,0.6875,0.1050567626953125,0.09115401408842991,0.0,0.12879773485380933,0.5578125,False
Intracellular demand,35,1,0.02857142857142857,5,2,0.7142857142857143,0.2265625,0.06391987443140366,0.0,0.12847024190534678,0.6815378289473685,False
"Transport, Peroxisomal",80,0,0.0,13,17,0.5666666666666667,0.2923323558643461,-0.023257295091825687,0.0,0.12795014083560804,0.7454475074540825,False
Cysteine Metabolism,19,0,0.0,0,5,1.0,0.03125,-0.11813134916138888,0.0,0.11813134916138888,0.31875,False
C5-Branched dibasic acid metabolism,8,0,0.0,2,2,0.5,0.6875,0.0,0.0,0.09786559658141708,1.0,False
Extracellular exchange,416,2,0.004807692307692308,47,51,0.5204081632653061,0.3810181097646219,-0.01207230891269918,0.0,0.09232405818455483,0.8636410487998096,False
"Transport, Endoplasmic Reticular",102,0,0.0,11,7,0.6111111111111112,0.2403411865234375,-0.009819633706889343,0.0,0.09091577279213699,0.6815378289473685,False
Galactose metabolism,12,0,0.0,2,3,0.6,0.5,-0.026845544406316146,0.0,0.08973413505928392,0.864406779661017,False
Arginine and Proline Metabolism,33,0,0.0,5,3,0.625,0.36328125,0.020748991855665085,0.0,0.08680707140728629,0.8421519886363636,False
Fatty Acid Metabolism,42,0,0.0,4,1,0.8,0.1875,0.05190333440126654,0.0,0.07857118730513453,0.6815378289473685,False
Heme Biosynthesis,10,0,0.0,0,1,1.0,0.5,-0.06557036729379985,0.0,0.06557036729379985,0.864406779661017,False
Tetrahydrobiopterin,9,0,0.0,2,1,0.6666666666666666,0.5,0.017970314980093834,0.0,0.06318970455001095,0.864406779661017,False
"Transport, Lysosomal",72,0,0.0,3,1,0.75,0.3125,0.031049387209967718,0.0,0.06209877441993535,0.7774390243902439,False
Lysine Metabolism,22,0,0.0,4,8,0.6666666666666666,0.19384765625,-0.02473904549808499,0.0,0.05967445518668743,0.6815378289473685,False
Glutathione Metabolism,11,0,0.0,2,0,1.0,0.25,0.05723704207305691,0.0,0.05723704207305691,0.6815378289473685,False
Steroid Metabolism,42,0,0.0,6,3,0.6666666666666666,0.25390625,0.011154227145439448,0.0,0.04863718228329296,0.6815378289473685,False
Carnitine shuttle,111,0,0.0,4,0,1.0,0.0625,0.03407012004714751,0.0,0.03407012004714751,0.45535714285714285,False
Sphingolipid Metabolism,79,0,0.0,5,1,0.8333333333333334,0.109375,0.030878598704516137,0.0,0.032021741009304217,0.5578125,False
Aminosugar Metabolism,24,0,0.0,0,2,1.0,0.25,-0.02889314442530078,0.0,0.02889314442530078,0.6815378289473685,False
"Transport, Nuclear",62,0,0.0,2,0,1.0,0.25,0.023399436139535944,0.0,0.023399436139535944,0.6815378289473685,False
Inositol Phosphate Metabolism,64,0,0.0,2,0,1.0,0.25,0.01803873417356986,0.0,0.01803873417356986,0.6815378289473685,False
CYP Metabolism,12,0,0.0,1,1,0.5,0.75,0.008915402338934793,0.0,0.012883740601009856,1.0,False
"Fatty acid oxidation, peroxisome",19,0,0.0,0,2,1.0,0.25,-0.00574267745317988,0.0,0.00574267745317988,0.6815378289473685,False
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,36,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Eicosanoid Metabolism,25,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Vitamin D,14,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
N-Glycan Biosynthesis,108,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Methionine Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Keratan sulfate degradation,75,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Chondroitin sulfate degradation,44,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Hyaluronan Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
NAD Metabolism,23,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Thiamine Metabolism,6,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
O-Glycan Biosynthesis,13,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
"Transport, Golgi Apparatus",78,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Bile Acid Biosynthesis,41,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Heparan sulfate degradation,27,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Vitamin B6 Metabolism,9,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
IMP Biosynthesis,10,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Heme Degradation,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Ubiquinone Biosynthesis,14,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Chondroitin / heparan sulfate biosynthesis,45,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Phenylalanine metabolism,9,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
CoA Catabolism,4,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Nucleotide Sugar Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
CoA Biosynthesis,6,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Selenoamino acid metabolism,12,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Others,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
N-Glycan Degradation,16,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Keratan sulfate biosynthesis,59,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
