Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Glycolysis/Gluconeogenesis,29,7,0.2413793103448276,9,10,0.5263157894736842,0.5,-0.13174804666101908,0.0,0.5640949977678958,0.8225806451612904,False
Biomass and maintenance functions,2,1,0.5,0,1,1.0,0.5,-0.5071796617365584,-0.5071796617365584,0.5071796617365584,0.8225806451612904,False
Glyoxylate and Dicarboxylate Metabolism,14,3,0.21428571428571427,7,2,0.7777777777777778,0.08984375,0.3687667435595475,0.051652505523134766,0.5022836004266428,0.6710526315789473,False
Cholesterol Metabolism,43,15,0.3488372093023256,8,23,0.7419354838709677,0.005336920265108347,-0.36586375169623614,-0.2535722871083871,0.43746509478317835,0.45535714285714285,False
Urea cycle/amino group metabolism,25,6,0.24,4,7,0.6363636363636364,0.2744140625,-0.07916568084697653,0.0,0.40717352640352106,0.8225806451612904,False
Oxidative Phosphorylation,5,0,0.0,1,3,0.75,0.3125,-0.17290144335783458,-0.3682405483685651,0.3657650806400489,0.8225806451612904,False
ROS Detoxification,6,1,0.16666666666666666,2,3,0.6,0.5,0.16785184868018785,-0.013747759781970332,0.3510228312228818,0.8225806451612904,False
Citric Acid Cycle,17,0,0.0,7,8,0.5333333333333333,0.4999999999999999,-0.0732921083281471,0.0,0.3435872089009516,0.8225806451612904,False
Alanine and Aspartate Metabolism,12,0,0.0,4,2,0.6666666666666666,0.34375,0.030373347321943633,0.0,0.3043140393374601,0.8225806451612904,False
D-alanine metabolism,3,0,0.0,2,1,0.6666666666666666,0.5,0.09896091868172795,0.2968827560451838,0.2968827560451838,0.8225806451612904,False
Taurine and hypotaurine metabolism,7,0,0.0,0,5,1.0,0.03125,-0.2943656210030192,-0.15640782191519934,0.2943656210030192,0.45535714285714285,False
Pyrimidine Biosynthesis,8,2,0.25,1,1,0.5,0.75,0.032736062804170296,0.0,0.2863258936724384,1.0,False
Triacylglycerol Synthesis,13,3,0.23076923076923078,4,3,0.5714285714285714,0.5,-0.19191742128841777,0.0,0.27624842031455665,0.8225806451612904,False
Starch and Sucrose Metabolism,21,6,0.2857142857142857,0,6,1.0,0.015625,-0.2516931494808884,0.0,0.2516931494808884,0.45535714285714285,False
