Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Biomass and maintenance functions,2,1,0.5,0,1,1.0,0.5,-0.8214121762845399,-0.8214121762845399,0.8214121762845399,0.8793103448275862,False
Oxidative Phosphorylation,5,1,0.2,0,4,1.0,0.0625,-0.790607311376504,-0.9809446750541148,0.790607311376504,0.5795454545454546,False
Cholesterol Metabolism,43,14,0.32558139534883723,8,23,0.7419354838709677,0.005336920265108347,-0.6000644990139106,-0.10743415549914492,0.6878493630786079,0.1814552890136838,False
Salvage Pathway,3,1,0.3333333333333333,0,2,1.0,0.25,-0.6107586695751835,-0.44179676820378116,0.6107586695751835,0.8793103448275862,False
Triacylglycerol Synthesis,13,5,0.38461538461538464,0,7,1.0,0.0078125,-0.5596290680872972,-0.06660312176802699,0.5596290680872972,0.19921875,False
R Group Synthesis,50,9,0.18,11,14,0.56,0.34501898288726807,-0.11757238517700117,0.0,0.5032408563228865,0.8793103448275862,False
Alanine and Aspartate Metabolism,12,4,0.3333333333333333,2,4,0.6666666666666666,0.34375,-0.24598560432544814,0.0,0.46674949085455425,0.8793103448275862,False
Vitamin A Metabolism,32,3,0.09375,10,13,0.5652173913043478,0.3388197422027588,-0.0806331617599643,0.0,0.4313045194589308,0.8793103448275862,False
Glycolysis/Gluconeogenesis,29,4,0.13793103448275862,6,13,0.6842105263157895,0.08353424072265625,-0.08014287776022562,0.0,0.42085607537784214,0.7100410461425781,False
Citric Acid Cycle,17,1,0.058823529411764705,8,7,0.5333333333333333,0.4999999999999999,0.01701656938446415,0.0,0.3852877786705526,0.8793103448275862,False
"Tyr, Phe, Trp Biosynthesis",1,0,0.0,1,0,1.0,0.5,0.38139320509333596,0.38139320509333596,0.38139320509333596,0.8793103448275862,False
Glycerophospholipid Metabolism,47,10,0.2127659574468085,5,11,0.6875,0.1050567626953125,-0.32674611036168794,0.0,0.37806397534417263,0.7703125,False
Pyrimidine Catabolism,18,2,0.1111111111111111,4,7,0.6363636363636364,0.2744140625,0.02294947696953834,0.0,0.3435221608567558,0.8793103448275862,False
"Valine, Leucine, and Isoleucine Metabolism",30,1,0.03333333333333333,8,10,0.5555555555555556,0.40726470947265625,0.09751103423709469,0.0,0.3189979925444728,0.8793103448275862,False
"Transport, Peroxisomal",80,9,0.1125,16,14,0.5333333333333333,0.42776777595281607,0.020096060319321006,0.0,0.28043320070369315,0.8793103448275862,False
Pyrimidine Biosynthesis,8,1,0.125,0,2,1.0,0.25,-0.27632369562937537,0.0,0.27632369562937537,0.8793103448275862,False
Lysine Metabolism,22,0,0.0,4,8,0.6666666666666666,0.19384765625,-0.06156908292668762,0.0,0.25599881032302885,0.8793103448275862,False
