Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Glyoxylate and Dicarboxylate Metabolism,14,6,0.42857142857142855,7,2,0.7777777777777778,0.08984375,31.140753771578524,0.380718678759791,31.485428493042058,0.6019489193908758,False
Fructose and Mannose Metabolism,16,4,0.25,3,5,0.625,0.36328125,-17.047032053789295,0.0,17.586809649678916,0.864406779661017,False
Pyruvate Metabolism,27,5,0.18518518518518517,5,6,0.5454545454545454,0.5,10.723304977130377,0.0,11.433063410856532,0.864406779661017,False
Tyrosine metabolism,45,7,0.15555555555555556,13,10,0.5652173913043478,0.3388197422027588,10.7197459652259,0.0,10.895009315712567,0.864406779661017,False
"Transport, Extracellular",516,81,0.1569767441860465,110,125,0.5319148936170213,0.1805677184504436,1.7275168175224804,0.0,4.337311475892498,0.8354334677419355,False
Steroid Metabolism,42,5,0.11904761904761904,6,3,0.6666666666666666,0.25390625,3.6552829258366653,0.0,3.943118281729927,0.8354334677419355,False
R Group Synthesis,50,7,0.14,10,15,0.6,0.21217811107635498,2.0376880333427256,0.0,3.5921491237951257,0.8354334677419355,False
"Transport, Mitochondrial",190,28,0.14736842105263157,36,46,0.5609756097560976,0.1601466818190071,2.617915612988299,0.0,3.321927457515513,0.8354334677419355,False
Citric Acid Cycle,17,4,0.23529411764705882,8,7,0.5333333333333333,0.4999999999999999,1.4339483972527711,0.0,2.454791736836851,0.864406779661017,False
Triacylglycerol Synthesis,13,5,0.38461538461538464,2,5,0.7142857142857143,0.2265625,-2.237976917608059,0.0,2.316564184130338,0.8354334677419355,False
Intracellular demand,35,4,0.11428571428571428,2,5,0.7142857142857143,0.2265625,1.721762565836947,0.0,2.179502815980219,0.8354334677419355,False
Glycolysis/Gluconeogenesis,29,8,0.27586206896551724,6,13,0.6842105263157895,0.08353424072265625,0.2787788410037263,0.0,1.5762852687337454,0.6019489193908758,False
CYP Metabolism,12,1,0.08333333333333333,2,0,1.0,0.25,1.2337492861288075,0.0,1.2337492861288075,0.8354334677419355,False
Extracellular exchange,416,24,0.057692307692307696,56,42,0.5714285714285714,0.09442335990445111,0.9987032711543613,0.0,1.2269472680492925,0.6019489193908758,False
Pyrimidine Biosynthesis,8,2,0.25,1,1,0.5,0.75,0.6582483863828394,0.0,1.0364421211710613,1.0,False
Nucleotides,164,22,0.13414634146341464,22,34,0.6071428571428571,0.07044771179924035,-0.6595028372361673,0.0,1.0114642764061226,0.57275390625,False
Cysteine Metabolism,19,3,0.15789473684210525,5,0,1.0,0.03125,0.9599027962799324,0.0,0.9599027962799324,0.3984375,False
"Valine, Leucine, and Isoleucine Metabolism",30,1,0.03333333333333333,8,10,0.5555555555555556,0.40726470947265625,-0.6040949486697662,0.0,0.9532810716019507,0.864406779661017,False
Alanine and Aspartate Metabolism,12,5,0.4166666666666667,2,4,0.6666666666666666,0.34375,-0.5024021192902888,0.0,0.9409151143834578,0.864406779661017,False
Pyrimidine Catabolism,18,5,0.2777777777777778,5,6,0.5454545454545454,0.5,0.05044918762054461,0.0,0.849885053235722,0.864406779661017,False
Cholesterol Metabolism,43,17,0.3953488372093023,9,22,0.7096774193548387,0.014724686741828918,-0.48323021431822477,-0.2202677444220187,0.8407824720330085,0.3984375,False
Oxidative Phosphorylation,5,2,0.4,1,3,0.75,0.3125,-0.17739242576211553,-0.41378696310185925,0.8306223422391108,0.864406779661017,False
Biomass and maintenance functions,2,1,0.5,0,1,1.0,0.5,-0.7563874695765227,-0.7563874695765227,0.7563874695765227,0.864406779661017,False
C5-Branched dibasic acid metabolism,8,2,0.25,2,2,0.5,0.6875,0.0,0.0,0.6968333196654742,1.0,False
Ascorbate and Aldarate Metabolism,13,3,0.23076923076923078,3,3,0.5,0.65625,-0.15536584593761926,0.0,0.6886907293850809,1.0,False
Vitamin A Metabolism,32,5,0.15625,10,13,0.5652173913043478,0.3388197422027588,-0.14503622065545935,0.0,0.6551260531318863,0.864406779661017,False
Purine Catabolism,10,3,0.3,2,1,0.6666666666666666,0.5,0.16140351603440384,0.0,0.6420281096623087,0.864406779661017,False
Salvage Pathway,3,1,0.3333333333333333,1,1,0.5,0.75,-0.5945141317761083,0.0,0.6102179819648245,1.0,False
Fatty acid activation,37,3,0.08108108108108109,4,8,0.6666666666666666,0.19384765625,0.21689614756247227,0.0,0.5978854206704945,0.8354334677419355,False
Glutamate metabolism,10,1,0.1,3,2,0.6,0.5,0.3038583137265579,0.0,0.5872556786046792,0.864406779661017,False
Urea cycle/amino group metabolism,25,4,0.16,5,6,0.5454545454545454,0.5,-0.13352305098898115,0.0,0.5314410916340075,0.864406779661017,False
Pentose and Glucuronate Interconversions,12,1,0.08333333333333333,6,1,0.8571428571428571,0.0625,0.4142470721958101,0.16286356450526487,0.48107896617249524,0.57275390625,False
Glycerophospholipid Metabolism,47,10,0.2127659574468085,1,15,0.9375,0.0002593994140625,-0.4351494938747222,0.0,0.46803904165253424,0.026458740234375,True
Lysine Metabolism,22,4,0.18181818181818182,9,3,0.75,0.072998046875,0.23634021432899718,0.0,0.46287189757203195,0.57275390625,False
Propanoate Metabolism,10,1,0.1,3,1,0.75,0.3125,0.12740885218970668,0.0,0.4000209824298212,0.864406779661017,False
Taurine and hypotaurine metabolism,7,0,0.0,0,5,1.0,0.03125,-0.388291847651754,-0.31421540664140546,0.388291847651754,0.3984375,False
"Glycine, Serine, and Threonine Metabolism",30,3,0.1,9,5,0.6428571428571429,0.21197509765625,0.1713020038207187,0.0,0.37982756162157766,0.8354334677419355,False
ROS Detoxification,6,0,0.0,2,3,0.6,0.5,0.01841023511784055,-0.1275826023907455,0.3720962382600069,0.864406779661017,False
Folate Metabolism,50,5,0.1,3,12,0.8,0.017578125,-0.23068807056966423,0.0,0.34106234570860805,0.3984375,False
Fatty acid oxidation,29,4,0.13793103448275862,2,4,0.6666666666666666,0.34375,-0.21214436602365835,0.0,0.3192036383925646,0.864406779661017,False
"Transport, Peroxisomal",80,11,0.1375,14,16,0.5333333333333333,0.42776777595281607,0.005939682136909552,0.0,0.31189046892024824,0.864406779661017,False
beta-Alanine metabolism,11,0,0.0,0,3,1.0,0.125,-0.29153526662808976,0.0,0.29153526662808976,0.7083333333333334,False
Tryptophan metabolism,42,4,0.09523809523809523,4,12,0.75,0.0384063720703125,-0.10553262663164081,0.0,0.2893529762477999,0.435272216796875,False
Fatty acid elongation,25,1,0.04,5,4,0.5555555555555556,0.5,-0.1801719595763578,0.0,0.2736445068233025,0.864406779661017,False
Pentose Phosphate Pathway,18,0,0.0,10,3,0.7692307692307693,0.046142578125,0.16835933771024852,0.09224529814167458,0.2600949330701263,0.470654296875,False
Butanoate Metabolism,3,0,0.0,0,1,1.0,0.5,-0.24047702844288163,0.0,0.24047702844288163,0.864406779661017,False
Arginine and Proline Metabolism,33,1,0.030303030303030304,4,4,0.5,0.63671875,-0.07806071544799308,0.0,0.21051127948437448,1.0,False
Tetrahydrobiopterin,9,0,0.0,2,1,0.6666666666666666,0.5,0.14286310826319584,0.0,0.17041458783591876,0.864406779661017,False
Histidine Metabolism,11,0,0.0,0,5,1.0,0.03125,-0.1652868659324963,0.0,0.1652868659324963,0.3984375,False
"Transport, Endoplasmic Reticular",102,7,0.06862745098039216,8,10,0.5555555555555556,0.40726470947265625,0.02783061533907823,0.0,0.15431823418478044,0.864406779661017,False
Fatty Acid Metabolism,42,2,0.047619047619047616,0,5,1.0,0.03125,-0.14042258978541747,0.0,0.14042258978541747,0.3984375,False
