Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Glycolysis/Gluconeogenesis,29,8,0.27586206896551724,9,10,0.5263157894736842,0.5,0.14192437837203975,0.0,0.6447232656253085,0.864406779661017,False
Oxidative Phosphorylation,5,1,0.2,0,4,1.0,0.0625,-0.49597270789760495,-0.5331779906875427,0.49597270789760495,0.53125,False
"Tyr, Phe, Trp Biosynthesis",1,0,0.0,1,0,1.0,0.5,0.4628912843570757,0.4628912843570757,0.4628912843570757,0.864406779661017,False
R Group Synthesis,50,4,0.08,15,10,0.6,0.21217811107635498,0.1231146948034982,0.0,0.4559059782928736,0.864406779661017,False
Vitamin A Metabolism,32,0,0.0,13,10,0.5652173913043478,0.3388197422027588,0.07467707892512684,0.0,0.3690752494632321,0.864406779661017,False
Citric Acid Cycle,17,1,0.058823529411764705,6,9,0.6,0.30361938476562494,0.10451870470435032,-0.001548254298850702,0.36422046606520364,0.864406779661017,False
ROS Detoxification,6,1,0.16666666666666666,3,2,0.6,0.5,-0.011922721562164604,0.08751780961846557,0.3413374864074396,0.864406779661017,False
Alanine and Aspartate Metabolism,12,0,0.0,3,3,0.5,0.65625,-0.00925525084159795,0.0,0.31607196673017146,1.0,False
Pyrimidine Biosynthesis,8,1,0.125,0,2,1.0,0.25,-0.29708566045672175,0.0,0.29708566045672175,0.864406779661017,False
Biomass and maintenance functions,2,0,0.0,0,1,1.0,0.5,-0.2967458523530319,-0.2967458523530319,0.2967458523530319,0.864406779661017,False
Cholesterol Metabolism,43,0,0.0,7,24,0.7741935483870968,0.0016634464263916016,-0.24805667929657385,-0.28149057441341185,0.2923710184462604,0.087158203125,False
Tyrosine metabolism,45,0,0.0,12,11,0.5217391304347826,0.5,-0.007819322703102424,0.0,0.28422294357909333,0.864406779661017,False
Taurine and hypotaurine metabolism,7,0,0.0,5,0,1.0,0.03125,0.27860143000708,0.18031773542259946,0.27860143000708,0.3984375,False
Glyoxylate and Dicarboxylate Metabolism,14,0,0.0,3,6,0.6666666666666666,0.25390625,-0.07202268406991319,0.0,0.26663024738185076,0.864406779661017,False
Fatty acid activation,37,2,0.05405405405405406,8,4,0.6666666666666666,0.19384765625,0.09875519087319497,0.0,0.26358096209393134,0.864406779661017,False
Lysine Metabolism,22,0,0.0,4,8,0.6666666666666666,0.19384765625,-0.0695575578946206,0.0,0.25958324230027435,0.864406779661017,False
Tryptophan metabolism,42,0,0.0,12,4,0.75,0.0384063720703125,0.16837331071485162,0.0,0.2534808803903096,0.435272216796875,False
Triacylglycerol Synthesis,13,0,0.0,2,5,0.7142857142857143,0.2265625,-0.15935215423975205,0.0,0.24767880105444215,0.864406779661017,False
Glycerophospholipid Metabolism,47,8,0.1702127659574468,5,11,0.6875,0.1050567626953125,-0.09440690584430202,0.0,0.22758693801779126,0.74375,False
Fructose and Mannose Metabolism,16,1,0.0625,0,8,1.0,0.00390625,-0.2028528901418007,-0.03023504833133312,0.2028528901418007,0.1328125,False
Salvage Pathway,3,0,0.0,0,2,1.0,0.25,-0.20148217238817914,-0.1964583680124946,0.20148217238817914,0.864406779661017,False
Glutamate metabolism,10,1,0.1,2,3,0.6,0.5,-0.11729159494441037,0.0,0.20017575265872098,0.864406779661017,False
Galactose metabolism,12,1,0.08333333333333333,3,2,0.6,0.5,0.04039274592441475,0.0,0.19603949419682878,0.864406779661017,False
"Transport, Extracellular",516,22,0.04263565891472868,128,107,0.5446808510638298,0.09594992687216371,0.01968527276599241,0.0,0.19284399623840837,0.74375,False
"Transport, Peroxisomal",80,1,0.0125,17,13,0.5666666666666667,0.2923323558643461,0.013046393113943417,0.0,0.18829826211314277,0.864406779661017,False
Ascorbate and Aldarate Metabolism,13,0,0.0,3,3,0.5,0.65625,0.009342940883066342,0.0,0.1881430459579025,1.0,False
Butanoate Metabolism,3,0,0.0,1,0,1.0,0.5,0.18577345292461722,0.0,0.18577345292461722,0.864406779661017,False
Folate Metabolism,50,2,0.04,4,11,0.7333333333333333,0.05923461914062499,-0.016359266382580735,0.0,0.1817026856490703,0.53125,False
Pyruvate Metabolism,27,2,0.07407407407407407,4,7,0.6363636363636364,0.2744140625,-0.10510770356801336,0.0,0.17975948669241945,0.864406779661017,False
Fatty acid elongation,25,0,0.0,6,3,0.6666666666666666,0.25390625,0.11103490451747389,0.0,0.1737235721055022,0.864406779661017,False
Urea cycle/amino group metabolism,25,0,0.0,4,7,0.6363636363636364,0.2744140625,-0.021679214949401907,0.0,0.1725542326002828,0.864406779661017,False
Steroid Metabolism,42,3,0.07142857142857142,5,4,0.5555555555555556,0.5,-0.00026475447599898824,0.0,0.16937610602688005,0.864406779661017,False
"Transport, Mitochondrial",190,2,0.010526315789473684,42,40,0.5121951219512195,0.4560783037763011,0.02353188136825125,0.0,0.16096659802513505,0.864406779661017,False
CYP Metabolism,12,1,0.08333333333333333,0,2,1.0,0.25,-0.16054340291997668,0.0,0.16054340291997668,0.864406779661017,False
Arginine and Proline Metabolism,33,1,0.030303030303030304,3,5,0.625,0.36328125,-0.04256796315512296,0.0,0.15361012617897477,0.864406779661017,False
Nucleotides,164,3,0.018292682926829267,29,27,0.5178571428571429,0.4469265474175108,0.030681269908400012,0.0,0.14374952539214897,0.864406779661017,False
Pentose Phosphate Pathway,18,0,0.0,1,12,0.9230769230769231,0.001708984375,-0.14303220302244013,-0.12240999417276954,0.14334367381531107,0.087158203125,False
Pentose and Glucuronate Interconversions,12,0,0.0,2,5,0.7142857142857143,0.2265625,-0.036546146650358186,0.0,0.1321828268564013,0.864406779661017,False
Tetrahydrobiopterin,9,0,0.0,1,2,0.6666666666666666,0.5,-0.01837764271219916,0.0,0.1270321808070488,0.864406779661017,False
"Valine, Leucine, and Isoleucine Metabolism",30,0,0.0,4,14,0.7777777777777778,0.01544189453125,-0.0068011279428464326,0.0,0.1260823347597884,0.265625,False
Pyrimidine Catabolism,18,0,0.0,5,6,0.5454545454545454,0.5,-0.00743724548073683,0.0,0.11422783712666179,0.864406779661017,False
"Fatty acid oxidation, peroxisome",19,1,0.05263157894736842,1,1,0.5,0.75,-0.03310141354404769,0.0,0.11178644932818373,1.0,False
Extracellular exchange,416,6,0.014423076923076924,52,46,0.5306122448979592,0.30686723381506975,-0.005449455788343095,0.0,0.11021115217039526,0.864406779661017,False
beta-Alanine metabolism,11,0,0.0,3,0,1.0,0.125,0.10925844311834364,0.0,0.10925844311834364,0.75,False
Cysteine Metabolism,19,0,0.0,2,3,0.6,0.5,-0.0988364915132985,0.0,0.104647436023117,0.864406779661017,False
"Glycine, Serine, and Threonine Metabolism",30,0,0.0,6,8,0.5714285714285714,0.395263671875,0.022742172038542372,0.0,0.10218530246304554,0.864406779661017,False
C5-Branched dibasic acid metabolism,8,0,0.0,2,2,0.5,0.6875,0.0,0.0,0.092395641108502,1.0,False
Propanoate Metabolism,10,0,0.0,1,3,0.75,0.3125,-0.05741255005853163,0.0,0.08934945127765923,0.864406779661017,False
Glutathione Metabolism,11,0,0.0,1,1,0.5,0.75,-0.04517881203263488,0.0,0.07432881990510529,1.0,False
Sphingolipid Metabolism,79,2,0.02531645569620253,1,5,0.8333333333333334,0.109375,-0.032941041713901935,0.0,0.06844158397369586,0.74375,False
"Transport, Endoplasmic Reticular",102,0,0.0,6,12,0.6666666666666666,0.1189422607421875,-0.0051370234991134104,0.0,0.06603434534382364,0.75,False
Miscellaneous,12,0,0.0,2,3,0.6,0.5,-0.018039993975866787,0.0,0.05884574144051985,0.864406779661017,False
Intracellular demand,35,0,0.0,3,4,0.5714285714285714,0.5,0.02201717601738788,0.0,0.05182025222154499,0.864406779661017,False
Fatty Acid Metabolism,42,0,0.0,2,3,0.6,0.5,-0.0012857376435446983,0.0,0.045363921150594955,0.864406779661017,False
D-alanine metabolism,3,0,0.0,2,1,0.6666666666666666,0.5,0.01188936924288112,0.03566810772864336,0.03566810772864336,0.864406779661017,False
Purine Catabolism,10,0,0.0,2,1,0.6666666666666666,0.5,0.01253497801651563,0.0,0.030204792641321067,0.864406779661017,False
Aminosugar Metabolism,24,0,0.0,2,0,1.0,0.25,0.026122203331171674,0.0,0.026122203331171674,0.864406779661017,False
Starch and Sucrose Metabolism,21,0,0.0,6,0,1.0,0.015625,0.02354868157125248,0.0,0.02354868157125248,0.265625,False
Histidine Metabolism,11,0,0.0,0,5,1.0,0.03125,-0.023183117616892564,0.0,0.023183117616892564,0.3984375,False
Inositol Phosphate Metabolism,64,0,0.0,0,2,1.0,0.25,-0.018546615772061528,0.0,0.018546615772061528,0.864406779661017,False
"Transport, Nuclear",62,0,0.0,1,1,0.5,0.75,0.013881429403656232,0.0,0.01711813301172524,1.0,False
Fatty acid oxidation,29,0,0.0,0,6,1.0,0.015625,-0.016444601035840965,0.0,0.016444601035840965,0.265625,False
Heme Biosynthesis,10,0,0.0,1,0,1.0,0.5,0.013225694001267782,0.0,0.013225694001267782,0.864406779661017,False
"Transport, Lysosomal",72,0,0.0,1,3,0.75,0.3125,-0.0049645747579753876,0.0,0.009929149515950694,0.864406779661017,False
Carnitine shuttle,111,0,0.0,0,4,1.0,0.0625,-0.00304810821191736,0.0,0.00304810821191736,0.53125,False
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,36,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Keratan sulfate degradation,75,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Eicosanoid Metabolism,25,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Chondroitin sulfate degradation,44,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
N-Glycan Biosynthesis,108,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Vitamin D,14,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Thiamine Metabolism,6,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
NAD Metabolism,23,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Blood Group Biosynthesis,31,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
O-Glycan Biosynthesis,13,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Nucleotide Sugar Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Methionine Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
"Transport, Golgi Apparatus",78,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Hyaluronan Metabolism,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Bile Acid Biosynthesis,41,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Heparan sulfate degradation,27,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Heme Degradation,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Ubiquinone Biosynthesis,14,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Chondroitin / heparan sulfate biosynthesis,45,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Phenylalanine metabolism,9,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
CoA Catabolism,4,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Vitamin B6 Metabolism,9,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
IMP Biosynthesis,10,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Keratan sulfate biosynthesis,59,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Limonene and pinene degradation,6,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Alkaloid biosynthesis II,5,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
CoA Biosynthesis,6,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Others,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
N-Glycan Degradation,16,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Nucleic acid degradation,9,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
"Stilbene, coumarine and lignin biosynthesis",1,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Selenoamino acid metabolism,12,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Riboflavin Metabolism,3,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Biotin Metabolism,12,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Intracellular source/sink,3,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
Vitamin B12 Metabolism,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
D-arg and D-orn metabolism,2,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,False
