source,target,interaction,effect_size,pvalue,qvalue
DESAT16_2,Fatty acid elongation,in_pathway,1.7858731146152242,0.0002926559449312716,0.049659002874481335
TRIOK,Fructose and Mannose Metabolism,in_pathway,1.6779900641543462,5.8141822889955146e-11,7.22121440293243e-08
KHK,Fructose and Mannose Metabolism,in_pathway,1.6779900641543462,5.8141822889955146e-11,7.22121440293243e-08
FBA2,Fructose and Mannose Metabolism,in_pathway,1.6779900641543462,5.8141822889955146e-11,7.22121440293243e-08
CYSALANaEx,"Transport, Extracellular",in_pathway,1.618385284582875,8.363306158817925e-09,7.790419686938897e-06
FACOAL160,Fatty acid activation,in_pathway,1.443387430467594,0.00019226190236215686,0.049659002874481335
DCMPDA,Pyrimidine Catabolism,in_pathway,-1.3650368885715412,2.251637182961218e-06,0.0016779200287426997
NDPK7m,Nucleotides,in_pathway,1.3121467684839008,1.2459022312497089e-05,0.005802789642045519
DM_dctp_m,Intracellular demand,in_pathway,1.3121467684839008,1.2459022312497089e-05,0.005802789642045519
ASPTA,Alanine and Aspartate Metabolism,in_pathway,-1.0878660331531873,0.00022887447483806777,0.049659002874481335
THRSERNaEx,"Transport, Extracellular",in_pathway,-0.9518452232029181,1.0234310552283273e-05,0.005802789642045519
CTPS2,Pyrimidine Biosynthesis,in_pathway,-0.8868433195865505,0.00023131958127841772,0.049659002874481335
4HOXPACDOX_NADP,Tyrosine metabolism,in_pathway,0.84380288909417,0.0003198647528146946,0.049659002874481335
TYRCBOX,Tyrosine metabolism,in_pathway,0.84380288909417,0.0003198647528146946,0.049659002874481335
HPACtr,"Transport, Extracellular",in_pathway,0.84380288909417,0.0003198647528146946,0.049659002874481335
TYROXDAc,Tyrosine metabolism,in_pathway,0.84380288909417,0.0003198647528146946,0.049659002874481335
EX_4hphac_e,Extracellular exchange,in_pathway,0.84380288909417,0.0003198647528146946,0.049659002874481335
FBA4,Glyoxylate and Dicarboxylate Metabolism,in_pathway,-0.742286817930008,0.0002781139535814083,0.049659002874481335
GCALDD,Glyoxylate and Dicarboxylate Metabolism,in_pathway,-0.742286817930008,0.0002781139535814083,0.049659002874481335
KHK2,Glyoxylate and Dicarboxylate Metabolism,in_pathway,-0.742286817930008,0.0002781139535814083,0.049659002874481335
IDHPOXOX3,Tyrosine metabolism,in_pathway,-0.7422868179300007,0.0002781139535814417,0.049659002874481335
EX_triodthy_e,Extracellular exchange,in_pathway,-0.7422868179300007,0.0002781139535814417,0.049659002874481335
TRIODTHYt2,"Transport, Extracellular",in_pathway,0.7422868179300007,0.0002781139535814417,0.049659002874481335
THMDt4,"Transport, Extracellular",in_pathway,-0.7422868179299992,0.00027811395358144696,0.049659002874481335
