source,target,interaction,effect_size,pvalue,qvalue
DESAT16_2,Fatty acid elongation,in_pathway,-1.6392295491013658,3.842809738481257e-09,1.2007500373751409e-05
ARGLYSex,"Transport, Extracellular",in_pathway,1.5478689815944455,7.254550795420639e-09,1.2007500373751409e-05
CLS_hs,Glycerophospholipid Metabolism,in_pathway,-1.3496289956331502,1.8368961924175625e-07,1.2007500373751409e-05
DGK1,Nucleotides,in_pathway,1.3496289956325294,1.8368961924345778e-07,1.2007500373751409e-05
MI1PS,Inositol Phosphate Metabolism,in_pathway,-1.3496289956324723,1.8368961924347718e-07,1.2007500373751409e-05
MI1PP,Inositol Phosphate Metabolism,in_pathway,-1.3496289956324723,1.8368961924347718e-07,1.2007500373751409e-05
CDIPTr,Glycerophospholipid Metabolism,in_pathway,-1.3496289956324723,1.8368961924347718e-07,1.2007500373751409e-05
FADtru,"Transport, Endoplasmic Reticular",in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
SQLSr,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
LNSTLSr,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
SQLEr,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
LNS14DMr,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
FORtr,"Transport, Endoplasmic Reticular",in_pathway,1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
CHSTEROLt3,"Transport, Mitochondrial",in_pathway,1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
CHSTEROLt2,"Transport, Mitochondrial",in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
C4STMO1r,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
C3STKR2r,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
C14STRr,Cholesterol Metabolism,in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
FADH2tru,"Transport, Endoplasmic Reticular",in_pathway,-1.3496289956324583,1.8368961924363396e-07,1.2007500373751409e-05
PGPP_hs,Glycerophospholipid Metabolism,in_pathway,-1.3496289956324516,1.8368961924327058e-07,1.2007500373751409e-05
PGPPT,Glycerophospholipid Metabolism,in_pathway,-1.3496289956324516,1.8368961924327058e-07,1.2007500373751409e-05
DMATTx,Cholesterol Metabolism,in_pathway,-1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
GRTTx,Cholesterol Metabolism,in_pathway,-1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
CO2ter,"Transport, Endoplasmic Reticular",in_pathway,1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
FRDPtr,"Transport, Peroxisomal",in_pathway,-1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
PPItr,"Transport, Endoplasmic Reticular",in_pathway,1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
IPDDIx,Cholesterol Metabolism,in_pathway,-1.3496289956324394,1.8368961924375464e-07,1.2007500373751409e-05
URIK1,Pyrimidine Biosynthesis,in_pathway,-1.3496289956324354,1.8368961924375297e-07,1.2007500373751409e-05
PYNP2r,Pyrimidine Catabolism,in_pathway,1.3496289956324354,1.8368961924375297e-07,1.2007500373751409e-05
PPItx,"Transport, Peroxisomal",in_pathway,1.349628995632419,1.8368961924379566e-07,1.2007500373751409e-05
NADPtxu,"Transport, Peroxisomal",in_pathway,-1.3496289956324137,1.836896192438291e-07,1.2007500373751409e-05
HMGCOARx,Cholesterol Metabolism,in_pathway,-1.3496289956324103,1.8368961924383177e-07,1.2007500373751409e-05
GPAM_hs,Triacylglycerol Synthesis,in_pathway,-1.3496289956324092,1.8368961924382912e-07,1.2007500373751409e-05
AGPAT1,Triacylglycerol Synthesis,in_pathway,-1.3496289956324092,1.8368961924382912e-07,1.2007500373751409e-05
EX_met__L_e,Extracellular exchange,in_pathway,1.3496289956324088,1.836896192438482e-07,1.2007500373751409e-05
NADPHtxu,"Transport, Peroxisomal",in_pathway,-1.3496289956324083,1.836896192438442e-07,1.2007500373751409e-05
EX_chol_e,Extracellular exchange,in_pathway,1.3496289956324068,1.8368961924384093e-07,1.2007500373751409e-05
PPAP,Triacylglycerol Synthesis,in_pathway,-1.3496289956324048,1.836896192438515e-07,1.2007500373751409e-05
ATPtx,"Transport, Peroxisomal",in_pathway,-1.3496289956324021,1.8368961924387116e-07,1.2007500373751409e-05
ADPtx,"Transport, Peroxisomal",in_pathway,1.3496289956324021,1.8368961924387116e-07,1.2007500373751409e-05
EX_ile__L_e,Extracellular exchange,in_pathway,1.3496289956324012,1.836896192438762e-07,1.2007500373751409e-05
ILEtec,"Transport, Extracellular",in_pathway,-1.3496289956324012,1.836896192438762e-07,1.2007500373751409e-05
EX_asn__L_e,Extracellular exchange,in_pathway,1.3496289956323992,1.836896192438738e-07,1.2007500373751409e-05
PItx,"Transport, Peroxisomal",in_pathway,1.3496289956323975,1.8368961924387825e-07,1.2007500373751409e-05
CO2tp,"Transport, Peroxisomal",in_pathway,1.3496289956323975,1.8368961924387825e-07,1.2007500373751409e-05
DPMVDx,Cholesterol Metabolism,in_pathway,-1.3496289956323975,1.8368961924387825e-07,1.2007500373751409e-05
PMEVKx,Cholesterol Metabolism,in_pathway,-1.3496289956323975,1.8368961924387825e-07,1.2007500373751409e-05
BIOMASS_mm_1_no_glygln,Biomass and maintenance functions,in_pathway,-1.3496289956323955,1.8368961924389082e-07,1.2007500373751409e-05
MEVK1x,Cholesterol Metabolism,in_pathway,-1.34962899563239,1.8368961924390186e-07,1.2007500373751409e-05
SMS,Sphingolipid Metabolism,in_pathway,-1.3496289956323593,1.8368961924383314e-07,1.2007500373751409e-05
3DSPHR,Sphingolipid Metabolism,in_pathway,-1.3496289956323593,1.8368961924383314e-07,1.2007500373751409e-05
DSAT,Sphingolipid Metabolism,in_pathway,-1.3496289956323593,1.8368961924383314e-07,1.2007500373751409e-05
SERPT,Sphingolipid Metabolism,in_pathway,-1.3496289956323593,1.8368961924383314e-07,1.2007500373751409e-05
PE_HStm,"Transport, Mitochondrial",in_pathway,1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
PSFLIPm,"Transport, Mitochondrial",in_pathway,-1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
PSDm_hs,Glycerophospholipid Metabolism,in_pathway,-1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
CDS,Glycerophospholipid Metabolism,in_pathway,-1.349628995632289,1.8368961924418419e-07,1.2007500373751409e-05
RTOT6,R Group Synthesis,in_pathway,-1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
HDD2COAtx,"Transport, Peroxisomal",in_pathway,1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
ARTFR61,R Group Synthesis,in_pathway,-1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
