source,target,interaction,effect_size,pvalue,qvalue
ENO,Glycolysis/Gluconeogenesis,in_pathway,1.9814934966884934,3.3623287285994834e-09,6.597512270705959e-07
PGM,Glycolysis/Gluconeogenesis,in_pathway,-1.9813555287829145,3.364270884149576e-09,6.597512270705959e-07
CITtbm,"Transport, Mitochondrial",in_pathway,-1.9772191245476716,1.0710945519001344e-07,1.1737936177587943e-05
PEPCKm,Glycolysis/Gluconeogenesis,in_pathway,-1.9772191245476716,1.0710945519001344e-07,1.1737936177587943e-05
PGK,Glycolysis/Gluconeogenesis,in_pathway,-1.9465698907526827,2.662970015392788e-09,5.836603692560899e-07
GAPD,Glycolysis/Gluconeogenesis,in_pathway,1.9465698907526827,2.662970015392788e-09,5.836603692560899e-07
SERt4,"Transport, Extracellular",in_pathway,-1.901444378425604,2.088287137089365e-09,5.187305248529983e-07
DESAT16_2,Fatty acid elongation,in_pathway,-1.785552392673989,3.555844364104471e-11,3.240931165963259e-08
MALSO3tm,"Transport, Mitochondrial",in_pathway,-1.7197052773505603,3.12713160817611e-11,3.240931165963259e-08
FUMSO3tm,"Transport, Mitochondrial",in_pathway,1.716052363236756,3.30621505634406e-11,3.240931165963259e-08
KHK2,Glyoxylate and Dicarboxylate Metabolism,in_pathway,1.653111382885583,8.698151277410567e-11,3.240931165963259e-08
GCALDD,Glyoxylate and Dicarboxylate Metabolism,in_pathway,1.653111382885583,8.698151277410567e-11,3.240931165963259e-08
FBA4,Glyoxylate and Dicarboxylate Metabolism,in_pathway,1.653111382885583,8.698151277410567e-11,3.240931165963259e-08
THMDt4,"Transport, Extracellular",in_pathway,1.6531113828855821,8.698151277410723e-11,3.240931165963259e-08
TRIODTHYt2,"Transport, Extracellular",in_pathway,-1.6531113828855817,8.698151277410786e-11,3.240931165963259e-08
IDHPOXOX3,Tyrosine metabolism,in_pathway,1.6531113828855817,8.698151277410786e-11,3.240931165963259e-08
EX_triodthy_e,Extracellular exchange,in_pathway,1.6531113828855817,8.698151277410786e-11,3.240931165963259e-08
FRUt4,"Transport, Extracellular",in_pathway,1.5517764059151178,4.2549962934520914e-10,1.3211763491168744e-07
EX_fru_e,Extracellular exchange,in_pathway,-1.5517764059151178,4.2549962934520914e-10,1.3211763491168744e-07
METtec,"Transport, Extracellular",in_pathway,-1.4960834845335877,1.016649652754141e-09,2.913874312432253e-07
HEX7,Fructose and Mannose Metabolism,in_pathway,1.4640879980879258,1.7295164985219355e-09,4.60298462392338e-07
ACACt2,"Transport, Extracellular",in_pathway,1.429485732382765,1.2145236343714444e-05,0.0004763489538597897
EX_acac_e,Extracellular exchange,in_pathway,-1.429485732382765,1.2145236343714444e-05,0.0004763489538597897
