source,target,interaction,effect_size,pvalue,qvalue
DESAT16_2,Fatty acid elongation,in_pathway,-2.4380133215300037,9.499244854720147e-10,2.4627098918908607e-06
EX_ttdca_e,Extracellular exchange,in_pathway,-2.161384721842876,0.0006395758927804989,0.020025712407564195
FACOAL140,Fatty acid activation,in_pathway,2.1467683288224135,0.0010819745391387244,0.0310110548679299
ARTFR13,R Group Synthesis,in_pathway,2.1467683288224135,0.0010819745391387244,0.0310110548679299
RTOT6,R Group Synthesis,in_pathway,-1.9428038943385206,1.3746045932553944e-05,0.004268147262057999
ARTFR61,R Group Synthesis,in_pathway,-1.9428038943385206,1.3746045932553944e-05,0.004268147262057999
HDD2COAtx,"Transport, Peroxisomal",in_pathway,1.9428038943385206,1.3746045932553944e-05,0.004268147262057999
ACOAO7p,Fatty Acid Metabolism,in_pathway,-1.9428038943385206,1.3746045932553944e-05,0.004268147262057999
ARTFR41,R Group Synthesis,in_pathway,-1.8620125372348137,2.1022191229044187e-06,0.0017632152394709162
NADH2_u10m,Oxidative Phosphorylation,in_pathway,-1.7160989065071361,0.0002117123213355306,0.007733726561727324
CHOLK,Glycerophospholipid Metabolism,in_pathway,-1.7151103303803772,2.1392986224076544e-05,0.0049944413026586166
CEPTC,Glycerophospholipid Metabolism,in_pathway,-1.7151103303803772,2.1392986224076544e-05,0.0049944413026586166
CHLPCTD,Glycerophospholipid Metabolism,in_pathway,-1.7151103303803772,2.1392986224076544e-05,0.0049944413026586166
ARTPLM1,R Group Synthesis,in_pathway,-1.6992804486052142,9.88099589407651e-06,0.004268147262057999
PGPP_hs,Glycerophospholipid Metabolism,in_pathway,-1.6428243525697286,0.0001542278383532364,0.006246227453417287
PGPPT,Glycerophospholipid Metabolism,in_pathway,-1.6428243525697286,0.0001542278383532364,0.006246227453417287
SQLSr,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
FORtr,"Transport, Endoplasmic Reticular",in_pathway,1.6428243525691515,0.00015422783835342252,0.006246227453417287
SQLEr,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
LNS14DMr,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
FADH2tru,"Transport, Endoplasmic Reticular",in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
C3STKR2r,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
C4STMO1r,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
LNSTLSr,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
C14STRr,Cholesterol Metabolism,in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
FADtru,"Transport, Endoplasmic Reticular",in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
CHSTEROLt3,"Transport, Mitochondrial",in_pathway,1.6428243525691515,0.00015422783835342252,0.006246227453417287
CHSTEROLt2,"Transport, Mitochondrial",in_pathway,-1.6428243525691515,0.00015422783835342252,0.006246227453417287
IPDDIx,Cholesterol Metabolism,in_pathway,-1.6428243525691408,0.0001542278383530314,0.006246227453417287
GRTTx,Cholesterol Metabolism,in_pathway,-1.6428243525691408,0.0001542278383530314,0.006246227453417287
FRDPtr,"Transport, Peroxisomal",in_pathway,-1.6428243525691408,0.0001542278383530314,0.006246227453417287
PPItr,"Transport, Endoplasmic Reticular",in_pathway,1.6428243525691408,0.0001542278383530314,0.006246227453417287
CO2ter,"Transport, Endoplasmic Reticular",in_pathway,1.6428243525691408,0.0001542278383530314,0.006246227453417287
DMATTx,Cholesterol Metabolism,in_pathway,-1.6428243525691408,0.0001542278383530314,0.006246227453417287
GPAM_hs,Triacylglycerol Synthesis,in_pathway,-1.6428243525691069,0.00015422783835303004,0.006246227453417287
AGPAT1,Triacylglycerol Synthesis,in_pathway,-1.6428243525691069,0.00015422783835303004,0.006246227453417287
PPAP,Triacylglycerol Synthesis,in_pathway,-1.6428243525690875,0.00015422783835306798,0.006246227453417287
NADPHtxu,"Transport, Peroxisomal",in_pathway,-1.6428243525690838,0.00015422783835305234,0.006246227453417287
NADPtxu,"Transport, Peroxisomal",in_pathway,-1.6428243525690824,0.00015422783835305264,0.006246227453417287
EX_asn__L_e,Extracellular exchange,in_pathway,1.6428243525690802,0.00015422783835304142,0.006246227453417287
BIOMASS_mm_1_no_glygln,Biomass and maintenance functions,in_pathway,-1.6428243525690798,0.00015422783835301684,0.006246227453417287
PPItx,"Transport, Peroxisomal",in_pathway,1.6428243525690793,0.0001542278383531401,0.006246227453417287
EX_ile__L_e,Extracellular exchange,in_pathway,1.6428243525690718,0.000154227838353018,0.006246227453417287
ILEtec,"Transport, Extracellular",in_pathway,-1.6428243525690718,0.000154227838353018,0.006246227453417287
HMGCOARx,Cholesterol Metabolism,in_pathway,-1.642824352569071,0.0001542278383530928,0.006246227453417287
ADPtx,"Transport, Peroxisomal",in_pathway,1.6428243525690704,0.00015422783835302125,0.006246227453417287
