source,target,interaction,effect_size,pvalue,qvalue
DNDPt32m,"Transport, Mitochondrial",in_pathway,526.3805817447645,7.671878196165454e-30,2.858541815891248e-26
CLHCO3tex2,"Transport, Extracellular",in_pathway,314.7137244187122,2.198373217160506e-27,4.095569303570022e-24
SERALANaEx,"Transport, Extracellular",in_pathway,258.40251223092196,1.922605406363928e-26,1.6034497409120685e-23
DRIBt,"Transport, Extracellular",in_pathway,-255.7713283834925,2.1517038927966566e-26,1.6034497409120685e-23
EX_drib_e,Extracellular exchange,in_pathway,255.7713283834925,2.1517038927966566e-26,1.6034497409120685e-23
LALDD,Pyruvate Metabolism,in_pathway,148.8214274582557,8.312125929545008e-24,2.3389345347196383e-21
LALDO2x,Pyruvate Metabolism,in_pathway,148.8214274582557,8.312125929545008e-24,2.3389345347196383e-21
HSD17B7r,Steroid Metabolism,in_pathway,148.82142745823805,8.312125929555875e-24,2.3389345347196383e-21
NRVNCt,"Transport, Extracellular",in_pathway,148.82142745823512,8.312125929557647e-24,2.3389345347196383e-21
FATP9t,"Transport, Extracellular",in_pathway,148.82142745823512,8.312125929557647e-24,2.3389345347196383e-21
CYSASNNaEx,"Transport, Extracellular",in_pathway,148.82142745822813,8.312125929561958e-24,2.3389345347196383e-21
HISt4,"Transport, Extracellular",in_pathway,148.82142745821656,8.312125929569047e-24,2.3389345347196383e-21
GCALDD,Glyoxylate and Dicarboxylate Metabolism,in_pathway,144.01518152193972,1.1926934020288545e-23,2.3389345347196383e-21
KHK2,Glyoxylate and Dicarboxylate Metabolism,in_pathway,144.01518152193972,1.1926934020288545e-23,2.3389345347196383e-21
FBA4,Glyoxylate and Dicarboxylate Metabolism,in_pathway,144.01518152193972,1.1926934020288545e-23,2.3389345347196383e-21
EX_triodthy_e,Extracellular exchange,in_pathway,144.01518152193407,1.1926934020293719e-23,2.3389345347196383e-21
TRIODTHYt2,"Transport, Extracellular",in_pathway,-144.01518152193407,1.1926934020293719e-23,2.3389345347196383e-21
IDHPOXOX3,Tyrosine metabolism,in_pathway,144.01518152193407,1.1926934020293719e-23,2.3389345347196383e-21
THMDt4,"Transport, Extracellular",in_pathway,144.01518152191682,1.1926934020309481e-23,2.3389345347196383e-21
ARTFR42,R Group Synthesis,in_pathway,136.50537211829433,2.1495653188266627e-23,4.004640188974073e-21
CHOLt4,"Transport, Extracellular",in_pathway,-129.7022360599435,3.771832282671045e-23,6.692308135824912e-21
CPK1,Nucleotides,in_pathway,-97.3953179620511,8.807847173322644e-22,1.4917290258090986e-19
FBA2,Fructose and Mannose Metabolism,in_pathway,-92.25684465392986,1.5986570242750915e-21,2.3826384289795963e-19
