source,target,interaction,effect_size,pvalue,qvalue
METLEUex,"Transport, Extracellular",in_pathway,-2.9783422459552167,8.110512496598787e-18,3.021976956232708e-14
ARTFR13,R Group Synthesis,in_pathway,2.858592915970632,0.0002969829746015896,0.019413308129219698
FACOAL140,Fatty acid activation,in_pathway,2.858592915970632,0.0002969829746015896,0.019413308129219698
TTDCAtr_copy2,"Transport, Extracellular",in_pathway,2.5134617504937755,0.0006897725125440233,0.03671560545341473
EX_ttdca_e,Extracellular exchange,in_pathway,-2.496291623118226,0.0006828477401637283,0.03671560545341473
METtec,"Transport, Extracellular",in_pathway,2.3669753686715387,8.347784444107091e-15,1.555192241937151e-11
HEX1,Glycolysis/Gluconeogenesis,in_pathway,2.3248272805361947,3.5231377250653385e-08,4.861930060590167e-06
GAPD,Glycolysis/Gluconeogenesis,in_pathway,-2.0533805365233038,4.1328187327741395e-13,2.808867954093486e-10
PGK,Glycolysis/Gluconeogenesis,in_pathway,2.0533805365233038,4.1328187327741395e-13,2.808867954093486e-10
PGI,Glycolysis/Gluconeogenesis,in_pathway,2.04993439802557,2.6194089858504174e-09,3.7538145697225597e-07
ENO,Glycolysis/Gluconeogenesis,in_pathway,-2.0496947670097567,4.522562590979948e-13,2.808867954093486e-10
PGM,Glycolysis/Gluconeogenesis,in_pathway,2.0496831249839835,4.523136802082909e-13,2.808867954093486e-10
HEX7,Fructose and Mannose Metabolism,in_pathway,-1.968566247738388,1.7501021980744138e-12,9.31554398575038e-10
ARGLYSex,"Transport, Extracellular",in_pathway,1.9431949205673162,1.899998340417792e-06,0.00019133496801072145
PROD2,Arginine and Proline Metabolism,in_pathway,-1.8121599130149133,6.547013775639312e-06,0.0006254916237956943
EX_glc__D_e,Extracellular exchange,in_pathway,-1.7979114781737975,4.6657175953781976e-07,5.4326449251184886e-05
CTPS2,Pyrimidine Biosynthesis,in_pathway,-1.7831935789476467,2.448288039041548e-11,1.1402901541836009e-08
HSD11B1r,Steroid Metabolism,in_pathway,1.7278174627872076,2.3570262694677933e-07,2.9274266266789993e-05
HSD11B2r,Steroid Metabolism,in_pathway,-1.7278174627872076,2.3570262694677933e-07,2.9274266266789993e-05
EX_fru_e,Extracellular exchange,in_pathway,1.690831826940722,9.555129775235418e-11,3.560241354252717e-08
FRUt4,"Transport, Extracellular",in_pathway,-1.690831826940722,9.555129775235418e-11,3.560241354252717e-08
