id,label,subsystem,effect_size,qvalue,type
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,-1.6392295491013658,1.2007500373751409e-05,reaction
ARGLYSex,Arginine/Lysine exchanger (Arg in),"Transport, Extracellular",1.5478689815944455,1.2007500373751409e-05,reaction
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,-1.3496289956331502,1.2007500373751409e-05,reaction
DGK1,Deoxyguanylate kinase (dGMP:ATP),Nucleotides,1.3496289956325294,1.2007500373751409e-05,reaction
MI1PS,Myo Inositol 1 phosphate synthase,Inositol Phosphate Metabolism,-1.3496289956324723,1.2007500373751409e-05,reaction
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,-1.3496289956324723,1.2007500373751409e-05,reaction
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,-1.3496289956324723,1.2007500373751409e-05,reaction
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.3496289956324583,1.2007500373751409e-05,reaction
SQLSr,Squalene synthase,Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.3496289956324583,1.2007500373751409e-05,reaction
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",1.3496289956324583,1.2007500373751409e-05,reaction
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",-1.3496289956324583,1.2007500373751409e-05,reaction
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,-1.3496289956324583,1.2007500373751409e-05,reaction
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.3496289956324583,1.2007500373751409e-05,reaction
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,-1.3496289956324516,1.2007500373751409e-05,reaction
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,-1.3496289956324516,1.2007500373751409e-05,reaction
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,-1.3496289956324394,1.2007500373751409e-05,reaction
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,-1.3496289956324394,1.2007500373751409e-05,reaction
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",1.3496289956324394,1.2007500373751409e-05,reaction
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, Peroxisomal",-1.3496289956324394,1.2007500373751409e-05,reaction
PPItr,"Diphosphate transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.3496289956324394,1.2007500373751409e-05,reaction
IPDDIx,Isopentenyl-diphosphate D-isomerase,Cholesterol Metabolism,-1.3496289956324394,1.2007500373751409e-05,reaction
URIK1,Uridine kinase  ATPUridine ,Pyrimidine Biosynthesis,-1.3496289956324354,1.2007500373751409e-05,reaction
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),Pyrimidine Catabolism,1.3496289956324354,1.2007500373751409e-05,reaction
PPItx,"Diphosphate transporter, peroxisome","Transport, Peroxisomal",1.349628995632419,1.2007500373751409e-05,reaction
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",-1.3496289956324137,1.2007500373751409e-05,reaction
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Cholesterol Metabolism,-1.3496289956324103,1.2007500373751409e-05,reaction
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,-1.3496289956324092,1.2007500373751409e-05,reaction
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,-1.3496289956324092,1.2007500373751409e-05,reaction
EX_met__L_e,L-Methionine exchange,Extracellular exchange,1.3496289956324088,1.2007500373751409e-05,reaction
NADPHtxu,"NADPH transport, glyoxysome","Transport, Peroxisomal",-1.3496289956324083,1.2007500373751409e-05,reaction
EX_chol_e,Choline exchange,Extracellular exchange,1.3496289956324068,1.2007500373751409e-05,reaction
