id,label,subsystem,effect_size,qvalue,type
ENO,Enolase,Glycolysis/Gluconeogenesis,1.9814934966884934,6.597512270705959e-07,reaction
PGM,Phosphoglycerate mutase,Glycolysis/Gluconeogenesis,-1.9813555287829145,6.597512270705959e-07,reaction
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",-1.9772191245476716,1.1737936177587943e-05,reaction
PEPCKm,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,-1.9772191245476716,1.1737936177587943e-05,reaction
PGK,Phosphoglycerate kinase,Glycolysis/Gluconeogenesis,-1.9465698907526827,5.836603692560899e-07,reaction
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/Gluconeogenesis,1.9465698907526827,5.836603692560899e-07,reaction
SERt4,L-serine via sodium symport,"Transport, Extracellular",-1.901444378425604,5.187305248529983e-07,reaction
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,-1.785552392673989,3.240931165963259e-08,reaction
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",-1.7197052773505603,3.240931165963259e-08,reaction
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",1.716052363236756,3.240931165963259e-08,reaction
KHK2,Ketohexokinase (D-xylulose),Glyoxylate and Dicarboxylate Metabolism,1.653111382885583,3.240931165963259e-08,reaction
GCALDD,Glycolaldehyde dehydrogenase,Glyoxylate and Dicarboxylate Metabolism,1.653111382885583,3.240931165963259e-08,reaction
FBA4,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glyoxylate and Dicarboxylate Metabolism,1.653111382885583,3.240931165963259e-08,reaction
THMDt4,Thymidine transport in via sodium symport,"Transport, Extracellular",1.6531113828855821,3.240931165963259e-08,reaction
TRIODTHYt2,T3 transport via facilitated diffusion,"Transport, Extracellular",-1.6531113828855817,3.240931165963259e-08,reaction
IDHPOXOX3,Iodide:hydrogen-peroxide oxidoreductase 3,Tyrosine metabolism,1.6531113828855817,3.240931165963259e-08,reaction
EX_triodthy_e,Triiodothyronine exchange,Extracellular exchange,1.6531113828855817,3.240931165963259e-08,reaction
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",1.5517764059151178,1.3211763491168744e-07,reaction
EX_fru_e,D-Fructose exchange,Extracellular exchange,-1.5517764059151178,1.3211763491168744e-07,reaction
METtec,L-methionine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",-1.4960834845335877,2.913874312432253e-07,reaction
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,1.4640879980879258,4.60298462392338e-07,reaction
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",1.429485732382765,0.0004763489538597897,reaction
EX_acac_e,Acetoacetate exchange,Extracellular exchange,-1.429485732382765,0.0004763489538597897,reaction
METLEUex,Methionine/Leucine exchange (Met in),"Transport, Extracellular",1.4086013132576993,7.925388631244844e-07,reaction
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotides,1.3687357464599959,1.4491001828789037e-06,reaction
CTPS1,CTP synthase  NH3 ,Nucleotides,-1.3610764990138233,1.5503182650301881e-06,reaction
O2Stx,Superoxide anion transport via diffusion (peroxisome),"Transport, Peroxisomal",1.3357958192034949,2.18064002763232e-06,reaction
SPODMx,"Superoxide dismutase, peroxisome",ROS Detoxification,1.335795819203494,2.18064002763232e-06,reaction
ARTPLM1,R group to palmitate conversion,R Group Synthesis,-1.330509871077651,0.006133253761993402,reaction
ARGtm,Arginine mitochondrial transport via ornithine carrier,"Transport, Mitochondrial",-1.3203482773883075,2.501940546325023e-06,reaction
UREAtm,Urea transport via diffusion,Urea cycle/amino group metabolism,1.3203482773883075,2.501940546325023e-06,reaction
ARGNm,Arginase (m),Urea cycle/amino group metabolism,-1.3203482773883075,2.501940546325023e-06,reaction
ALAt2r,L alanine reversible transport via proton symport,"Transport, Extracellular",1.30845288135641,0.0002321380919819678,reaction
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,1.2762478259064347,5.015097616381268e-06,reaction
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,1.2526851702943331,7.284471627097165e-06,reaction
PCREATtmdiffir,Phosphocreatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,-1.2526851702943331,7.284471627097165e-06,reaction
CREATtmdiffir,Creatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,-1.2526851702943331,7.284471627097165e-06,reaction
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,-1.2526851702943331,7.284471627097165e-06,reaction
THRSERNaEx,L-serine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",1.1090621669848275,6.633406401621078e-05,reaction
CO2tm,CO2 transport  diffusion   mitochondrial,"Transport, Mitochondrial",1.0877768533326135,0.0005750828823931188,reaction
DHCRD2,Dihydroceramide desaturase,Sphingolipid Metabolism,-1.0238162429083624,0.02312887013955398,reaction
SMS,Sphingomyelin synthase (homo sapiens),Sphingolipid Metabolism,-1.014359323473147,0.00016971292000614763,reaction
SERPT,Serine C palmitoyltransferase,Sphingolipid Metabolism,-1.014359323473147,0.00016971292000614763,reaction
3DSPHR,3 Dehydrosphinganine reductase,Sphingolipid Metabolism,-1.014359323473147,0.00016971292000614763,reaction
DSAT,Dihydrosphingosine N-acyltransferase,Sphingolipid Metabolism,-1.014359323473147,0.00016971292000614763,reaction
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,-1.0143593234731432,0.00016971292000614763,reaction
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,-1.0143593234731432,0.00016971292000614763,reaction
MI1PS,Myo Inositol 1 phosphate synthase,Inositol Phosphate Metabolism,-1.0143593234731298,0.00016971292000614763,reaction
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,-1.0143593234731298,0.00016971292000614763,reaction
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,-1.0143593234731298,0.00016971292000614763,reaction
EX_met__L_e,L-Methionine exchange,Extracellular exchange,1.0143593234731227,0.00016971292000614763,reaction
BIOMASS_mm_1_no_glygln,Biomass mm 1 no glygln,Biomass and maintenance functions,-1.0143593234731167,0.00016971292000614763,reaction
PPAP,Phosphatidic acid phosphatase,Triacylglycerol Synthesis,-1.0143593234731143,0.00016971292000614763,reaction
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,-1.0143593234731096,0.00016971292000614763,reaction
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,-1.0143593234731096,0.00016971292000614763,reaction
ADPtx,"ADP transporter, peroxisomal","Transport, Peroxisomal",1.0143593234731092,0.00016971292000614763,reaction
ATPtx,"ATP transporter, peroxisomal","Transport, Peroxisomal",-1.0143593234731092,0.00016971292000614763,reaction
EX_ile__L_e,L-Isoleucine exchange,Extracellular exchange,1.014359323473107,0.00016971292000614763,reaction
ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",-1.014359323473107,0.00016971292000614763,reaction
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",-1.0143593234730988,0.00016971292000614763,reaction
