id,label,subsystem,effect_size,qvalue,type
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,-2.4380133215300037,2.4627098918908607e-06,reaction
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Extracellular exchange,-2.161384721842876,0.020025712407564195,reaction
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,2.1467683288224135,0.0310110548679299,reaction
ARTFR13,R group artificial flux,R Group Synthesis,2.1467683288224135,0.0310110548679299,reaction
RTOT6,R total flux,R Group Synthesis,-1.9428038943385206,0.004268147262057999,reaction
ARTFR61,R group artificial flux,R Group Synthesis,-1.9428038943385206,0.004268147262057999,reaction
HDD2COAtx,Hdd2coa intracellular transport,"Transport, Peroxisomal",1.9428038943385206,0.004268147262057999,reaction
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,-1.9428038943385206,0.004268147262057999,reaction
ARTFR41,R group artificial flux,R Group Synthesis,-1.8620125372348137,0.0017632152394709162,reaction
NADH2_u10m,"NADH dehydrogenase, mitochondrial",Oxidative Phosphorylation,-1.7160989065071361,0.007733726561727324,reaction
CHOLK,Choline kinase,Glycerophospholipid Metabolism,-1.7151103303803772,0.0049944413026586166,reaction
CEPTC,Choline phosphotransferase,Glycerophospholipid Metabolism,-1.7151103303803772,0.0049944413026586166,reaction
CHLPCTD,Choline phosphate cytididyltransferase,Glycerophospholipid Metabolism,-1.7151103303803772,0.0049944413026586166,reaction
ARTPLM1,R group to palmitate conversion,R Group Synthesis,-1.6992804486052142,0.004268147262057999,reaction
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),Glycerophospholipid Metabolism,-1.6428243525697286,0.006246227453417287,reaction
PGPPT,Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,Glycerophospholipid Metabolism,-1.6428243525697286,0.006246227453417287,reaction
SQLSr,Squalene synthase,Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.6428243525691515,0.006246227453417287,reaction
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.6428243525691515,0.006246227453417287,reaction
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,-1.6428243525691515,0.006246227453417287,reaction
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.6428243525691515,0.006246227453417287,reaction
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",1.6428243525691515,0.006246227453417287,reaction
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",-1.6428243525691515,0.006246227453417287,reaction
IPDDIx,Isopentenyl-diphosphate D-isomerase,Cholesterol Metabolism,-1.6428243525691408,0.006246227453417287,reaction
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,-1.6428243525691408,0.006246227453417287,reaction
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, Peroxisomal",-1.6428243525691408,0.006246227453417287,reaction
PPItr,"Diphosphate transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.6428243525691408,0.006246227453417287,reaction
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",1.6428243525691408,0.006246227453417287,reaction
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,-1.6428243525691408,0.006246227453417287,reaction
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,-1.6428243525691069,0.006246227453417287,reaction
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,-1.6428243525691069,0.006246227453417287,reaction
PPAP,Phosphatidic acid phosphatase,Triacylglycerol Synthesis,-1.6428243525690875,0.006246227453417287,reaction
NADPHtxu,"NADPH transport, glyoxysome","Transport, Peroxisomal",-1.6428243525690838,0.006246227453417287,reaction
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",-1.6428243525690824,0.006246227453417287,reaction
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,1.6428243525690802,0.006246227453417287,reaction
BIOMASS_mm_1_no_glygln,Biomass mm 1 no glygln,Biomass and maintenance functions,-1.6428243525690798,0.006246227453417287,reaction
PPItx,"Diphosphate transporter, peroxisome","Transport, Peroxisomal",1.6428243525690793,0.006246227453417287,reaction
EX_ile__L_e,L-Isoleucine exchange,Extracellular exchange,1.6428243525690718,0.006246227453417287,reaction
ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",-1.6428243525690718,0.006246227453417287,reaction
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Cholesterol Metabolism,-1.642824352569071,0.006246227453417287,reaction
ADPtx,"ADP transporter, peroxisomal","Transport, Peroxisomal",1.6428243525690704,0.006246227453417287,reaction
ATPtx,"ATP transporter, peroxisomal","Transport, Peroxisomal",-1.6428243525690704,0.006246227453417287,reaction
URIK1,Uridine kinase  ATPUridine ,Pyrimidine Biosynthesis,-1.6428243525690693,0.006246227453417287,reaction
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),Pyrimidine Catabolism,1.6428243525690693,0.006246227453417287,reaction
EX_chol_e,Choline exchange,Extracellular exchange,1.6428243525690576,0.006246227453417287,reaction
MI1PS,Myo Inositol 1 phosphate synthase,Inositol Phosphate Metabolism,-1.6428243525690558,0.006246227453417287,reaction
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid Metabolism,-1.6428243525690558,0.006246227453417287,reaction
MI1PP,Myo-inositol 1-phosphatase,Inositol Phosphate Metabolism,-1.6428243525690558,0.006246227453417287,reaction
EX_met__L_e,L-Methionine exchange,Extracellular exchange,1.6428243525690553,0.006246227453417287,reaction
PMEVKx,Phosphomevalonate kinase,Cholesterol Metabolism,-1.6428243525690376,0.006246227453417287,reaction
PItx,"Phosphate transporter, peroxisome","Transport, Peroxisomal",1.6428243525690376,0.006246227453417287,reaction
DPMVDx,Diphosphomevalonate decarboxylase,Cholesterol Metabolism,-1.6428243525690376,0.006246227453417287,reaction
CO2tp,CO2 peroxisomal transport,"Transport, Peroxisomal",1.6428243525690376,0.006246227453417287,reaction
