id,label,subsystem,effect_size,qvalue,type
DNDPt32m,DGDP transport via ATP antiport,"Transport, Mitochondrial",526.3805817447645,2.858541815891248e-26,reaction
CLHCO3tex2,Chloride transport via bicarbonate countertransport (2:1),"Transport, Extracellular",314.7137244187122,4.095569303570022e-24,reaction
SERALANaEx,L-alanine/L-serine Na-dependent exchange (Ser-L in),"Transport, Extracellular",258.40251223092196,1.6034497409120685e-23,reaction
DRIBt,Deoxyribose transport via diffusion,"Transport, Extracellular",-255.7713283834925,1.6034497409120685e-23,reaction
EX_drib_e,Deoxy D Ribose exchange,Extracellular exchange,255.7713283834925,1.6034497409120685e-23,reaction
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,148.8214274582557,2.3389345347196383e-21,reaction
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,148.8214274582557,2.3389345347196383e-21,reaction
HSD17B7r,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,148.82142745823805,2.3389345347196383e-21,reaction
NRVNCt,Fatty acid transport via diffusion,"Transport, Extracellular",148.82142745823512,2.3389345347196383e-21,reaction
FATP9t,Fatty acid electroneutral transport,"Transport, Extracellular",148.82142745823512,2.3389345347196383e-21,reaction
CYSASNNaEx,L-cysteine/L-asparagine Na-dependent exchange (Cys-L in),"Transport, Extracellular",148.82142745822813,2.3389345347196383e-21,reaction
HISt4,L-histidine transport in via sodium symport,"Transport, Extracellular",148.82142745821656,2.3389345347196383e-21,reaction
GCALDD,Glycolaldehyde dehydrogenase,Glyoxylate and Dicarboxylate Metabolism,144.01518152193972,2.3389345347196383e-21,reaction
KHK2,Ketohexokinase (D-xylulose),Glyoxylate and Dicarboxylate Metabolism,144.01518152193972,2.3389345347196383e-21,reaction
FBA4,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glyoxylate and Dicarboxylate Metabolism,144.01518152193972,2.3389345347196383e-21,reaction
EX_triodthy_e,Triiodothyronine exchange,Extracellular exchange,144.01518152193407,2.3389345347196383e-21,reaction
