ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(KD-SCD),Ratio(KD/SCD)
EX_co2_e,CO2 exchange,Extracellular exchange,co2_e,CO2 CO2,-1.0,-0.4339832957254788,0.8282218965824069
EX_h2o_e,H2O exchange,Extracellular exchange,h2o_e,H2O H2O,-1.0,0.4741755977633208,0.7655791846346259
EX_h2o2_e,Hydrogen peroxide exchange,Extracellular exchange,h2o2_e,Hydrogen peroxide,-1.0,-0.939891139548516,0.6124563562056444
EX_hco3_e,EX hco3 LPAREN e RPAREN ,Extracellular exchange,hco3_e,Bicarbonate,-1.0,0.2819197890974026,1.7468136796138782
EX_glyc_e,Glycerol exchange,Extracellular exchange,glyc_e,Glycerol,-1.0,-0.2195810596203796,1.5545467669678918
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,h2o2_x,Hydrogen peroxide,1.0,-0.2160987522727181,0.7207271490636022
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,hdd2coa_x,Trans-Hexadec-2-enoyl-CoA,1.0,-0.2160987522727181,0.7207271490636022
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,o2_x,O2 O2,-1.0,-0.2160987522727181,0.7207271490636022
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,pmtcoa_x,Palmitoyl-CoA (n-C16:0CoA),-1.0,-0.2160987522727181,0.7207271490636022
EX_o2_e,O2 exchange,Extracellular exchange,o2_e,O2 O2,-1.0,0.95332779056728,0.8190988049511378
ARTFR41,R group artificial flux,R Group Synthesis,R4coa_hs_c,R group 4 Coenzyme A homo sapiens,1.0,-0.4549834665004161,0.1302371463509391
ARTFR41,R group artificial flux,R Group Synthesis,fad_m,Flavin adenine dinucleotide oxidized,1.0,-0.4549834665004161,0.1302371463509391
ARTFR41,R group artificial flux,R Group Synthesis,fadh2_m,Flavin adenine dinucleotide reduced,-1.0,-0.4549834665004161,0.1302371463509391
ARTFR41,R group artificial flux,R Group Synthesis,hdcoa_c,Hexadecenoyl-CoA (n-C16:1CoA),-1.0,-0.4549834665004161,0.1302371463509391
ARTFR61,R group artificial flux,R Group Synthesis,R6coa_hs_c,R group 6 Coenzyme A homo sapiens,1.0,-0.2160987522727181,0.7207271490636022
ARTFR61,R group artificial flux,R Group Synthesis,fad_m,Flavin adenine dinucleotide oxidized,1.0,-0.2160987522727181,0.7207271490636022
ARTFR61,R group artificial flux,R Group Synthesis,fadh2_m,Flavin adenine dinucleotide reduced,-1.0,-0.2160987522727181,0.7207271490636022
