ReactionID,ReactionName,Subsystem,SCD_MeanFlux,SCD_StdFlux,SCD_N,SCD_GSE101657_Control_SCD_0_Flux,SCD_GSE101657_Control_SCD_1_Flux,SCD_GSE101657_Control_SCD_2_Flux,SCD_GSE101657_Control_SCD_3_Flux,SCD_GSE101657_Control_SCD_4_Flux,SCD_GSE159090_GSM4819135_SCD_Male_Flux,SCD_GSE159090_GSM4819136_SCD_Male_Flux,SCD_GSE159090_GSM4819149_SCD_Male_Flux,SCD_GSE159090_GSM4819150_SCD_Male_Flux,SCD_GSE159090_GSM4819161_SCD_Male_Flux,SCD_GSE159090_GSM4819166_SCD_Male_Flux,SCD_GSE159090_GSM4819171_SCD_Male_Flux,SCD_GSE159090_GSM4819179_SCD_Male_Flux,SCD_GSE159090_GSM4819186_SCD_Male_Flux,SCD_GSE159090_GSM4819194_SCD_Male_Flux,SCD_GSE159090_GSM4819199_SCD_Male_Flux,SCD_GSE159090_GSM4819200_SCD_Male_Flux,SCD_GSE160646_GSM4876390_SCD_1w_Flux,SCD_GSE160646_GSM4876394_SCD_1w_Flux,SCD_GSE160646_GSM4876401_SCD_1w_Flux,SCD_GSE160646_GSM4876404_SCD_1w_Flux,SCD_GSE160646_GSM4876405_SCD_1w_Flux,SCD_GSE160646_GSM4876407_SCD_1w_Flux,SCD_GSE160646_GSM4876408_SCD_1w_Flux,SCD_GSE188344_NCD_1_Flux,SCD_GSE188344_NCD_2_Flux,SCD_GSE188344_NCD_3_Flux,SCD_GSE188344_NCD_4_Flux,SCD_GSE246221_Batch9_SCD_only32w_1_Flux,SCD_GSE246221_Batch9_SCD_only32w_2_Flux,SCD_GSE246221_Batch9_SCD_only32w_3_Flux,SCD_GSE246221_Batch9_SCD_only32w_4_Flux,SCD_GSE248297_LFD_1_Flux,SCD_GSE248297_LFD_2_Flux,SCD_GSE248297_LFD_3_Flux,SCD_GSE248297_LFD_4_Flux,SCD_GSE248297_LFD_5_Flux,HFD_MeanFlux,HFD_StdFlux,HFD_N,HFD_GSE101657_HFD_0_Flux,HFD_GSE101657_HFD_1_Flux,HFD_GSE101657_HFD_2_Flux,HFD_GSE101657_HFD_3_Flux,HFD_GSE101657_HFD_4_Flux,HFD_GSE101657_HFD_5_Flux,HFD_GSE159090_GSM4819134_HFD_Male_Flux,HFD_GSE159090_GSM4819140_HFD_Male_Flux,HFD_GSE159090_GSM4819143_HFD_Male_Flux,HFD_GSE159090_GSM4819146_HFD_Male_Flux,HFD_GSE159090_GSM4819157_HFD_Male_Flux,HFD_GSE159090_GSM4819163_HFD_Male_Flux,HFD_GSE159090_GSM4819167_HFD_Male_Flux,HFD_GSE159090_GSM4819177_HFD_Male_Flux,HFD_GSE159090_GSM4819184_HFD_Male_Flux,HFD_GSE159090_GSM4819189_HFD_Male_Flux,HFD_GSE159090_GSM4819197_HFD_Male_Flux,HFD_GSE159090_GSM4819202_HFD_Male_Flux,HFD_GSE160646_GSM4876384_HFD_1w_Flux,HFD_GSE160646_GSM4876386_HFD_1w_Flux,HFD_GSE160646_GSM4876389_HFD_1w_Flux,HFD_GSE160646_GSM4876393_HFD_1w_Flux,HFD_GSE160646_GSM4876396_HFD_1w_Flux,HFD_GSE160646_GSM4876400_HFD_1w_Flux,HFD_GSE160646_GSM4876406_HFD_1w_Flux,HFD_GSE160646_GSM4876412_HFD_1w_Flux,HFD_GSE188344_HFD_1_Flux,HFD_GSE188344_HFD_2_Flux,HFD_GSE188344_HFD_3_Flux,HFD_GSE188344_HFD_4_Flux,HFD_GSE246221_Batch9_HFD_only32w_1_Flux,HFD_GSE246221_Batch9_HFD_only32w_2_Flux,HFD_GSE246221_Batch9_HFD_only32w_3_Flux,HFD_GSE248297_HFD_1_Flux,HFD_GSE248297_HFD_2_Flux,HFD_GSE248297_HFD_3_Flux,HFD_GSE248297_HFD_4_Flux,HFD_GSE248297_HFD_5_Flux,KD_MeanFlux,KD_StdFlux,KD_N,KD_GSE101657_KD_0_Flux,KD_GSE101657_KD_1_Flux,KD_GSE101657_KD_2_Flux,KD_GSE101657_KD_3_Flux,KD_GSE101657_KD_4_Flux,KD_GSE101657_KD_5_Flux,KD_GSE101657_KD_6_Flux,KD_GSE248297_KD_1_Flux,KD_GSE248297_KD_2_Flux,KD_GSE248297_KD_3_Flux,KD_GSE248297_KD_4_Flux,KD_GSE248297_KD_5_Flux,WD_MeanFlux,WD_StdFlux,WD_N,WD_GSE159090_GSM4819145_WD_Male_Flux,WD_GSE159090_GSM4819155_WD_Male_Flux,WD_GSE159090_GSM4819156_WD_Male_Flux,WD_GSE159090_GSM4819158_WD_Male_Flux,WD_GSE159090_GSM4819164_WD_Male_Flux,WD_GSE159090_GSM4819173_WD_Male_Flux,WD_GSE159090_GSM4819174_WD_Male_Flux,WD_GSE159090_GSM4819181_WD_Male_Flux,WD_GSE159090_GSM4819183_WD_Male_Flux,WD_GSE159090_GSM4819192_WD_Male_Flux,WD_GSE159090_GSM4819196_WD_Male_Flux,WD_GSE159090_GSM4819201_WD_Male_Flux,Diff(HFD-SCD),Ratio(HFD/SCD),Diff(KD-SCD),Ratio(KD/SCD),Diff(WD-SCD),Ratio(WD/SCD)
EX_5fthf_e,5-Formyltetrahydrofolate exchange,Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5homeprazole_e,5 hydroxy omeprazole exchange,Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol exchange",Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhphe_e,"3,4-Dihydroxy-L-phenylalanine exchange",Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_35cgmp_e,"3',5'-Cyclic GMP exchange",Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3aib_e,L-3-Amino-isobutanoate exchange,Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,0.01185054286395142,0.0435825205034686,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05903329466507112,0.0,0.0,0.2,0.0,0.0,0.17885742495359205,0.0,0.0,0.0,0.0,0.0005793663475393543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020669916464176653,0.009746624560067202,38,0.02073213772225547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05781354484161583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009783551217533755,0.17442168430366997,-0.01185054286395142,0.0,-0.01185054286395142,0.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,0.10868598328288241,0.17449274856383956,37,0.0,0.0,0.020708342377544486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4249114855880314,0.0,0.0,0.0363023788997483,0.0,0.0,0.0720924975221594,0.0,0.19614212586691407,0.66894596493638,0.12255407781925973,0.18686924094978163,0.4047995609796408,0.22933097306278624,0.30568801962874464,0.3616393682424658,0.3255920641553861,0.5225041275839597,0.14330115385384729,0.09960139868128022,0.17102163742760482,38,0.0,0.0,0.03018145504120162,0.0,0.03796104327881758,0.0,0.0,0.0,0.016052336955820867,0.0,0.36391282785365764,0.0,0.0,0.0,0.32618841221758915,0.39257650794951177,0.0,0.12364468260670958,0.0,0.0,0.0,0.0,0.024190018582071482,0.0,0.5698844492682325,0.6798777597650187,0.020754881936993843,0.01807723951443719,0.009490178394904264,0.0,0.0,0.04289825021748579,0.0,0.14313060723392512,0.1880089605360287,0.16129177181278603,0.35533184941012774,0.2813999173133292,0.16372754961883973,0.23779237363895228,12,0.0,0.0,0.748292413071717,0.0,0.0,0.06526530577555467,0.5587845292310667,0.2022732229999958,0.0,0.27229963370968946,0.02907451137258453,0.08874097926546863,0.14694666603131512,0.21548454485962806,12,0.026514478100969185,0.0,0.0,0.07756287280574847,0.7217636963018451,0.33302749858537006,0.0,0.0,0.36006506214434647,0.21769826485100566,0.0,0.02672811958649654,-0.009084584601602191,0.9164143863990841,0.05504156633595732,1.5064274589225684,0.03826068274843271,1.3520295956425006
