,SCD_GSE101657_Control_SCD_0,SCD_GSE101657_Control_SCD_1,SCD_GSE101657_Control_SCD_2,SCD_GSE101657_Control_SCD_3,SCD_GSE101657_Control_SCD_4,SCD_GSE159090_GSM4819135_SCD_Male,SCD_GSE159090_GSM4819136_SCD_Male,SCD_GSE159090_GSM4819149_SCD_Male,SCD_GSE159090_GSM4819150_SCD_Male,SCD_GSE159090_GSM4819161_SCD_Male,SCD_GSE159090_GSM4819166_SCD_Male,SCD_GSE159090_GSM4819171_SCD_Male,SCD_GSE159090_GSM4819179_SCD_Male,SCD_GSE159090_GSM4819186_SCD_Male,SCD_GSE159090_GSM4819194_SCD_Male,SCD_GSE159090_GSM4819199_SCD_Male,SCD_GSE159090_GSM4819200_SCD_Male,SCD_GSE160646_GSM4876390_SCD_1w,SCD_GSE160646_GSM4876394_SCD_1w,SCD_GSE160646_GSM4876401_SCD_1w,SCD_GSE160646_GSM4876404_SCD_1w,SCD_GSE160646_GSM4876405_SCD_1w,SCD_GSE160646_GSM4876407_SCD_1w,SCD_GSE160646_GSM4876408_SCD_1w,SCD_GSE188344_NCD_1,SCD_GSE188344_NCD_2,SCD_GSE188344_NCD_3,SCD_GSE188344_NCD_4,SCD_GSE246221_Batch9_SCD_only32w_1,SCD_GSE246221_Batch9_SCD_only32w_2,SCD_GSE246221_Batch9_SCD_only32w_3,SCD_GSE246221_Batch9_SCD_only32w_4,SCD_GSE248297_LFD_1,SCD_GSE248297_LFD_2,SCD_GSE248297_LFD_3,SCD_GSE248297_LFD_4,SCD_GSE248297_LFD_5,HFD_GSE101657_HFD_0,HFD_GSE101657_HFD_1,HFD_GSE101657_HFD_2,HFD_GSE101657_HFD_3,HFD_GSE101657_HFD_4,HFD_GSE101657_HFD_5,HFD_GSE159090_GSM4819134_HFD_Male,HFD_GSE159090_GSM4819140_HFD_Male,HFD_GSE159090_GSM4819143_HFD_Male,HFD_GSE159090_GSM4819146_HFD_Male,HFD_GSE159090_GSM4819157_HFD_Male,HFD_GSE159090_GSM4819163_HFD_Male,HFD_GSE159090_GSM4819167_HFD_Male,HFD_GSE159090_GSM4819177_HFD_Male,HFD_GSE159090_GSM4819184_HFD_Male,HFD_GSE159090_GSM4819189_HFD_Male,HFD_GSE159090_GSM4819197_HFD_Male,HFD_GSE159090_GSM4819202_HFD_Male,HFD_GSE160646_GSM4876384_HFD_1w,HFD_GSE160646_GSM4876386_HFD_1w,HFD_GSE160646_GSM4876389_HFD_1w,HFD_GSE160646_GSM4876393_HFD_1w,HFD_GSE160646_GSM4876396_HFD_1w,HFD_GSE160646_GSM4876400_HFD_1w,HFD_GSE160646_GSM4876406_HFD_1w,HFD_GSE160646_GSM4876412_HFD_1w,HFD_GSE188344_HFD_1,HFD_GSE188344_HFD_2,HFD_GSE188344_HFD_3,HFD_GSE188344_HFD_4,HFD_GSE246221_Batch9_HFD_only32w_1,HFD_GSE246221_Batch9_HFD_only32w_2,HFD_GSE246221_Batch9_HFD_only32w_3,HFD_GSE248297_HFD_1,HFD_GSE248297_HFD_2,HFD_GSE248297_HFD_3,HFD_GSE248297_HFD_4,HFD_GSE248297_HFD_5,KD_GSE101657_KD_0,KD_GSE101657_KD_1,KD_GSE101657_KD_2,KD_GSE101657_KD_3,KD_GSE101657_KD_4,KD_GSE101657_KD_5,KD_GSE101657_KD_6,KD_GSE248297_KD_1,KD_GSE248297_KD_2,KD_GSE248297_KD_3,KD_GSE248297_KD_4,KD_GSE248297_KD_5,WD_GSE159090_GSM4819145_WD_Male,WD_GSE159090_GSM4819155_WD_Male,WD_GSE159090_GSM4819156_WD_Male,WD_GSE159090_GSM4819158_WD_Male,WD_GSE159090_GSM4819164_WD_Male,WD_GSE159090_GSM4819173_WD_Male,WD_GSE159090_GSM4819174_WD_Male,WD_GSE159090_GSM4819181_WD_Male,WD_GSE159090_GSM4819183_WD_Male,WD_GSE159090_GSM4819192_WD_Male,WD_GSE159090_GSM4819196_WD_Male,WD_GSE159090_GSM4819201_WD_Male
SCD_GSE101657_Control_SCD_0,0.0,6.52929080207297,7.821186383639346,7.462661165240181,7.4427884278639205,7.146726206427111,8.811632790054654,8.188371688443127,9.949783614993876,8.769730611387812,7.390010877472576,8.872079988130846,7.2248306506565125,8.614437629362415,8.196768473363155,7.038759572730231,8.015405729933498,9.413924836663265,8.582946055504953,9.24662643303893,10.331572464104273,10.898149435090406,8.09272994436478,6.371840934698022,6.743385324234029,6.651073790106529,6.158053182246934,6.991822538679927,8.773444108350013,6.8350217928860895,6.830116216771349,7.524945781390462,6.086237994349491,6.851125328165079,7.147025731576369,7.624466027301918,7.313819940218277,9.205514431513915,7.412056507137424,6.513007736573488,9.06745590541368,8.388542390784204,8.814108374128535,5.729025881200188,9.491774028095733,9.116580775734974,6.437806166403953,6.148155585131813,6.60721601315387,8.920197370286148,8.449233015189325,6.623585049180587,8.286344876914479,6.873764083570546,7.289003491345197,9.429085531538016,9.435914639548308,8.913039374582574,9.234016955808743,8.299248522278939,10.815318298208192,11.1951545332319,11.289268556474864,9.480638378060863,9.109179388556749,9.081312887701293,9.167450360024956,10.249685277262602,9.854108155164868,9.809506015086983,7.526480279830984,8.80458336131061,8.23769089221364,7.596833567140723,7.832027126627776,6.493277490153882,8.714441541976147,8.946779714352397,8.133173154300449,7.149299587483896,7.6125334951399095,8.103680521082596,8.47165591170426,8.124033265564139,8.229970414779856,7.855964519539923,9.208293120877707,8.238483169792376,7.400561138350415,8.318165074547961,7.982160001803244,10.812586583433037,9.309339757203764,6.312942093621883,11.125054593441854,8.115368435385804,9.433110368027872,6.902417846124516,6.472815625044375
SCD_GSE101657_Control_SCD_1,6.52929080207297,0.0,7.405527641847771,7.933896150075782,6.740947241757839,6.629403110818988,7.252799396177149,6.836195216774387,8.00780701591107,7.785932917240762,7.365976611186805,6.990530293173791,7.831177846512832,8.679036557308878,6.69050218468137,7.500413028506103,6.9305513416513875,7.185656388742507,7.534812012326311,7.675777882942198,8.89120357030132,9.356025445037897,6.535674583712857,7.016701639496184,6.819857292290629,6.896998774277104,7.085636738440967,8.393052469998182,10.016543870949201,6.800334083038209,8.020339209578125,8.256199916416001,6.397679878981645,7.89583723892731,7.558057773787066,6.8963141884560395,8.12228007999973,7.883779548112858,6.822327686464126,7.055101035824839,8.00642272326757,7.200977670108718,8.075173208137645,6.8740989924520015,8.938927111776058,8.242075216165992,7.7781172730800545,7.940306311752617,6.594636199571135,8.526980859077286,8.971858582415633,8.77388424213327,9.239305354871625,7.663805655232545,7.028600382730932,7.781722673611501,7.760338165930339,7.359632551423595,7.7608690203299195,8.876806794541872,9.682806570602855,10.36387533430365,9.610225802338778,11.011021198337097,10.593248561946908,10.648526001986847,10.627388324696419,11.929513390792344,11.392926788649078,11.302821262587413,9.564737109112539,10.854745886582242,9.475983113947148,9.560775553294732,9.477530008536595,7.644947572438517,7.234960535715878,7.880521319403234,6.758298432830716,7.223961189642091,6.5921701484431425,7.516992259734098,9.918753417718877,9.61637963182207,9.27670701222794,9.52542115593945,10.802925941741707,7.744225979795608,5.709976390947195,6.745529454820149,7.115555886645201,9.503764572428965,8.24379931254459,6.343746680972533,9.529709553304993,6.314108421097716,9.473103039960693,7.2849053325656525,6.325973002121813
SCD_GSE101657_Control_SCD_2,7.821186383639346,7.405527641847771,0.0,7.849898940608652,7.613010660275612,8.366134505146919,7.209647488925757,7.2270097985047865,8.010557082203231,7.675522527444384,6.60840901664007,7.290245852035396,7.412403984936427,8.582066905561103,6.961566774349915,7.989829424002587,6.521080424679496,7.618225066380003,7.644533014154507,7.40935150898364,6.818397666750772,8.482409478636182,6.8244044099896986,7.429401314324467,7.955972482995837,8.094221999775609,8.347081893259658,9.461035407134593,11.204695155272326,7.279572552040823,9.452500576725502,9.499927142256707,7.4771900450919135,9.28233734232322,8.750842622517746,7.950460610412443,9.748031089753209,8.21858040369095,7.384692169573123,8.900592851016603,7.819961967686219,7.172850632164276,9.486780993463903,9.021999030827336,7.720020669315034,7.402483515380412,7.314074374845367,8.958307525546246,7.836923905406812,8.82205520667012,8.30236111532146,9.465121724155663,11.430730356678279,8.942482621982071,8.635652028285499,6.503994507684817,7.1579558799400775,8.175240155274627,7.774963101572907,10.95461462324211,7.869041121282281,9.57750961473431,9.429052874350901,12.331650130573474,12.029500814920548,12.125158299112385,11.898252195344432,13.187277344156927,12.713033534416542,12.53110382059234,10.899391002426952,12.024419811284572,10.909246092306171,10.822421009427647,10.911291479928405,10.097847175737213,7.1155196318294385,7.0950328180092,7.839360337401978,7.884722728574635,8.054152718466227,7.890736050859568,11.227210074416481,11.06858627162995,10.959145025088027,11.216717853736037,12.0097886991623,8.47073505953543,6.288531914605632,7.551387134889541,7.796942073490356,9.394511447588703,9.467316398491755,7.296929817765541,8.942118511662475,8.338196852186307,8.794429049459819,8.849676115407501,8.372701362710039
SCD_GSE101657_Control_SCD_3,7.462661165240181,7.933896150075782,7.849898940608652,0.0,7.679155700579788,7.497123235004155,8.571129771851709,8.473520928831784,8.341314825407254,6.990154135299635,8.252420799946846,7.398986106171221,7.608813710978808,6.414889651530344,8.236276579674447,6.854519413082362,6.262769767766182,7.996132111961676,6.619990315738403,8.232753997102781,8.181970164232517,7.109945828363901,7.402009150776374,7.445330975502473,9.051511484672952,9.228883924839035,8.30601423035581,9.343890918633164,12.383177726834772,8.418116503421494,9.91332049554401,10.28079611572788,8.53970543030895,9.368118980969257,9.398628768952298,7.683061856170709,9.900456407432143,7.241342932173914,7.451085659478572,7.674689212972469,7.514865261078083,7.26444431385654,8.393997744721817,8.848748442729208,7.67572874019214,9.41466382849054,5.973133737453845,7.982848648375458,6.493164656811184,6.845734614287676,7.3339721904246815,6.524607083015677,9.538445313439924,6.305829686718178,6.797973254594106,8.574727653569973,8.318074413680668,8.223147359233046,9.868541139883499,8.385951313035568,8.327091092198735,8.614289220226379,8.315386637315367,13.501414438560452,13.140272074824246,13.112633707953718,13.053287465643429,14.36052030534217,13.894931796757868,13.76203246068773,10.845426861860012,12.588598560223524,11.87660504938044,11.186488573081146,11.34542367710588,9.080146718357389,8.99878484525611,8.092072145490157,7.757593732071869,7.461240873970916,7.301407117063961,7.144305524082061,12.054788383895383,11.978310742777076,11.087579952598983,11.422616153330194,13.21864417990899,6.286687144217713,7.439582290648255,7.696879459493841,7.048746944383782,9.467209583215727,7.746309737425873,6.334735638556849,7.6780285737653005,7.783162247639721,7.655702890198061,6.837491290789198,7.125698500839823
SCD_GSE101657_Control_SCD_4,7.4427884278639205,6.740947241757839,7.613010660275612,7.679155700579788,0.0,7.007786622467461,6.750159916032204,7.22832656452264,7.806966831603533,7.626451986045315,7.157898087133343,7.713524884695848,7.861309398839958,7.98435895544456,7.567745639784023,8.17940588644403,7.064641567685995,7.157733018005007,6.8614030867913725,6.842932506989705,7.460798850181369,7.681727782142365,6.542962353759756,7.919161363773633,8.496575705384313,8.477322125151646,7.985797269015029,9.59638901845506,11.826078589095017,7.661278989824263,9.491215538113625,9.81071590675645,7.546508498159235,9.139148012116443,8.29730379151529,7.501262639511604,8.833274535975832,6.257542952815606,6.7135047007139805,6.824886513639584,7.007799333569574,6.884834293401166,7.411884840763337,8.163566636123516,7.6378000761153855,8.202585878052767,7.074907640096135,7.961005374513133,6.908278688857417,8.026618156338968,7.591589400277093,9.711565654033162,10.178298464762557,7.310431736979733,7.5860780441431,7.658191912936529,7.054063203155816,7.503238369481649,7.821620392762854,8.574136081647504,8.230433518170623,8.660774804498896,8.535896991061666,12.937859344351988,12.55922738450979,12.619443457456581,12.58164058572294,13.738213938680033,13.248001963199252,13.05262301541435,11.144711032372882,12.500267586252193,11.299377548714023,10.970745706501425,11.391902669036325,8.511717904425378,6.542963196276322,6.758582469096188,6.327802183951388,6.688517084069973,6.532487921706813,7.433598894351989,11.642752337971782,11.450197141668157,10.630684324257132,10.990928719545414,12.703097984635736,6.438771948386005,7.452951349678583,7.026390779206308,7.264393903441141,9.207455083878735,8.133224816619773,6.600871827774511,8.643761623618534,8.050585567892789,8.437205300752856,6.873093605494784,7.295012498370513
SCD_GSE159090_GSM4819135_SCD_Male,7.146726206427111,6.629403110818988,8.366134505146919,7.497123235004155,7.007786622467461,0.0,8.232372173881247,7.074363049106586,7.428215706668633,6.755644455939287,7.798521964124246,6.822820356885284,7.688570827047497,7.240537549996063,7.019411248320009,7.371830746832668,7.2249088595671065,8.071354111968562,7.446823685282641,8.2018259213214,9.17967270919333,8.71058870866111,6.941372672618379,7.681137067558273,7.444647839404781,7.702543090520999,6.932156010751542,8.15786747923093,10.411981404668868,7.0271461271251106,8.181474655135393,8.59400275081743,7.0152037682963275,7.351607015407882,7.438046457058885,6.559385164447826,8.025659215081026,7.651576180365394,6.594846944348511,7.355370682523648,7.914261150579295,7.388087115321798,7.584814337148514,7.797580171957362,8.55131162730051,8.991585033206329,7.4996676182356525,8.14445255874681,6.590002860744334,7.356771711723247,8.312141877492797,7.9294592526020615,8.632395274433113,6.279625671479356,7.411899604814703,8.816969377839834,8.662641094411919,7.407607528790741,9.041982634351813,7.9642940352230545,9.657479172223383,9.59369494361897,10.008701412382399,11.407647706326246,11.142708838693494,11.078220376082909,10.968008895150566,12.358798635435587,11.810513801523115,11.69538863860448,9.41791722573638,10.819093173470732,9.976069353263963,9.470649839670067,9.903571299472702,7.485313634560486,8.947147814964762,8.258104847496215,7.4366991293625135,7.1476147084184065,7.196755521530034,7.919325298108881,10.18859081366305,10.019294279092355,9.281560901149039,9.694308962493277,11.238264040962285,6.621185773351035,6.853323767539737,6.23043071809901,7.387473389172215,9.209291098530368,6.917770968702984,6.802492008033224,9.263830969574002,6.3303518432800105,8.587073142914628,5.8652666910697056,6.456228220134887
SCD_GSE159090_GSM4819136_SCD_Male,8.811632790054654,7.252799396177149,7.209647488925757,8.571129771851709,6.750159916032204,8.232372173881247,0.0,5.4847787113046484,8.595942549098202,7.285715288454714,5.41535736793908,7.244728195582297,6.550498184922793,9.193651889794726,5.972104409268376,9.242504266433594,7.241675653662074,6.893884057942197,7.771668680886774,4.982367753466304,7.575559485167353,8.34124263787025,6.086633711873111,8.403738245192166,8.361587469474912,8.558781332023331,9.059863634347675,11.016956882621079,12.039557992231863,8.110543389370529,10.10168357048689,10.402600377479807,8.024413677342945,9.929811953640373,9.477174642967794,8.220319184728563,9.918378510276506,6.803723325709066,7.928378615736744,8.396372086306101,7.384023359566259,6.914013118495693,8.478393043345767,9.697621546496284,8.030131673836035,8.300182660445595,8.165925330333751,9.9448953850798,8.401229820443072,9.337431083134772,9.223182911207891,10.790680497526957,11.884439130629735,9.296414089461612,9.07595817360304,6.895836776428097,7.185192914996528,7.864187468540242,7.066219679682779,11.003926381141568,8.081412833201643,9.614320910033236,9.782850040499236,13.113096794411806,12.941878792114167,12.960493903904712,12.71680623487291,14.037338060631514,13.518836589968618,13.338808252865736,11.992540909597556,12.91193781742737,11.798085667169813,11.73909930055589,11.903837029737405,10.076687476332705,7.105827406530865,7.278727229020261,7.376499421024716,7.157560268615216,8.240483918573458,7.226137039995617,12.186447232694038,11.715750773110276,11.74400558512826,11.815023487020577,12.942275651834073,8.810280040566738,6.624368592003684,7.275142235420242,7.981265865321712,9.641721717768991,9.27439016535807,8.067189508489564,9.753241360847387,8.223198279063592,10.113244817492218,8.677192535799165,8.558760179745658
SCD_GSE159090_GSM4819149_SCD_Male,8.188371688443127,6.836195216774387,7.2270097985047865,8.473520928831784,7.22832656452264,7.074363049106586,5.4847787113046484,0.0,7.308267924181966,7.10656231738534,6.1417834619680995,5.251392325367394,7.126585755959025,7.770897862754219,5.323106241379204,8.361751224878663,6.846164242801649,6.654593863571926,6.908242870282359,5.939865452554011,7.7930293469049285,8.668426640360895,6.088300366776963,7.837023548501031,7.495810839029842,7.903628727283601,8.313513159790832,9.844425708217756,10.965729695572623,7.3807569497431675,9.37550629904129,9.61906150679812,6.904715236000605,9.023011751143535,8.873520286505423,8.198713956049845,9.508788954125974,7.367572969304359,7.70153215219029,8.661179247089164,7.396625558680631,6.83231972467238,8.468566458860687,9.035669766912537,7.761872810186683,7.663698727465502,7.54346489822587,9.450197979268319,7.045546313427727,9.093369556391776,8.953520061693995,9.768483474029221,10.862808660046781,8.754836332652125,8.145667419845324,7.0030940052126915,6.95429957626613,7.773719287678341,7.625985759040335,10.416226545433629,8.571151193283429,9.556194768425005,9.787196301817136,12.288001541100877,12.144186931851397,12.171129663180556,11.858707025472425,13.238787945554439,12.646015734414116,12.525390624724375,11.26083105282136,12.06356199753954,10.947418343873496,11.198545610715438,10.933714069354396,9.518067702731393,7.0754624568756626,7.371572819325668,7.971164056792895,7.670514871466184,7.772248757592894,7.328594485664688,11.446975691346722,11.063140200932448,11.044940824986021,11.238506312352532,12.137328548601548,8.012179030970053,6.088691604656516,6.246054535180521,7.747852701131331,8.530072627636015,8.724460338657229,7.249144861057419,9.507504697506429,6.9192334004211515,9.875340365955232,8.366883020043964,7.503337220194927
SCD_GSE159090_GSM4819150_SCD_Male,9.949783614993876,8.00780701591107,8.010557082203231,8.341314825407254,7.806966831603533,7.428215706668633,8.595942549098202,7.308267924181966,0.0,7.089451647830954,8.606865690200294,5.193188229742133,8.655952819078092,7.517715787373553,6.596349548607387,8.567289491457318,6.550774991689719,7.287806677513153,6.14263570523838,8.220414684190848,7.265031528692952,7.211421344374355,6.901770867544959,8.650581864034134,9.653396946661234,9.49445061407739,9.657804648729368,10.45993233513726,13.057576217910173,8.306936456881186,10.814541468065624,11.021597040674385,8.969861919090633,10.554235018977025,10.147401235718922,8.585803455023996,10.802978375652913,7.951250292908039,7.820596045969892,10.046929893586318,9.068462145006464,7.812531015938232,10.669365751539564,10.504146628789549,6.981136196526743,6.514522054229529,8.132544400890604,10.417684489470307,7.385733734858362,8.19370329287181,8.532406424930794,10.129021964233345,11.903134655566843,8.175907145458648,8.037821063372972,7.563489959911188,6.68954720927596,7.589989672219158,8.7366659836245,10.57755381887689,7.812783171703464,8.80690456074695,8.08714220551474,14.409759130528974,14.107424705770645,14.100291683903135,13.924132082838833,15.404316689592251,14.908152698122606,14.609121603657778,12.619006384322134,13.739258069112216,12.849558909077365,12.410202697134393,12.946249347857238,11.5562893591654,8.074775835482681,6.5387677563955915,7.245107837139179,10.064245359918772,8.13859647577012,8.68557877198597,13.065844595342526,13.27708081251281,12.186870814055478,13.173658147262575,14.160191999396348,7.168723599480695,7.0438562541788245,6.716471226637124,7.877228468385545,8.399425550145406,7.957704511377553,7.113509991474466,6.533118397272885,7.3578642287747975,7.861038404225303,8.28224852679672,8.18060343452974
SCD_GSE159090_GSM4819161_SCD_Male,8.769730611387812,7.785932917240762,7.675522527444384,6.990154135299635,7.626451986045315,6.755644455939287,7.285715288454714,7.10656231738534,7.089451647830954,0.0,6.847113394367674,6.911306129177551,7.862826392309745,7.26045162500579,6.231219851026578,7.553006199714683,7.038277503273416,7.882549326366723,6.065528446649202,7.2314000548418935,7.210540211202591,6.405100561705796,6.838468155487704,7.903774704742811,9.301606648685738,9.614976568048585,9.03838380551974,10.928640065731912,13.20958264633868,8.274887960944273,10.798132678250546,10.782520389138286,8.83277563868066,9.887060302914714,9.67807691908523,7.806091369731004,10.26924468836729,6.691588007932205,6.595806528893789,8.274338801813466,6.914356023013677,6.55565049424096,8.293890397572671,10.035405424384358,6.886806637762839,8.992112806544963,7.735357360075501,8.92489097585797,7.52523765791776,7.408329430907321,7.345960148394895,9.211233120472874,10.962477597338676,7.281124702270631,8.458255526781349,8.268751982026798,8.217127176883018,7.856537285107953,9.269412861956598,9.966789704888182,8.503740617238012,8.877387878538523,8.52759237555616,14.298926422005094,14.02438962621916,14.050372777766308,13.844458691397348,15.298718943529337,14.756549272883188,14.558792935497806,12.256554899636289,13.704403172950574,12.76836563861597,12.122473391225974,12.479650606929079,9.695717264927069,8.142223730882389,7.229776622408507,7.228102743295028,7.631683345990798,8.009583888119101,7.428539095383124,12.964112596350763,12.908902722297809,12.31182143029095,12.587970946969692,14.013114820407564,6.288870491534951,6.839054765394466,6.021678040179978,7.040506452718196,8.475348860258809,6.907077788871311,7.461833309016393,7.280035079147674,7.809482690067914,7.802333536004742,6.924393422367571,8.0509625865912
