ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
EX_acetone_e,Acetone exchange,Extracellular exchange,acetone_e,Acetone,-1.0,-0.2634980022957826,0.4903714008382479
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,ala__L_e,L-Alanine,-1.0,-0.4090679272653522,0.6876578079687309
EX_acac_e,Acetoacetate exchange,Extracellular exchange,acac_e,Acetoacetate,-1.0,-0.2864917488898429,286491748889.8429
EX_co2_e,CO2 exchange,Extracellular exchange,co2_e,CO2 CO2,-1.0,-0.8230706794519986,0.7843524394780613
EX_h_e,H+ exchange,Extracellular exchange,h_e,H+,-1.0,0.3268376752868765,1.769022041690496
EX_h2o2_e,Hydrogen peroxide exchange,Extracellular exchange,h2o2_e,Hydrogen peroxide,-1.0,0.2798756285924415,1.781100184411524
EX_tyr__L_e,L-Tyrosine exchange,Extracellular exchange,tyr__L_e,L-Tyrosine,-1.0,0.388730568398966,0.350926899445311
EX_thr__L_e,L-Threonine exchange,Extracellular exchange,thr__L_e,L-Threonine,-1.0,-0.2457536490150418,4.702385705064264
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",hco3_c,Bicarbonate,2.0,0.2430239996091481,1.491652411964807
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",hco3_e,Bicarbonate,-2.0,0.2430239996091481,1.491652411964807
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",na1_c,Sodium,1.0,0.2430239996091481,1.491652411964807
2HCO3_NAt,Bicarbonate transport (Na/HCO3 1:2 cotransport),"Transport, Extracellular",na1_e,Sodium,-1.0,0.2430239996091481,1.491652411964807
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,34hpp_c,3-(4-Hydroxyphenyl)pyruvate,-1.0,-0.4883271724661301,0.0047430231846674
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,co2_c,CO2 CO2,1.0,-0.4883271724661301,0.0047430231846674
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,hgentis_c,Homogentisate C8H7O4,1.0,-0.4883271724661301,0.0047430231846674
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,o2_c,O2 O2,-1.0,-0.4883271724661301,0.0047430231846674
ACETONEt2m,Acetone mitochondrial transport via proton symport,"Transport, Mitochondrial",acetone_c,Acetone,-1.0,0.2634980022957826,0.4903714008382479
ACETONEt2m,Acetone mitochondrial transport via proton symport,"Transport, Mitochondrial",acetone_m,Acetone,1.0,0.2634980022957826,0.4903714008382479
ACETONEt2m,Acetone mitochondrial transport via proton symport,"Transport, Mitochondrial",h_c,H+,-1.0,0.2634980022957826,0.4903714008382479
ACETONEt2m,Acetone mitochondrial transport via proton symport,"Transport, Mitochondrial",h_m,H+,1.0,0.2634980022957826,0.4903714008382479
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",acac_c,Acetoacetate,1.0,0.2864917488898429,286491748889.8429
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",acac_e,Acetoacetate,-1.0,0.2864917488898429,286491748889.8429
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",h_c,H+,1.0,0.2864917488898429,286491748889.8429
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",h_e,H+,-1.0,0.2864917488898429,286491748889.8429
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, Mitochondrial",acac_c,Acetoacetate,-1.0,-0.2031260689152451,0.6071360957096581
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, Mitochondrial",acac_m,Acetoacetate,1.0,-0.2031260689152451,0.6071360957096581
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, Mitochondrial",h_c,H+,-1.0,-0.2031260689152451,0.6071360957096581
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, Mitochondrial",h_m,H+,1.0,-0.2031260689152451,0.6071360957096581
ACETONEt2,Acetone transport via proton symport,"Transport, Extracellular",acetone_c,Acetone,1.0,0.2634980022957826,0.4903714008382479
ACETONEt2,Acetone transport via proton symport,"Transport, Extracellular",acetone_e,Acetone,-1.0,0.2634980022957826,0.4903714008382479
ACETONEt2,Acetone transport via proton symport,"Transport, Extracellular",h_c,H+,1.0,0.2634980022957826,0.4903714008382479
ACETONEt2,Acetone transport via proton symport,"Transport, Extracellular",h_e,H+,-1.0,0.2634980022957826,0.4903714008382479
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,acetol_c,Acetol cytosol,-1.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,h2o_c,H2O H2O,2.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,h_c,H+,-1.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,mthgxl_c,Methylglyoxal,1.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,nadp_c,Nicotinamide adenine dinucleotide phosphate,1.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,-1.0,-0.2739832098408319,0.0
ACTLMO,Acetol monooxygenase,Pyruvate Metabolism,o2_c,O2 O2,-1.0,-0.2739832098408319,0.0
EX_o2_e,O2 exchange,Extracellular exchange,o2_e,O2 O2,-1.0,0.5659643982726759,0.8683127902453136
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",Propanoate Metabolism,acac_m,Acetoacetate,-1.0,-0.2634980022957826,0.4903714008382479
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",Propanoate Metabolism,acetone_m,Acetone,1.0,-0.2634980022957826,0.4903714008382479
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",Propanoate Metabolism,co2_m,CO2 CO2,1.0,-0.2634980022957826,0.4903714008382479
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",Propanoate Metabolism,h_m,H+,-1.0,-0.2634980022957826,0.4903714008382479
ALR2,Aldose reductase (methylglyoxal),Pyruvate Metabolism,acetol_c,Acetol cytosol,1.0,-0.2739832098408319,0.0
ALR2,Aldose reductase (methylglyoxal),Pyruvate Metabolism,h_c,H+,-1.0,-0.2739832098408319,0.0
ALR2,Aldose reductase (methylglyoxal),Pyruvate Metabolism,mthgxl_c,Methylglyoxal,-1.0,-0.2739832098408319,0.0
