ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,ala__L_e,L-Alanine,-1.0,-0.6302649822083827,0.5094104983374522
EX_bhb_e,(R)-3-Hydroxybutanoate transport via H+ symport,Extracellular exchange,bhb_e,(R)-3-Hydroxybutanoate,-1.0,-0.204218239544326,0.3287113887367716
EX_acac_e,Acetoacetate exchange,Extracellular exchange,acac_e,Acetoacetate,-1.0,-0.2850030587813685,285003058781.3686
EX_co2_e,CO2 exchange,Extracellular exchange,co2_e,CO2 CO2,-1.0,-1.4669207248501226,0.6233951454489751
EX_dopa_e,Dopamine exchange,Extracellular exchange,dopa_e,Dopamine,-1.0,-0.5044270736857704,0.0
EX_phe__L_e,L-Phenylalanine exchange,Extracellular exchange,phe__L_e,L-Phenylalanine,-1.0,0.5749123747666302,0.0138919619585319
EX_h_e,H+ exchange,Extracellular exchange,h_e,H+,-1.0,-0.2886482124695874,0.7389102310557548
EX_h2o2_e,Hydrogen peroxide exchange,Extracellular exchange,h2o2_e,Hydrogen peroxide,-1.0,-0.2625648758785837,0.0
EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,glu__L_e,L-Glutamate,-1.0,0.2447423300280456,0.1408335869876093
EX_gly_e,Glycine exchange,Extracellular exchange,gly_e,Glycine,-1.0,-0.3730755112262879,0.1777519807540959
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,Extracellular exchange,hdca_e,Hexadecanoate (n-C16:0),-1.0,0.3063795825590439,0.0
EX_ser__L_e,L-Serine exchange,Extracellular exchange,ser__L_e,L-Serine,-1.0,0.4081953096359103,0.3172500520823184
EX_srtn_e,Serotonin exchange,Extracellular exchange,srtn_e,Serotonin,-1.0,0.5817977137590008,581797713759.0009
EX_trp__L_e,L-Tryptophan exchange,Extracellular exchange,trp__L_e,L-Tryptophan,-1.0,-0.5817782891032718,354.3089387235482
EX_tyr__L_e,L-Tyrosine exchange,Extracellular exchange,tyr__L_e,L-Tyrosine,-1.0,0.2246254765999108,0.6677566628793332
EX_val__L_e,L-Valine exchange,Extracellular exchange,val__L_e,L-Valine,-1.0,0.2015082978636351,0.2557284072989138
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,34hpp_c,3-(4-Hydroxyphenyl)pyruvate,-1.0,-0.3949337484319674,0.4660637990752252
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,co2_c,CO2 CO2,1.0,-0.3949337484319674,0.4660637990752252
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,hgentis_c,Homogentisate C8H7O4,1.0,-0.3949337484319674,0.4660637990752252
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,Tyrosine metabolism,o2_c,O2 O2,-1.0,-0.3949337484319674,0.4660637990752252
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, Leucine, and Isoleucine Metabolism",3hibutcoa_m,(S)-3-Hydroxyisobutyryl-CoA,-1.0,-0.2013246465731061,0.2110400428348504
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, Leucine, and Isoleucine Metabolism",3hmp_m,3-Hydroxy-2-methylpropanoate,1.0,-0.2013246465731061,0.2110400428348504
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, Leucine, and Isoleucine Metabolism",coa_m,Coenzyme A,1.0,-0.2013246465731061,0.2110400428348504
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, Leucine, and Isoleucine Metabolism",h2o_m,H2O H2O,-1.0,-0.2013246465731061,0.2110400428348504
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, Leucine, and Isoleucine Metabolism",h_m,H+,1.0,-0.2013246465731061,0.2110400428348504
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,34dhphe_c,"3,4-Dihydroxy-L-phenylalanine",-1.0,-0.5044270736857704,0.0
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,co2_c,CO2 CO2,1.0,-0.5044270736857704,0.0
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,dopa_c,Dopamine,1.0,-0.5044270736857704,0.0
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism,h_c,H+,-1.0,-0.5044270736857704,0.0
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,5htrp_c,5-Hydroxy-L-tryptophan,-1.0,0.5817977137590008,581797713759.0009
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,co2_c,CO2 CO2,1.0,0.5817977137590008,581797713759.0009
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,h_c,H+,-1.0,0.5817977137590008,581797713759.0009
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism,srtn_c,Serotonin,1.0,0.5817977137590008,581797713759.0009
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",2mp2coa_m,2-Methylprop-2-enoyl-CoA,1.0,-0.2013246465731061,0.2110400428348504
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",fad_m,Flavin adenine dinucleotide oxidized,-1.0,-0.2013246465731061,0.2110400428348504
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",fadh2_m,Flavin adenine dinucleotide reduced,1.0,-0.2013246465731061,0.2110400428348504
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",ibcoa_m,Isobutyryl-CoA,-1.0,-0.2013246465731061,0.2110400428348504
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",acac_c,Acetoacetate,1.0,0.2850030587813685,285003058781.3686
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",acac_e,Acetoacetate,-1.0,0.2850030587813685,285003058781.3686
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",h_c,H+,1.0,0.2850030587813685,285003058781.3686
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",h_e,H+,-1.0,0.2850030587813685,285003058781.3686
EX_o2_e,O2 exchange,Extracellular exchange,o2_e,O2 O2,-1.0,2.0132336477484265,0.6138247316561759
ARTFR41,R group artificial flux,R Group Synthesis,R4coa_hs_c,R group 4 Coenzyme A homo sapiens,1.0,-0.9080651166587076,0.0
ARTFR41,R group artificial flux,R Group Synthesis,fad_m,Flavin adenine dinucleotide oxidized,1.0,-0.9080651166587076,0.0
ARTFR41,R group artificial flux,R Group Synthesis,fadh2_m,Flavin adenine dinucleotide reduced,-1.0,-0.9080651166587076,0.0
ARTFR41,R group artificial flux,R Group Synthesis,hdcoa_c,Hexadecenoyl-CoA (n-C16:1CoA),-1.0,-0.9080651166587076,0.0
ARTPLM1,R group to palmitate conversion,R Group Synthesis,Rtotalcoa_c,Rtotalcoa c,-1.0,-0.6568730247741925,0.2729378208510856
ARTPLM1,R group to palmitate conversion,R Group Synthesis,pmtcoa_c,Palmitoyl-CoA (n-C16:0CoA),1.0,-0.6568730247741925,0.2729378208510856
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,acac_m,Acetoacetate,1.0,0.204218239544326,0.3287113887367716
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,bhb_m,(R)-3-Hydroxybutanoate,-1.0,0.204218239544326,0.3287113887367716
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,h_m,H+,1.0,0.204218239544326,0.3287113887367716
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,nad_m,Nicotinamide adenine dinucleotide,-1.0,0.204218239544326,0.3287113887367716
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,nadh_m,Nicotinamide adenine dinucleotide - reduced,1.0,0.204218239544326,0.3287113887367716
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, Extracellular",bhb_c,(R)-3-Hydroxybutanoate,1.0,0.204218239544326,0.3287113887367716
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, Extracellular",bhb_e,(R)-3-Hydroxybutanoate,-1.0,0.204218239544326,0.3287113887367716
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, Extracellular",h_c,H+,1.0,0.204218239544326,0.3287113887367716
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, Extracellular",h_e,H+,-1.0,0.204218239544326,0.3287113887367716
BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport,"Transport, Mitochondrial",bhb_c,(R)-3-Hydroxybutanoate,-1.0,0.204218239544326,0.3287113887367716
BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport,"Transport, Mitochondrial",bhb_m,(R)-3-Hydroxybutanoate,1.0,0.204218239544326,0.3287113887367716
