ReactionID,ReactionName,Subsystem,HFD_MeanFlux,HFD_StdFlux,HFD_N,HFD_Flux,SCD_MeanFlux,SCD_StdFlux,SCD_N,SCD_Flux,Diff(HFD-SCD),Ratio(HFD/SCD)
EX_5fthf_e,5-Formyltetrahydrofolate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5homeprazole_e,5 hydroxy omeprazole exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_34dhphe_e,"3,4-Dihydroxy-L-phenylalanine exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_35cgmp_e,"3',5'-Cyclic GMP exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_3aib_e,L-3-Amino-isobutanoate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,0.1,0.0,1,0.1,0.2,0.0,1,0.2,-0.1,0.4999999999975
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
ATPM,ATP maintenance requirement,Biomass and maintenance functions,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acetone_e,Acetone exchange,Extracellular exchange,0.3251686847213236,0.0,1,0.3251686847213236,0.3756976983220187,0.0,1,0.3756976983220187,-0.050529013600695116,0.8655061933377854
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type IIIA glycolipid exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,Type IIIAb exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_avite2_c,Alpha-Tocotrienol demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_bvite_c,Beta-tocopherol demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4mptnl_e,4-methylpentanal Exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_core5_g,"Demand for Core5, Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acgam_e,N-Acetyl-D-glucosamine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ach_e,Acetylcholine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acn13acngalgbside_hs_e,"Sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acn23acngalgbside_hs_e,"Sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4mtolbutamide_e,4 hydroxy tolbutamide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acnacngal14acglcgalgluside_hs_e,"3',8'-LD1 exchange",Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acnacngalgbside_hs_e,Disialyl galactosylgloboside (homo sapiens) exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_acngalacglcgal14acglcgalgluside_hs_e,VI3NeuAc-nLc6Cer exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_4nph_e,4-Nitrophenol exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ade_e,Adenine exchange,Extracellular exchange,-0.002035548369514596,0.0,1,-0.002035548369514596,-0.0022677791927030455,0.0,1,-0.0022677791927030455,0.00023223082318844963,0.897595486882812
EX_adn_e,Adenosine exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_adp_e,Adp exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_adprbp_e,ADPribose 2'-phosphate exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_adprib_e,ADPribose exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_adrn_e,Adrenic acid exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_adrnl_e,Adrenaline exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_aflatoxin_e,Aflatoxin B1 exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
EX_ahandrostanglc_e,Etiocholan-3alpha-ol-17-one 3-glucuronide exchange,Extracellular exchange,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_core7_g,"Demand for Core7, Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_core8_g,"Demand for Core8, Golgi Apparatus",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_datp_m,DATP demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_datp_n,"Demand for dATP, Nuclear",Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
DM_dctp_m,DCTP demand,Intracellular demand,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0
