ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
EX_5fthf_e,5-Formyltetrahydrofolate exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_5homeprazole_e,5 hydroxy omeprazole exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol exchange",Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_34dhphe_e,"3,4-Dihydroxy-L-phenylalanine exchange",Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_35cgmp_e,"3',5'-Cyclic GMP exchange",Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_3aib_e,L-3-Amino-isobutanoate exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,HFD,SCD,0.1,0.2,-0.1,,,
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,HFD,SCD,0.0,0.0,0.0,,,
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
ATPM,ATP maintenance requirement,Biomass and maintenance functions,HFD,SCD,0.0,0.0,0.0,,,
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,HFD,SCD,0.0,0.0,0.0,,,
EX_acetone_e,Acetone exchange,Extracellular exchange,HFD,SCD,0.2744861398525502,0.0,0.2744861398525502,,,
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type IIIA glycolipid exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,,,
