ReactionID,RankProduct,RankProductRank,Diff(HFD-SCD)
EX_o2_e,1.500000001,1,1.5298737539508125
O2t,1.500000001,2,-1.5298737539508125
EX_co2_e,3.5000000010000005,3,-1.2443078028057089
CO2t,3.5000000010000005,4,1.2443078028057089
ALATA_L,5.000000000999999,5,0.7548982296912946
MALTSULtm,6.500000001,6,-0.6838699272221439
FUMTSULtm,6.500000001,7,0.6838699272221439
MALSO4tm,8.500000001000002,8,0.6665897639081133
FUMSO4tm,8.500000001000002,9,-0.6665897639081133
EX_ala__L_e,10.000000001000002,10,-0.6098586869425762
RTOT4,11.500000001,11,-0.4539485738716181
ARTFR41,11.500000001,12,-0.4539485738716181
SERDGLYexR,13.500000001,13,0.4052371416664796
SERDGLNexR,13.500000001,14,-0.4052371416664796
EX_h_e,15.000000001,15,-0.3945919319937969
NADtru,16.500000001,16,0.3715130834877533
NADHtru,16.500000001,17,0.3715130834877533
ESTRONEtr,19.500000000999997,18,-0.3642495338168444
HSD17B8r,19.500000000999997,19,0.3642495338168444
ESTRADIOLtr,19.500000000999997,20,0.3642495338168444
HSD17B1,19.500000000999997,21,-0.3642495338168444
Htr,22.000000001,22,0.3636990644436302
MACACI,25.000000000999997,23,-0.356930128970032
TYRTA,25.000000000999997,24,-0.356930128970032
FUMAC,25.000000000999997,25,-0.356930128970032
HGNTOR,25.000000000999997,26,-0.356930128970032
34HPPOR,25.000000000999997,27,-0.356930128970032
BHBt,29.500000001000004,28,0.3550421227684041
BDHm,29.500000001000004,29,0.3550421227684041
BHBtm,29.500000001000004,30,0.3550421227684041
EX_bhb_e,29.500000001000004,31,-0.3550421227684041
DESAT16_2,32.000000001000004,32,-0.3539485738716181
EX_trp__L_e,33.500000001000004,33,0.3488180498690996
TRPt4,33.500000001000004,34,-0.3488180498690996
TRPHYDRO2,37.00000000099999,35,-0.3486685396689673
THBPT4ACAMDASE,37.00000000099999,36,-0.3486685396689673
EX_srtn_e,37.00000000099999,37,-0.3486685396689673
DHPR,37.00000000099999,38,-0.3486685396689673
5HLTDL,37.00000000099999,39,-0.3486685396689673
ARTPLM1,40.000000001,40,-0.3447229943543308
ME2,41.00000000099999,41,-0.3421791974592318
FUM,42.000000001,42,-0.3410432155663243
ACACt2,43.500000001000004,43,0.3146685332449286
EX_acac_e,43.500000001000004,44,-0.3146685332449286
ADCim,46.500000001,45,0.310914028113013
EX_acetone_e,46.500000001,46,0.310914028113013
ACETONEt2m,46.500000001,47,-0.310914028113013
ACETONEt2,46.500000001,48,-0.310914028113013
GLYt2r,49.00000000099999,49,0.2989321490346661
PROt4,50.000000001,50,0.272499868556793
SRTNtu,51.000000001,51,0.2657646516171122
CYSGLUexR,52.00000000099999,52,0.2644598108985344
EX_tyr__L_e,53.500000001000004,53,0.2642152241917913
TYRt4,53.500000001000004,54,-0.2642152241917913
PROt4_2_r,55.00000000100002,55,-0.2527568533075408
ALAtN1,56.000000001000004,56,0.2271931443082215
EX_glu__L_e,57.50000000100001,57,0.2240159238676196
GLUt6,57.50000000100001,58,-0.2240159238676196
PYRt2,59.500000000999975,59,0.2236019814116431
EX_pyr_e,59.500000000999975,60,-0.2236019814116431
3SALATAi,61.00000000099999,61,-0.2143876937478826
3SPYRSP,62.00000000099997,62,-0.2143876937478824
PIt2m_2,63.00000000099997,63,-0.2127677550874613
H2CO3D,65.000000001,64,0.2079827916531012
EX_hco3_e,65.000000001,65,0.2079827916531012
H2CO3D2,65.000000001,66,-0.2079827916531012
NH4tp,67.000000001,67,0.2006741594694769
EX_h2o_e,68.50000000099998,68,0.2
H2Ot,68.50000000099998,69,-0.2
DALAxt,71.00000000100002,70,-0.1969411616089018
PYRt2p,71.00000000100002,71,0.1969411616089018
DALAOXx,71.00000000100002,72,-0.1969411616089018
FUMm,73.00000000100003,73,-0.1941114508370671
Htx,74.00000000099998,74,-0.1935751433304695
NAIt,75.00000000099998,75,0.1892736450329091
ALR2,76.500000001,76,0.1884374526569508
ACTLMO,76.500000001,77,0.1884374526569508
thr_mt,78.50000000099999,78,0.1867152781118748
R01465m,78.50000000099999,79,0.1867152781118748
CYSt4,80.00000000099999,80,-0.1862850174651559
EX_thr__L_e,81.00000000100003,81,-0.1854036659016235
CO2tm,82.00000000099999,82,-0.1810868762991787
THRGLYexR,83.00000000100002,83,0.1782831791115059
SUCOASm,84.50000000099998,84,0.1782245374333596
SUCD1m,84.50000000099998,85,-0.1782245374333596
EX_val__L_e,86.00000000099998,86,0.1674388419864103
EX_cys__L_e,87.00000000099998,87,0.1669574069061011
CYSO,88.000000001,88,-0.1664647028374835
SULFOX,90.00000000099999,89,-0.1664647028374833
SO4t4_3,90.00000000099999,90,0.1664647028374833
EX_so4_e,90.00000000099999,91,-0.1664647028374833
HIBDm,95.00000000100003,92,-0.1660252910033418
3HBCOAHLm,95.00000000100003,93,-0.1660252910033418
ECOAH12m,95.00000000100003,94,-0.1660252910033418
ACOAD9m,95.00000000100003,95,-0.1660252910033418
MMTSADm,95.00000000100003,96,-0.1660252910033418
OIVD2m,95.00000000100003,97,-0.1660252910033418
MMMm,95.00000000100003,98,-0.1660252910033418
VALt4,99.000000001,99,-0.1635532244099343
2HCO3_NAt,100.00000000100005,100,-0.1539913958265506
DESAT18_8,101.500000001,101,-0.1523997974413669
DESAT18_5,101.500000001,102,-0.1523997974413669
ATPtm,103.000000001,103,-0.1492760807506967
CYSGLYex_copy2,104.50000000099998,104,0.1451322003394796
ALAGLNexR,104.50000000099998,105,0.1451322003394796
UMPK,106.000000001,106,-0.1449320123404517
CATp,107.500000001,107,-0.1432379872629171
O2tp,107.500000001,108,-0.1432379872629171
ALAR,109.00000000100003,109,-0.1430007672923692
PYK,111.00000000100005,110,-0.1425213315340043
PEPCK_re,111.00000000100005,111,-0.1425213315340043
UMPK4,111.00000000100005,112,0.1425213315340043
GTHPm,115.00000000099998,113,-0.1417758765097733
H2O2tm,115.00000000099998,114,-0.1417758765097733
EX_h2o2_e,115.00000000099998,115,0.1417758765097733
H2O2t,115.00000000099998,116,-0.1417758765097733
GTHOm,115.00000000099998,117,-0.1417758765097733
SERGLYexR,118.00000000099999,118,-0.1375555674042828
MTHFD,119.50000000099995,119,0.1265751865604785
MTHFD2i,119.50000000099995,120,-0.1265751865604785
GLUt2m,121.00000000100003,121,0.125783967479531
VALTA,122.50000000100005,122,-0.1240973018434981
3MOBt2im,122.50000000100005,123,-0.1240973018434981
SERt4,124.00000000100005,124,0.1188448760906359
EX_ser__L_e,125.00000000100003,125,0.1187106913136468
ASPGLUm,126.00000000100003,126,-0.1154067651864945
H2O2syn,127.00000000099995,127,-0.1133333333333333
ASNtN1,128.00000000099996,128,0.111625714778827
HIStiDF,129.000000001,129,0.1057704866829998
GALt1r,130.000000001,130,-0.1032925717433208
EX_gln__L_e,131.000000001,131,-0.101129310432132
3MOX4HOXPGALDOX_NADP,150.00000000099996,132,0.1
EX_mthgxl_e,150.00000000099996,133,0.1
AACTtm,150.00000000099996,134,0.1
ORNt4m,150.00000000099996,135,-0.1
ORNt3m,150.00000000099996,136,0.1
ME2m,150.00000000099996,137,-0.1
ALATHRNaEx,150.00000000099996,138,0.1
HISTAtu,150.00000000099996,139,-0.1
CYSALANaEx,150.00000000099996,140,-0.1
NAt,150.00000000099996,141,-0.1
NAHCO3_HCLt,150.00000000099996,142,0.1
AOBUTDsm,150.00000000099996,143,0.1
CLHCOtex,150.00000000099996,144,-0.1
DM_melanin_c,150.00000000099996,145,0.1
HCO3_CLt,150.00000000099996,146,-0.1
BTNt4i,150.00000000099996,147,-0.1
GLNASNNaEx,150.00000000099996,148,0.1
GLNSERNaEx,150.00000000099996,149,0.1
BTNt2i,150.00000000099996,150,0.1
HISDC,150.00000000099996,151,0.1
HCO3_NAt,150.00000000099996,152,-0.1
HDCEAt,150.00000000099996,153,-0.1
CITRtm,150.00000000099996,154,-0.1
G6PDA,150.00000000099996,155,0.1
GF6PTA,150.00000000099996,156,0.1
3MOX4HOXPGALDOX,150.00000000099996,157,-0.1
MTHGXLt,150.00000000099996,158,0.1
DCT,150.00000000099996,159,0.1
DESAT18_7,150.00000000099996,160,0.1
EX_hista_e,150.00000000099996,161,0.1
TYRASE,150.00000000099996,162,0.1
DOPAQNISO1,150.00000000099996,163,0.1
AACTOOR,150.00000000099996,164,0.1
GALt4_2,150.00000000099996,165,0.1
EX_hdcea_e,150.00000000099996,166,0.1
FACOAL161,150.00000000099996,167,-0.1
DESAT18_4,150.00000000099996,168,0.1
CLI2tex,169.000000001,169,0.0996368225164545
EX_his__L_e,170.00000000100005,170,-0.0995140918495701
THRGLNexR,171.00000000100005,171,0.0945158199963336
AKGMALtm,172.00000000099996,172,0.0944604212907644
MDH,173.00000000100005,173,-0.0936426693751997
GLYtm,174.50000000099993,174,-0.0867152781118748
GLYATm,174.50000000099993,175,-0.0867152781118748
H2Otp,176.00000000100005,176,0.0858018150563573
SRTNt6_2_r,177.00000000099993,177,0.082903888051855
NRPPHRtu,178.500000001,178,0.0818671180339893
NRPPHRt4_2_r,178.500000001,179,-0.0818671180339893
O2tm,180.50000000099996,180,-0.078411173045885
CYOOm2,180.50000000099996,181,-0.078411173045885
GLYCLTtp,186.00000000100005,182,-0.0772165986670339
HPYRDC,186.00000000100005,183,-0.0772165986670339
GLYCTO1p,186.00000000100005,184,-0.0772165986670339
SPTix,186.00000000100005,185,-0.0772165986670339
GLYtp,186.00000000100005,186,0.0772165986670339
AGTix,186.00000000100005,187,-0.0772165986670339
HPYRtp,186.00000000100005,188,0.0772165986670339
SERtp,186.00000000100005,189,-0.0772165986670339
GCALDD,186.00000000100005,190,-0.0772165986670339
ACONTm,192.000000001,191,0.0681509747071352
ICDHym,192.000000001,192,0.0681509747071352
CSm,192.000000001,193,0.0681509747071352
ASPTAm,194.0000000009999,194,0.0674837742760954
RTOT2,195.00000000100002,195,0.061833853809511
ABUTt4_2_r,196.00000000100002,196,0.0609372137054907
ALAGLYexR,197.00000000099996,197,0.0583399187405225
ARTFR13,199.50000000099993,198,0.0549634256084546
EX_ttdca_e,199.50000000099993,199,-0.0549634256084546
FACOAL140,199.50000000099993,200,0.0549634256084546
TTDCAtr_copy2,199.50000000099993,201,0.0549634256084546
FACOAL1832,204.0000000009999,202,0.0549634256084542
DESAT18_10,204.0000000009999,203,0.0549634256084542
ARTFR204,204.0000000009999,204,0.0549634256084542
LNLNCAt,204.0000000009999,205,0.0549634256084542
EX_lnlnca_e,204.0000000009999,206,-0.0549634256084542
EX_ala__D_e,207.00000000099993,207,0.0539403943165325
EX_lneldc_e,209.00000000099996,208,-0.0523997974413669
LNELDCt,209.00000000099996,209,0.0523997974413669
FACOAL1822,209.00000000099996,210,0.0523997974413669
DOPACHRMISO,212.000000001,211,0.05
TYRDOPO3,212.000000001,212,0.05
TYRDOPO,212.000000001,213,0.05
ASPTA,214.00000000100007,214,-0.0488786621588046
EX_ocdca_e,216.00000000099996,215,0.0486667995807918
OCDCAt,216.00000000099996,216,-0.0486667995807918
FACOAL180,216.00000000099996,217,-0.0486667995807918
FUMtm,218.00000000100002,218,-0.0483293755272513
RTOT1,219.00000000100002,219,0.0480929974073978
FATP4t,220.00000000099996,220,0.048064862685356
3SPYRSPm,222.00000000100005,221,0.0479229909103991
