cell_type,abundance,abundance_percent
LECs,0.39949172503564123,39.94917250356412
Hepatocytes,0.09387590652699436,9.387590652699435
"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,5.113742019463212
Dendrites,0.045465815409409284,4.546581540940928
Cholangiocytes,0.044969937395400734,4.496993739540073
B cells,0.040476042893448215,4.047604289344822
Timd4+ resKC,0.03898840885142255,3.8988408851422554
qHSCs,0.037903675695778835,3.7903675695778833
T cells,0.03663298828488192,3.663298828488192
Neutrophiles,0.032913903179817766,3.2913903179817767
"Ly6c2+, Ccr2+ Mo",0.03176718527242298,3.1767185272422984
aHSCs,0.02597161098369801,2.597161098369801
"Cd207+, Trem2+ Mo-KC",0.022097563999256182,2.209756399925618
"Cd207-, Trem2+ Mo-KC",0.02026901382259964,2.026901382259964
"Ly6c2-, Spn+ Mo",0.015682142193020516,1.5682142193020516
"Trem2+, Spp1+ MdM",0.014380462406248063,1.4380462406248062
Transitioning Mo,0.011498171449823343,1.1498171449823342
Macrophages,0.010475423045930701,1.04754230459307
Cycling,0.007934048224136863,0.7934048224136863
MCs,0.007221223578999566,0.7221223578999566
DCs,0.0041839707431971735,0.41839707431971734
cAMP qHSCs,0.003967024112068431,0.39670241120684313
Mast cells,0.0026963367011715116,0.26963367011715117
