cell_type,n_bulk_sig,n_cell_sig,n_overlap,n_bulk_only,n_cell_only,overlap_pct,sensitivity,precision,f1_score,cell_abundance
qHSCs,70,337,50,20,287,71.42857142857143,0.7142857142857143,0.14836795252225518,0.24570024570024568,0.037903675695778835
cAMP qHSCs,70,344,50,20,294,71.42857142857143,0.7142857142857143,0.14534883720930233,0.24154589371980678,0.003967024112068431
Mast cells,70,334,47,23,287,67.14285714285714,0.6714285714285714,0.1407185628742515,0.23267326732673269,0.0026963367011715116
aHSCs,70,329,45,25,284,64.28571428571429,0.6428571428571429,0.13677811550151975,0.22556390977443608,0.02597161098369801
Neutrophiles,70,334,45,25,289,64.28571428571429,0.6428571428571429,0.1347305389221557,0.22277227722772278,0.032913903179817766
Cholangiocytes,70,283,43,27,240,61.42857142857143,0.6142857142857143,0.1519434628975265,0.2436260623229462,0.044969937395400734
MCs,70,306,42,28,264,60.0,0.6,0.13725490196078433,0.22340425531914893,0.007221223578999566
Transitioning Mo,70,194,39,31,155,55.714285714285715,0.5571428571428572,0.20103092783505155,0.29545454545454547,0.011498171449823343
"Cd207+, Trem2+ Mo-KC",70,155,37,33,118,52.85714285714286,0.5285714285714286,0.23870967741935484,0.3288888888888889,0.022097563999256182
LECs,70,166,33,37,133,47.14285714285714,0.4714285714285714,0.19879518072289157,0.2796610169491525,0.39949172503564123
"Trem2+, Spp1+ MdM",70,293,32,38,261,45.714285714285715,0.45714285714285713,0.10921501706484642,0.1763085399449036,0.014380462406248063
DCs,70,299,31,39,268,44.285714285714285,0.44285714285714284,0.10367892976588629,0.16802168021680214,0.0041839707431971735
"Ly6c2+, Ccr2+ Mo",70,127,27,43,100,38.57142857142858,0.38571428571428573,0.2125984251968504,0.27411167512690354,0.03176718527242298
Timd4+ resKC,70,131,25,45,106,35.714285714285715,0.35714285714285715,0.19083969465648856,0.24875621890547264,0.03898840885142255
"Cx3cr1+, Ccr2+ MdM",70,121,24,46,97,34.285714285714285,0.34285714285714286,0.19834710743801653,0.25130890052356025,0.05113742019463212
"Cd207-, Trem2+ Mo-KC",70,91,22,48,69,31.428571428571427,0.3142857142857143,0.24175824175824176,0.2732919254658385,0.02026901382259964
Dendrites,70,222,22,48,200,31.428571428571427,0.3142857142857143,0.0990990990990991,0.1506849315068493,0.045465815409409284
"Ly6c2-, Spn+ Mo",70,68,16,54,52,22.857142857142858,0.22857142857142856,0.23529411764705882,0.23188405797101447,0.015682142193020516
Cycling,70,126,15,55,111,21.428571428571427,0.21428571428571427,0.11904761904761904,0.15306122448979592,0.007934048224136863
B cells,70,64,14,56,50,20.0,0.2,0.21875,0.20895522388059704,0.040476042893448215
T cells,70,69,13,57,56,18.571428571428573,0.18571428571428572,0.18840579710144928,0.18705035971223025,0.03663298828488192
Hepatocytes,70,64,11,59,53,15.714285714285714,0.15714285714285714,0.171875,0.16417910447761194,0.09387590652699436
Macrophages,70,71,11,59,60,15.714285714285714,0.15714285714285714,0.15492957746478872,0.15602836879432622,0.010475423045930701
