reaction_id,reaction_name,subsystem,category,n_cell_types,primary_driver,secondary_drivers,all_cell_types
EX_ala__L_e,L-Alanine exchange,Extracellular exchange,MULTI_CELLULAR,13,LECs,qHSCs; Cholangiocytes,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
EX_asp__L_e,L-Aspartate exchange,Extracellular exchange,NON_CELLULAR,0,NONE,,
EX_acac_e,Acetoacetate exchange,Extracellular exchange,MULTI_CELLULAR,14,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
EX_co2_e,CO2 exchange,Extracellular exchange,MULTI_CELLULAR,12,LECs,qHSCs; aHSCs,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,NON_CELLULAR,0,NONE,,
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,Extracellular exchange,COOPERATIVE,2,"Cd207-, Trem2+ Mo-KC",Timd4+ resKC,"Timd4+ resKC; Cd207-, Trem2+ Mo-KC"
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Extracellular exchange,MULTI_CELLULAR,23,LECs,"Cd207-, Trem2+ Mo-KC; Timd4+ resKC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
EX_lnlnca_e,Alpha-Linolenic acid exchange,Extracellular exchange,MULTI_CELLULAR,19,LECs,"Cx3cr1+, Ccr2+ MdM; Cd207-, Trem2+ Mo-KC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; cAMP qHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; T cells; Cycling; B cells; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,Propanoate Metabolism,MULTI_CELLULAR,12,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Transitioning Mo; Mast cells"
ACACT1r_copy2,Acetyl-CoA C-acetyltransferase,Tryptophan metabolism,MULTI_CELLULAR,12,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Transitioning Mo; Mast cells"
ACACt2,Acetoacetate transport via proton symport,"Transport, Extracellular",MULTI_CELLULAR,14,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
EX_nh4_e,Ammonia exchange,Extracellular exchange,MULTI_CELLULAR,4,LECs,Neutrophiles; DCs,"LECs; Ly6c2+, Ccr2+ Mo; Neutrophiles; DCs"
ADK1,Adenylate kinase,Nucleotides,MULTI_CELLULAR,12,LECs,"Ly6c2+, Ccr2+ Mo; aHSCs","LECs; qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; Ly6c2+, Ccr2+ Mo; T cells; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
ARTFR204,R group artificial flux,R Group Synthesis,MULTI_CELLULAR,20,LECs,"Cd207-, Trem2+ Mo-KC; Timd4+ resKC","LECs; Hepatocytes; qHSCs; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Mast cells"
ARTFR44,R group artificial flux,R Group Synthesis,NON_CELLULAR,0,NONE,,
ARGLYSex,Arginine/Lysine exchanger (Arg in),"Transport, Extracellular",NON_CELLULAR,0,NONE,,
ARGt5r,ARGtiDF,"Transport, Extracellular",MULTI_CELLULAR,12,LECs,"Timd4+ resKC; Cx3cr1+, Ccr2+ MdM","LECs; qHSCs; Timd4+ resKC; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; DCs; Mast cells"
ASNSERNaEx,L-serine/L-asparagine Na-dependent exchange (Asn-L in),"Transport, Extracellular",NON_CELLULAR,0,NONE,,
ARTFR13,R group artificial flux,R Group Synthesis,MULTI_CELLULAR,23,LECs,"Cd207-, Trem2+ Mo-KC; Timd4+ resKC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
ATPtm,"ADP/ATP transporter, mitochondrial","Transport, Mitochondrial",MULTI_CELLULAR,9,qHSCs,aHSCs; Neutrophiles,"qHSCs; Cd207+, Trem2+ Mo-KC; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Trem2+, Spp1+ MdM; DCs; Mast cells"
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",MULTI_CELLULAR,11,LECs,qHSCs; Cholangiocytes,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; Mast cells"
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,MULTI_CELLULAR,12,qHSCs,aHSCs; Dendrites,"qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,MULTI_CELLULAR,12,qHSCs,aHSCs; Dendrites,"qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CO2t,CO2 transporter via diffusion,"Transport, Extracellular",MULTI_CELLULAR,12,LECs,qHSCs; aHSCs,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
CO2tm,CO2 transport  diffusion   mitochondrial,"Transport, Mitochondrial",MULTI_CELLULAR,11,LECs,qHSCs; Cholangiocytes,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Transitioning Mo; DCs; Mast cells"
FACOAL140,Fatty acid  CoA ligase  tetradecanoate ,Fatty acid activation,MULTI_CELLULAR,23,LECs,"Cd207-, Trem2+ Mo-KC; Timd4+ resKC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
FACOAL161,Fatty acid  CoA ligase  hexadecenoate ,Fatty acid activation,COOPERATIVE,2,"Cd207-, Trem2+ Mo-KC",Timd4+ resKC,"Timd4+ resKC; Cd207-, Trem2+ Mo-KC"
ASPt6,"L-aspartate transport via Na, H symport and K antiport","Transport, Extracellular",NON_CELLULAR,0,NONE,,
CREATtmdiffir,Creatine transport to/from mitochondria via diffusion,Urea cycle/amino group metabolism,MULTI_CELLULAR,12,qHSCs,aHSCs; Dendrites,"qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CRNCARtp,Carnitine acetylcarnitine carrier  peroxisomal,"Transport, Peroxisomal",MULTI_CELLULAR,14,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CSNATp,Carnitine O acetyltransferase  reverse direction  peroxisomal,Fatty Acid Metabolism,MULTI_CELLULAR,14,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CSNATr_copy2,Carnitine O acetyltransferase,Carnitine shuttle,MULTI_CELLULAR,14,LECs,"qHSCs; Ly6c2+, Ccr2+ Mo","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; Mast cells"
CTPS1,CTP synthase  NH3 ,Nucleotides,MULTI_CELLULAR,9,qHSCs,aHSCs; Neutrophiles,"qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Mast cells"
DESAT18_10,Fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA),Fatty acid elongation,MULTI_CELLULAR,20,LECs,"Cx3cr1+, Ccr2+ MdM; Cd207-, Trem2+ Mo-KC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; cAMP qHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
DHCRD2,Dihydroceramide desaturase,Sphingolipid Metabolism,MULTI_CELLULAR,11,"Cx3cr1+, Ccr2+ MdM",qHSCs; aHSCs,"qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; Dendrites; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
