pathway,n_reactions,primary_driver,primary_driver_pct,secondary_drivers,n_unique,n_cooperative,n_multicellular,n_non_cellular
"Transport, Extracellular",17,LECs,41.17647058823529,"NONE; Cd207-, Trem2+ Mo-KC",1,1,9,6
Extracellular exchange,9,LECs,66.66666666666666,"NONE; Cd207-, Trem2+ Mo-KC",0,1,6,2
Starch and Sucrose Metabolism,6,qHSCs,100.0,,0,0,6,0
R Group Synthesis,5,LECs,40.0,NONE; T cells,0,1,3,1
Urea cycle/amino group metabolism,4,qHSCs,100.0,,0,0,4,0
Glycolysis/Gluconeogenesis,4,LECs,75.0,Hepatocytes,0,0,4,0
"Transport, Mitochondrial",4,LECs,75.0,qHSCs,0,0,4,0
Nucleotides,3,qHSCs,66.66666666666666,LECs,0,0,3,0
Vitamin A Metabolism,3,NONE,66.66666666666666,MCs,0,1,0,2
Fatty acid activation,3,LECs,66.66666666666666,"Cd207-, Trem2+ Mo-KC",0,1,2,0
Folate Metabolism,2,"Cx3cr1+, Ccr2+ MdM",100.0,,0,0,2,0
Propanoate Metabolism,1,LECs,100.0,,0,0,1,0
Tryptophan metabolism,1,LECs,100.0,,0,0,1,0
Fatty acid elongation,1,LECs,100.0,,0,0,1,0
Carnitine shuttle,1,LECs,100.0,,0,0,1,0
Fatty Acid Metabolism,1,LECs,100.0,,0,0,1,0
"Transport, Peroxisomal",1,LECs,100.0,,0,0,1,0
Citric Acid Cycle,1,Dendrites,100.0,,0,0,1,0
Galactose metabolism,1,LECs,100.0,,0,0,1,0
Sphingolipid Metabolism,1,"Cx3cr1+, Ccr2+ MdM",100.0,,0,0,1,0
Glutamate metabolism,1,LECs,100.0,,0,0,1,0
