strain,reaction_id,category,n_cell_types,primary_driver
C57BL6J,RAI2,NON_CELLULAR,0,NONE
C57BL6J,CITtbm,NON_CELLULAR,0,NONE
C57BL6J,RTOT1,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,SERt4,NON_CELLULAR,0,NONE
C57BL6J,AACOAT,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,ARGt5r,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,FACOAL140,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,CRNCARtp,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,GLDBRAN,NON_CELLULAR,0,NONE
C57BL6J,EX_lnlnca_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,HEX1,CELL_TYPE_UNIQUE,1,Hepatocytes
C57BL6J,DESAT18_10,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,EX_ttdca_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,GLGNS1,NON_CELLULAR,0,NONE
C57BL6J,ASPt6,NON_CELLULAR,0,NONE
C57BL6J,MTHFD2i,NON_CELLULAR,0,NONE
C57BL6J,ARTFR204,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,LNLNCAt,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,GALUi,NON_CELLULAR,0,NONE
C57BL6J,PGI,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,RDH2,NON_CELLULAR,0,NONE
C57BL6J,CSNATp,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,FACOAL161,COOPERATIVE,2,Timd4+ resKC
C57BL6J,EX_glc__D_e,NON_CELLULAR,0,NONE
C57BL6J,FACOAL1832,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,GLUt2m,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,EX_co2_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,TMDK1,NON_CELLULAR,0,NONE
C57BL6J,ARGLYSex,NON_CELLULAR,0,NONE
C57BL6J,ACACt2,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,PEPCKm,NON_CELLULAR,0,NONE
C57BL6J,EX_acac_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,THRt4,NON_CELLULAR,0,NONE
C57BL6J,PGMT,NON_CELLULAR,0,NONE
C57BL6J,GLPASE1,NON_CELLULAR,0,NONE
C57BL6J,GGNG,NON_CELLULAR,0,NONE
C57BL6J,ALAt2r,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,PCREATtmdiffir,NON_CELLULAR,0,NONE
C57BL6J,THRGLNexR,CELL_TYPE_UNIQUE,1,Macrophages
C57BL6J,CREATtmdiffir,NON_CELLULAR,0,NONE
C57BL6J,RETI2,NON_CELLULAR,0,NONE
C57BL6J,ACACT1r_copy2,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,DHCRD2,COOPERATIVE,3,"Cx3cr1+, Ccr2+ MdM"
C57BL6J,EX_hdcea_e,COOPERATIVE,2,Timd4+ resKC
C57BL6J,TTDCAtr_copy2,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,EX_nh4_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,ARTFR13,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,HDCEAt,COOPERATIVE,2,Timd4+ resKC
C57BL6J,METtec,COOPERATIVE,3,Dendrites
C57BL6J,CKc,NON_CELLULAR,0,NONE
C57BL6J,EX_asp__L_e,NON_CELLULAR,0,NONE
C57BL6J,ASNSERNaEx,NON_CELLULAR,0,NONE
C57BL6J,ALATA_L,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,CK,NON_CELLULAR,0,NONE
C57BL6J,CO2tm,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,CTPS1,MULTI_CELLULAR,4,Dendrites
C57BL6J,GLBRAN,NON_CELLULAR,0,NONE
C57BL6J,NCCt,NON_CELLULAR,0,NONE
C57BL6J,ATPtm,COOPERATIVE,3,qHSCs
C57BL6J,GLPASE2,NON_CELLULAR,0,NONE
C57BL6J,ADK1,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,ARTFR44,NON_CELLULAR,0,NONE
C57BL6J,CO2t,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,MTHFD,NON_CELLULAR,0,NONE
C57BL6J,FUM,COOPERATIVE,3,"Cx3cr1+, Ccr2+ MdM"
C57BL6J,CSNATr_copy2,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,PIt9,NON_CELLULAR,0,NONE
C57BL6J,EX_ala__L_e,CELL_TYPE_UNIQUE,1,LECs
C57BL6J,RTOT2,COOPERATIVE,2,"Cd207+, Trem2+ Mo-KC"
C57BL6J,GLCt2,NON_CELLULAR,0,NONE
129S1SvImJ,RAI2,NON_CELLULAR,0,NONE
129S1SvImJ,CITtbm,NON_CELLULAR,0,NONE
129S1SvImJ,RTOT1,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,SERt4,NON_CELLULAR,0,NONE
129S1SvImJ,AACOAT,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,ARGt5r,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,FACOAL140,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,CRNCARtp,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,GLDBRAN,NON_CELLULAR,0,NONE
129S1SvImJ,EX_lnlnca_e,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,HEX1,NON_CELLULAR,0,NONE
129S1SvImJ,DESAT18_10,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,EX_ttdca_e,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,GLGNS1,NON_CELLULAR,0,NONE
129S1SvImJ,ASPt6,NON_CELLULAR,0,NONE
129S1SvImJ,MTHFD2i,NON_CELLULAR,0,NONE
129S1SvImJ,ARTFR204,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,LNLNCAt,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,GALUi,NON_CELLULAR,0,NONE
129S1SvImJ,PGI,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,RDH2,NON_CELLULAR,0,NONE
129S1SvImJ,CSNATp,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,FACOAL161,COOPERATIVE,2,Timd4+ resKC
129S1SvImJ,EX_glc__D_e,NON_CELLULAR,0,NONE
129S1SvImJ,FACOAL1832,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,GLUt2m,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,EX_co2_e,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,TMDK1,NON_CELLULAR,0,NONE
129S1SvImJ,ARGLYSex,NON_CELLULAR,0,NONE
129S1SvImJ,ACACt2,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,PEPCKm,NON_CELLULAR,0,NONE
129S1SvImJ,EX_acac_e,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,THRt4,NON_CELLULAR,0,NONE
129S1SvImJ,PGMT,NON_CELLULAR,0,NONE
129S1SvImJ,GLPASE1,NON_CELLULAR,0,NONE
129S1SvImJ,GGNG,NON_CELLULAR,0,NONE
129S1SvImJ,ALAt2r,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,PCREATtmdiffir,NON_CELLULAR,0,NONE
129S1SvImJ,THRGLNexR,CELL_TYPE_UNIQUE,1,Macrophages
129S1SvImJ,CREATtmdiffir,NON_CELLULAR,0,NONE
129S1SvImJ,RETI2,NON_CELLULAR,0,NONE
129S1SvImJ,ACACT1r_copy2,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,DHCRD2,COOPERATIVE,3,"Cx3cr1+, Ccr2+ MdM"
129S1SvImJ,EX_hdcea_e,COOPERATIVE,2,Timd4+ resKC
129S1SvImJ,TTDCAtr_copy2,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,EX_nh4_e,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,ARTFR13,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,HDCEAt,COOPERATIVE,2,Timd4+ resKC
129S1SvImJ,METtec,COOPERATIVE,3,Dendrites
129S1SvImJ,CKc,NON_CELLULAR,0,NONE
129S1SvImJ,EX_asp__L_e,NON_CELLULAR,0,NONE
129S1SvImJ,ASNSERNaEx,NON_CELLULAR,0,NONE
129S1SvImJ,ALATA_L,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,CK,NON_CELLULAR,0,NONE
129S1SvImJ,CO2tm,CELL_TYPE_UNIQUE,1,LECs
129S1SvImJ,CTPS1,MULTI_CELLULAR,4,Dendrites
129S1SvImJ,GLBRAN,NON_CELLULAR,0,NONE
129S1SvImJ,NCCt,NON_CELLULAR,0,NONE
