cell_type,mean_contribution,std_contribution,cv,min_strain,min_value,max_strain,max_value
LECs,54.97683694280956,2.673640278276822,0.04863212267119176,NZOHlLtJ,49.43212497756267,DBA2J,58.06325532254504
Cholangiocytes,6.090055184265478,0.5590039619191733,0.09178963818972272,NZOHlLtJ,5.1123442026149934,PWKPhJ,6.729824456844296
qHSCs,5.890034675094567,0.3356113001022533,0.056979511771187485,NZOHlLtJ,5.197405889299788,NODShiLtJ,6.348813748020998
Neutrophiles,4.49220430009905,0.31897044590327317,0.07100532936497125,NZOHlLtJ,3.9291937599199236,PWKPhJ,4.958010731185448
aHSCs,3.592254551208347,0.32352524345828315,0.09006189256534093,NZOHlLtJ,2.995277546600375,NODShiLtJ,3.9163506172463878
"Cd207+, Trem2+ Mo-KC",3.2034039339397844,0.205303690257111,0.06408922961039548,C57BL6J,2.878038880617033,CASTEiJ,3.4380968655713917
"Cx3cr1+, Ccr2+ MdM",3.0112123371362545,0.698958127570068,0.23211851218529359,PWKPhJ,1.8301548205800748,NZOHlLtJ,4.02507181910691
Dendrites,2.7325971947628958,0.4692622063796082,0.1717275445056312,129S1SvImJ,2.2599524232641723,C57BL6J,3.469155428274652
Timd4+ resKC,2.1019015436834496,0.4852103849570826,0.23084353613765468,PWKPhJ,1.5419041873735735,NZOHlLtJ,3.052039964280677
Hepatocytes,1.903144036040439,1.0823057914903098,0.5686935780972662,NODShiLtJ,0.9400949365166571,NZOHlLtJ,4.720936108710902
"Ly6c2+, Ccr2+ Mo",1.7261305652829657,0.39021177038152505,0.2260615611760269,PWKPhJ,1.123117377487394,NZOHlLtJ,2.543260271329649
Transitioning Mo,1.6529735976234579,0.07902317898055158,0.04780667948608869,C57BL6J,1.4891487808521362,PWKPhJ,1.7484312018061867
"Ly6c2-, Spn+ Mo",1.266444416424413,0.12439151938348897,0.09822106503077879,AJ,1.0939664211045428,129S1SvImJ,1.4957809446841033
"Trem2+, Spp1+ MdM",1.2629094803313314,0.17647353093827992,0.13973569261035326,DBA2J,0.9728517499343445,NZOHlLtJ,1.4438522752963716
B cells,1.180917134616244,0.4575538995035775,0.3874563981597796,PWKPhJ,0.7139343039835252,NZOHlLtJ,2.138056342629512
"Cd207-, Trem2+ Mo-KC",0.9890508110153182,0.28240342563236315,0.2855297447685823,PWKPhJ,0.715812250858502,C57BL6J,1.440547242729624
MCs,0.9205895441004481,0.12186385325937663,0.1323758824335286,NZOHlLtJ,0.6162115199159324,CASTEiJ,1.055226176374539
T cells,0.8400644832735704,0.4353004004382509,0.51817498430831,NODShiLtJ,0.49040744996726465,NZOHlLtJ,1.9445939499616598
DCs,0.6382730938192278,0.05147110594739858,0.08064119644995761,NZOHlLtJ,0.5124694521334296,DBA2J,0.6814315148869803
cAMP qHSCs,0.616454978260102,0.03512530369017862,0.056979511771187506,NZOHlLtJ,0.5439639851433957,NODShiLtJ,0.6644711036358855
Mast cells,0.373895482219349,0.020626903531131162,0.05516756556857837,CASTEiJ,0.3388783815138129,PWKPhJ,0.4078254351276462
Cycling,0.2935585282434922,0.09741287866842893,0.331834606377471,PWKPhJ,0.1511853866383567,NZOHlLtJ,0.4348022247926439
Macrophages,0.24509318575025368,0.12132721359570746,0.4950248340210408,NODShiLtJ,0.11423770091363109,NZOHlLtJ,0.5145373153668523
