cell_type,condition,n_cells,genes_detected,mean_expression,median_expression,max_expression,mean_cv,note
LECs,Chow,6963,14145,1.5874128557217289,1.7674535872060666,3.6816510259528465,1.4059563942175088,Cell-level variance lost in aggregation
LECs,WesternDiet,5927,11623,1.413833554592823,1.5476610874958305,3.4426490814641775,13.169005399101636,Cell-level variance lost in aggregation
Hepatocytes,Chow,1549,14145,1.27220481346057,1.4119684619738342,4.0897822736354685,2.8043800940216386,Cell-level variance lost in aggregation
Hepatocytes,WesternDiet,1480,14145,1.2830936468904812,1.3555680337060423,4.07956354534738,2.8586105744118573,Cell-level variance lost in aggregation
qHSCs,Chow,468,7183,0.8281936334630099,0.0803510173217426,3.9139745620635384,3.6239666672318265,Cell-level variance lost in aggregation
qHSCs,WesternDiet,755,14145,1.210508928591019,1.2214374508338883,4.187460880857158,1.1587499483836559,Cell-level variance lost in aggregation
"Cd207+, Trem2+ Mo-KC",Chow,271,14145,1.2423381882744087,1.3748058855525394,4.0178396308229765,1.8674499997368037,Cell-level variance lost in aggregation
"Cd207+, Trem2+ Mo-KC",WesternDiet,442,12107,1.1225080803365441,1.3366332502536824,3.5368766715039666,30.665243832777982,Cell-level variance lost in aggregation
Timd4+ resKC,Chow,486,14145,1.4215416613785514,1.5731245386104846,4.3324395925401795,1.4101923623483223,Cell-level variance lost in aggregation
Timd4+ resKC,WesternDiet,772,14145,1.2371698528668371,1.2514389955609728,3.9342863665028696,2.9860204272451143,Cell-level variance lost in aggregation
Cholangiocytes,Chow,344,14055,0.8951167323288203,0.5648471958226933,3.707636579673794,17.87904379726803,Cell-level variance lost in aggregation
Cholangiocytes,WesternDiet,1107,14145,0.9697621818779938,0.6908640170698563,3.8079001145341596,2.6632796040013678,Cell-level variance lost in aggregation
cAMP qHSCs,Chow,73,6272,0.7253954005272264,-0.23814064095628085,5.097451884956121,4.413904313998697,Cell-level variance lost in aggregation
cAMP qHSCs,WesternDiet,55,14145,1.283076600597459,1.3485581392192658,4.398617099175957,1.0036118581653468,Cell-level variance lost in aggregation
aHSCs,Chow,159,9532,0.9485664704466086,0.6583245726701945,3.70889819223119,58.29313868012336,Cell-level variance lost in aggregation
