reaction_id,reaction_name,flux_baseline,flux_microbiome,flux_delta,flux_delta_pct,microbiome_attributable
thr_mt,Transport reaction,1.1732013368387832,1.1732013368387832,0.0,0.0,False
EX_5fthf_e,5-Formyltetrahydrofolate exchange,0.0,0.0,0.0,,False
EX_5homeprazole_e,5 hydroxy omeprazole exchange,0.0,0.0,0.0,,False
EX_34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol exchange",0.0,0.0,0.0,,False
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,0.0,0.0,0.0,,False
EX_34dhphe_e,"3,4-Dihydroxy-L-phenylalanine exchange",0.0,0.0,0.0,,False
EX_35cgmp_e,"3',5'-Cyclic GMP exchange",0.0,0.0,0.0,,False
EX_3aib_e,L-3-Amino-isobutanoate exchange,0.0,0.0,0.0,,False
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,0.2,0.2,0.0,0.0,False
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,0.0,0.0,0.0,,False
EX_4abut_e,4-Aminobutanoate exchange,0.0,0.0,0.0,,False
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,0.0,0.0,0.0,,False
EX_acald_e,Acetaldehyde exchange,0.16655816788894287,0.16655816788894287,0.0,0.0,False
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,0.0,0.0,0.0,,False
XOLTRI27tc,27 trihydroxy cholesterol transport,0.0,0.0,0.0,,False
XOLTRI25te,25 trihydroxy cholesterol transport,0.0,0.0,0.0,,False
XOLTRI25tc,25 trihydroxy cholesterol transport,0.0,0.0,0.0,,False
XOLTRI24te,24 trihydroxy cholesterol transport,0.0,0.0,0.0,,False
XOLTRI24tc,24 trihydroxy cholesterol transport,0.0,0.0,0.0,,False
XOLESTte,Cholesterol ester transporter,0.0,0.0,0.0,,False
XOLEST2te,Cholesterol ester transporter,0.0,0.0,0.0,,False
XOLDIOLONEtm,"Lipid, flip-flop intracellular transport",0.0,0.0,0.0,,False
XOLDIOLONEt,"Lipid, flip-flop intracellular transport",0.0,0.0,0.0,,False
XOL7AONEtr,"Lipid, flip-flop intracellular transport",0.0,0.0,0.0,,False
XOL7AH2tr,"Lipid, flip-flop intracellular transport",0.0,0.0,0.0,,False
XOL7AH2tm,"Lipid, flip-flop intracellular transport",0.0,0.0,0.0,,False
XOL27OHtm,27 hydroxy cholesterol transport,0.0,0.0,0.0,,False
XAOx,"Xanthine  oxidase,peroxisomal",0.0,0.0,0.0,,False
XAO2x,Xanthine oxidase,0.0,0.0,0.0,,False
XANtx,Xanthine diffusion in peroxisome,0.0,0.0,0.0,,False
DM_dctp_m,DCTP demand,0.0,0.0,0.0,,False
DM_datp_n,"Demand for dATP, Nuclear",0.0,0.0,0.0,,False
DM_datp_m,DATP demand,0.0,0.0,0.0,,False
DM_core8_g,"Demand for Core8, Golgi Apparatus",0.0,0.0,0.0,,False
DM_core7_g,"Demand for Core7, Golgi Apparatus",0.0,0.0,0.0,,False
EX_ahandrostanglc_e,Etiocholan-3alpha-ol-17-one 3-glucuronide exchange,0.0,0.0,0.0,,False
EX_aflatoxin_e,Aflatoxin B1 exchange,0.0,0.0,0.0,,False
EX_adrnl_e,Adrenaline exchange,0.0,0.0,0.0,,False
EX_adrn_e,Adrenic acid exchange,0.0,0.0,0.0,,False
EX_adprib_e,ADPribose exchange,0.0,0.0,0.0,,False
EX_adprbp_e,ADPribose 2'-phosphate exchange,0.0,0.0,0.0,,False
EX_adp_e,Adp exchange,0.0,0.0,0.0,,False
EX_adn_e,Adenosine exchange,0.0,0.0,0.0,,False
EX_ade_e,Adenine exchange,-0.040468849997680516,-0.040468849997680516,0.0,0.0,False
EX_4nph_e,4-Nitrophenol exchange,0.0,0.0,0.0,,False
EX_acngalacglcgal14acglcgalgluside_hs_e,VI3NeuAc-nLc6Cer exchange,0.0,0.0,0.0,,False
EX_4pyrdx_e,4-Pyridoxate exchange,0.0,0.0,0.0,,False
DM_dgpi_prot_hs_r,"Demand for  Deacylated-Glycophosphatidylinositol (Gpi)-Anchored Protein,  Endoplasmatic Reticulum",0.0,0.0,0.0,,False
EX_amp_e,AMP exchange,0.0,0.0,0.0,,False
EX_aldstrn_e,Aldosterone exchange,0.0,0.0,0.0,,False
EX_ala__L_e,L-Alanine exchange,4.963140558710741,4.963140558710741,0.0,0.0,False
EX_ala__D_e,D-Alanine exchange,0.0,0.0,0.0,,False
DM_dem2emgacpail_prot_hs_r,"Demand for  Deacylated-(Phosphoethanolaminyl-Dimannosyl),(Phosphoethanolaminyl)-Mannosyl-Glucosaminyl-Acylphosphatidylinositol,  Endoplasmatic Reticulum",0.0,0.0,0.0,,False
DM_dctp_n,"Demand for dCTP, Nuclear",0.0,0.0,0.0,,False
DM_Ser_Gly_Ala_X_Gly_l,DM Ser  Gly FSLASH Ala  X  Gly LPAREN ly RPAREN ,0.0,0.0,0.0,,False
EX_4nphsf_e,4-Nitrophenyl sulfate exchange,0.0,0.0,0.0,,False
DM_Asn_X_Ser_Thr_l,DM Asn  X  Ser FSLASH Thr LPAREN ly RPAREN ,0.0,0.0,0.0,,False
EX_ala_B_e,Beta-Alanine exchange,0.0,0.0,0.0,,False
EX_akg_e,2-Oxoglutarate exchange,0.0,0.0,0.0,,False
EX_ak2lgchol_hs_e,1-alkyl 2-lysoglycerol 3-phosphocholine exchange,0.0,0.0,0.0,,False
DM_13_cis_retn_n,13-cis-retinoate demand,0.0,0.0,0.0,,False
DM_13_cis_oretn_n,13-cis-oxo-retinoic acid demand,0.0,0.0,0.0,,False
DM_kdn_c,"Demand for  2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid,  Cytosolic",0.0,0.0,0.0,,False
DM_hretn_n,4 hydroxy retinoic acid demand,0.0,0.0,0.0,,False
EX_5adtststerones_e,5alpha-Dihydrotestosterone sulfate exchange,0.0,0.0,0.0,,False
DM_gpi_sig_r,DM gpi sig LPAREN er RPAREN ,0.0,0.0,0.0,,False
DM_gncore2_g,"Demand for gncore  2, Golgi Apparatus",0.0,0.0,0.0,,False
DM_ethamp_r,Ethanolamine phosphate demand,0.0,0.0,0.0,,False
DM_dttp_n,"Demand for dTTP, Nuclear",0.0,0.0,0.0,,False
DM_dttp_m,DTTP demand,0.0,0.0,0.0,,False
EX_5adtststeroneglc_e,5alpha-Dihydrotestosterone glucuronide exchange,0.0,0.0,0.0,,False
DM_dsT_antigen_g,"Demand for  Disialyl-T Antigen,  Golgi Apparatus",0.0,0.0,0.0,,False
DM_dgtp_n,"Demand for dGTP, Nuclear",0.0,0.0,0.0,,False
EX_antipyrene_e,Antipyrene exchange,0.0,0.0,0.0,,False
EX_5adtststerone_e,5alpha-Dihydrotestosterone exchange,0.0,0.0,0.0,,False
EX_andrstrnglc_e,Androsterone glucuronide exchange,0.0,0.0,0.0,,False
EX_andrstrn_e,Androsterone exchange,0.0,0.0,0.0,,False
DM_dgtp_m,"Demand for dGTP, Mitochondrial",0.0,0.0,0.0,,False
EX_5thf_e,Pentaglutamyl folate (THF) exchange,0.0,0.0,0.0,,False
DM_sTn_antigen_g,"Demand for  Sialyl-Tn Antigen,  Golgi Apparatus",0.0,0.0,0.0,,False
EX_arachd_e,NC20:4 exchange,0.0,0.0,0.0,,False
DM_oretn_n,4-oxo-retonoic acid demand,0.0,0.0,0.0,,False
DM_n5m2masn_g,"Demand for  ((N-Acetyl-D-Glucosaminyl)5-(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyl)-L-Asparagine (Protein),  Golgi Apparatus",0.0,0.0,0.0,,False
DM_mem2emgacpail_prot_hs_r,"Demand for  ({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol-Protein (M4B),  Endoplasmatic Reticulum",0.0,0.0,0.0,,False
EX_arach_e,Arachidic acid exchange,-0.025,-0.025,0.0,0.0,False
EX_arab__L_e,L-Arabinose exchange,0.0,0.0,0.0,,False
EX_5mthf_e,5-Methyltetrahydrofolate exchange,0.05000000000000001,0.05000000000000001,0.0,0.0,False
EX_aqcobal_e,Aquacob(III)alamin exchange,0.0,0.0,0.0,,False
EX_aprgstrn_e,20alpha-Hydroxyprogesterone exchange,0.0,0.0,0.0,,False
DM_melanin_c,"Demand for Melanin, Cytosolic",0.0,0.0,0.0,,False
EX_5dhf_e,Pentaglutamyl folate (DHF) exchange,0.0,0.0,0.0,,False
DM_m_em_3gacpail_prot_hs_r,DM m LPAREN em RPAREN 3gacpail prot hs r,0.0,0.0,0.0,,False
EX_appnn_e,(+)-alpha-Pinene exchange,0.0,0.0,0.0,,False
EX_apnnox_e,Alpha-Pinene-oxide exchange,0.0,0.0,0.0,,False
EX_10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6) exchange,0.0,0.0,0.0,,False
EX_avite2_e,Alpha-Tocotrienol exchange,0.0,0.0,0.0,,False
EX_avite1_e,Alpha-Tocopherol exchange,0.0,0.0,0.0,,False
EX_atp_e,EX atp LPAREN e RPAREN ,0.0,0.0,0.0,,False
EX_6htststerone_e,6 beta hydroxy testosterone exchange,0.0,0.0,0.0,,False
EX_10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5) exchange,0.0,0.0,0.0,,False
EX_10fthf_e,10-Formyltetrahydrofolate exchange,0.0,0.0,0.0,,False
EX_asp__L_e,L-Aspartate exchange,-1.445538435192093,-1.445538435192093,0.0,0.0,False
EX_6dhf_e,Haxglutamyl folate (DHF) exchange,0.0,0.0,0.0,,False
EX_asp__D_e,D-Aspartate exchange,0.0,0.0,0.0,,False
EX_asn__L_e,L-Asparagine exchange,-0.24391371724545738,-0.24391371724545738,0.0,0.0,False
EX_ascb__L_e,L-Ascorbate exchange,-0.2,-0.2,0.0,0.0,False
EX_arg__L_e,L-Arginine exchange,-0.31917900521186193,-0.31917900521186193,0.0,0.0,False
SK_T_antigen_g,DM T antigen[g],0.0,0.0,0.0,,False
DM_yvite_c,Gamma-Tocopherol demand,0.0,0.0,0.0,,False
DM_sprm_c,"Demand for  Spermine,  Cytosolic",0.0,0.0,0.0,,False
EX_bildglcur_e,Bilirubin beta-diglucuronide exchange,0.0,0.0,0.0,,False
EX_25hvitd3_e,25-Hydroxyvitamin D3 exchange,0.0,0.0,0.0,,False
EX_25hvitd2_e,25-Hydroxyvitamin D2 exchange,0.0,0.0,0.0,,False
EX_9_cis_retfa_e,Fatty acid 9-cis-retinol exchange,0.0,0.0,0.0,,False
EX_24nph_e,"2,4 dihydroxy nitrophenol exchange",0.0,0.0,0.0,,False
EX_7thf_e,Heptaglutamyl folate (THF) exchange,0.0,0.0,0.0,,False
EX_2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3 exchange",0.0,0.0,0.0,,False
EX_2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2 exchange",0.0,0.0,0.0,,False
EX_7dhf_e,Heptaglutamyl folate (DHF) exchange,0.0,0.0,0.0,,False
EX_1mncam_e,1-Methylnicotinamide exchange,0.0,0.0,0.0,,False
EX_1glyc_hs_e,1 acyl phosphoglycerol exchange,0.0,0.0,0.0,,False
EX_13_cis_retnglc_e,13-cis-retinoyl glucuronide exchange,0.0,0.0,0.0,,False
EX_6thf_e,Hexaglutamyl folate  (THF) exchange,0.0,0.0,0.0,,False
EX_bhb_e,(R)-3-Hydroxybutanoate transport via H+ symport,8.804199277871547,8.804199277871547,0.0,0.0,False
EX_11_cis_retfa_e,Fatty acid 11-cis-retinol exchange,0.0,0.0,0.0,,False
EX_10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7) exchange,0.0,0.0,0.0,,False
EX_bvite_e,Beta-tocopherol exchange,0.0,0.0,0.0,,False
EX_but_e,Butyrate (n-C4:0) exchange,0.0,0.0,0.0,,False
EX_abt_e,L Arabinitol exchange,0.0,0.0,0.0,,False
EX_btn_e,Biotin exchange,0.0,0.0,0.0,,False
EX_Tyr_ggn_e,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) exchange,0.0,0.0,0.0,,False
EX_cspg_e_e,"Chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan exchange",0.0,0.0,0.0,,False
EX_Rtotal3_e,R total 3 position exchange,0.0,0.0,0.0,,False
EX_Rtotal2_e,R total 2 position exchange,0.0,0.0,0.0,,False
EX_Rtotal_e,R total exchange,0.0,0.0,0.0,,False
EX_2mcit_e,2-Methylcitrate exchange,0.0,0.0,0.0,,False
EX_2hb_e,2 Hydroxybutyrate exchange,0.0,0.0,0.0,,False
EX_cysi__L_e,L Cystine exchange,0.0,0.0,0.0,,False
EX_biocyt_e,Biocytin exchange,0.0,0.0,0.0,,False
EX_clpnd_e,Clupanodonic acid (docosapentaenoic (n-3)) exchange,0.0,0.0,0.0,,False
EX_bilirub_e,Bilirubin exchange,0.0,0.0,0.0,,False
EX_bilglcur_e,Bilirubin monoglucuronide exchange,0.0,0.0,0.0,,False
EX_gq1b_hs_e,GQ1b (homo sapiens) exchange,0.0,0.0,0.0,,False
EX_dcsptn1_e,"Docosa-4,7,10,13,16-pentaenoic acid (n-6) exchange",0.0,0.0,0.0,,False
EX_cca_d3_e,Calcitroic acid (D3) exchange,0.0,0.0,0.0,,False
EX_carveol_e,(E)-carveol exchange,0.0,0.0,0.0,,False
EX_acac_e,Acetoacetate exchange,0.0,0.0,0.0,,False
EX_caro_e,Beta-Carotene exchange,0.0,0.0,0.0,,False
EX_camp_e,CAMP exchange,0.0,0.0,0.0,,False
EX_ca2_e,Calcium exchange,0.0,0.0,0.0,,False
EX_bz_e,Benzoate exchange,0.0,0.0,0.0,,False
EX_dag_hs_e,Diacylglycerol (homo sapiens) exchange,0.0,0.0,0.0,,False
EX_dad_5_e,5'-Deoxyadenosine exchange,0.0,0.0,0.0,,False
EX_dad_2_e,Deoxyadenosine exchange,0.0,0.0,0.0,,False
EX_cytd_e,Cytidine exchange,0.0,0.0,0.0,,False
EX_ac_e,Acetate exchange,0.0,0.0,0.0,,False
