reaction_id,flux_scd_baseline,flux_hfd_no_microbiome,flux_hfd_with_microbiome,delta_diet,delta_microbiome,delta_total,abs_diet_contribution,abs_microbiome_contribution,variance_explained_diet,variance_explained_microbiome,effect_type,interaction,opposing_effects,cohens_d_diet,cohens_d_microbiome,diet_effect_size,microbiome_effect_size,dominant_driver,pct_diet_contribution_legacy,pct_microbiome_contribution_legacy
thr_mt,1.1732013368387832,0.9818162218402676,0.9818162218402676,-0.19138511499851563,0.0,-0.19138511499851563,0.19138511499851563,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.16313066563170395,0.0,Small,Small,Diet,100.0,0.0
EX_5fthf_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_5homeprazole_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_34dhoxpeg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_5htrp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_34dhphe_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_35cgmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_3aib_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_3aib__D_e,0.2,0.15,0.15,-0.05000000000000002,0.0,-0.05000000000000002,0.05000000000000002,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.25000000000000006,0.0,Medium,Small,Diet,100.0,0.0
EX_3mlda_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_4hdebrisoquine_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
EX_acald_e,0.1665581678889428,0.1276729035302864,0.1276729035302864,-0.038885264358656385,0.0,-0.038885264358656385,0.038885264358656385,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.23346356922336103,0.0,Medium,Small,Diet,100.0,0.0
DM_Ser_Thr_l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
XOLTRI27tc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
XOLTRI25te,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
