subsystem,n_reactions,n_significant,expected,enrichment_ratio,p_value,diet_dominated_pct,microbiome_dominated_pct,synergistic_pct,mean_diet_variance,mean_microbiome_variance,p_adjusted,significant
Pentose Phosphate Pathway,18,12,1.8985507246376812,6.320610687022901,1.665514384122541e-08,100.0,0.0,100.0,100.0,0.0,4.413613117924734e-07,True
Pyrimidine Catabolism,18,11,1.8985507246376812,5.793893129770993,2.52346785633483e-07,100.0,0.0,100.0,100.0,0.0,4.458126546191533e-06,True
Citric Acid Cycle,17,9,1.7930756843800322,5.01930848675348,1.6604763770659547e-05,100.0,0.0,100.0,100.0,0.0,0.00017601049596899118,True
Cholesterol Metabolism,43,22,4.535426731078905,4.850701224924552,2.394955651923572e-11,100.0,0.0,100.0,100.0,0.0,1.2693264955194932e-09,True
Biomass and maintenance functions,2,1,0.2109500805152979,4.740458015267175,0.1998504252720769,100.0,0.0,100.0,100.0,0.0,0.5998019836857781,False
Glycolysis/Gluconeogenesis,29,13,3.0587761674718195,4.250065806791261,2.3038893634272436e-06,100.0,0.0,100.0,100.0,0.0,3.052653406541098e-05,True
Pentose and Glucuronate Interconversions,12,5,1.2657004830917875,3.950381679389313,0.005375706318140369,100.0,0.0,100.0,100.0,0.0,0.03165693720682662,True
Lysine Metabolism,22,8,2.320450885668277,3.4476058292852185,0.0012010101347030774,100.0,0.0,100.0,100.0,0.0,0.007956692142407889,True
Histidine Metabolism,11,4,1.1602254428341385,3.4476058292852185,0.02201947953670837,100.0,0.0,100.0,100.0,0.0,0.11623606938990295,False
Salvage Pathway,3,1,0.3164251207729469,3.16030534351145,0.28429155923235444,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
Galactose metabolism,12,4,1.2657004830917875,3.16030534351145,0.030341366145992366,100.0,0.0,100.0,100.0,0.0,0.13400770047813296,False
Butanoate Metabolism,3,1,0.3164251207729469,3.16030534351145,0.28429155923235444,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
Glycerophospholipid Metabolism,47,13,4.957326892109501,2.622381029722267,0.0008058975344258668,100.0,0.0,100.0,100.0,0.0,0.0061017956177958485,True
Pyrimidine Biosynthesis,8,2,0.8438003220611916,2.3702290076335877,0.20322376219934088,100.0,0.0,100.0,100.0,0.0,0.5998019836857781,False
