Gene_Symbol,Entrez,HFD_129S1SvImJ_GSM5534372_m_bxd_009936,HFD_129S1SvImJ_GSM5534373_m_bxd_009938,HFD_129S1SvImJ_GSM5534374_m_bxd_009943,SCD_129S1SvImJ_GSM5534375_m_bxd_010569,SCD_129S1SvImJ_GSM5534376_m_bxd_010571,SCD_129S1SvImJ_GSM5534377_m_bxd_010573
Tbc1d30,74694,336,191,314,522,322,623
Hbb-bs,100503605,1794,1898,910,639,625,1378
Klhl18,270201,440,454,531,583,616,560
Cadm4,260299,712,497,454,794,972,847
Zbtb33,56805,560,549,548,542,519,513
Gzmb,14939,10,5,9,11,8,16
Zfp677,210503,4,12,12,6,9,15
Ints6,18130,863,683,654,870,722,773
Zc3h12c,244871,176,172,210,175,179,171
Tanc1,66860,577,571,550,698,630,502
Arl10,56795,166,171,181,256,215,146
4833439L19Rik,97820,2232,2271,3277,2537,2578,2519
Lrrn4,320974,24,10,5,19,5,8
Thoc3,73666,1092,1174,1161,1597,1491,1323
Faf2,76577,2483,2373,2444,2967,3351,2782
Tspan17,74257,60,64,81,69,80,70
Unc5a,107448,40,32,45,49,46,52
Hk3,212032,137,168,250,236,105,155
Uimc1,20184,881,797,1010,1051,882,1051
Klkb1,16621,6416,6300,6856,6896,7895,7751
Gm15690,,65,129,79,606,192,314
Ccdc159,67119,158,170,222,216,231,218
Dnah8,13417,249,149,135,119,109,80
Col13a1,12817,399,359,435,442,468,478
Chlsn,73212,151,85,161,137,147,123
Hspd1-ps3,,83,102,97,85,96,94
Igkv3-12,667914,5,1,3,4,5,3
Smagp,207818,1554,1494,1166,1803,1804,1408
Gnaq,14682,976,1064,938,1256,1104,973
BC024139,271278,480,513,840,369,450,406
Slc16a13,69309,95,99,98,120,102,104
Slc39a1,30791,3946,3868,4059,4459,5386,3751
Lrrc15,74488,90,138,100,382,373,229
Gm14325,329575,140,149,210,135,157,166
Ldlrad3,241576,563,558,560,547,431,351
Gm28438,,677,637,868,831,709,574
Smim29,106672,79,64,128,71,73,63
1110059E24Rik,66206,771,616,892,836,688,861
Plekhh3,217198,609,423,720,563,886,593
Ccdc186,213993,443,488,482,526,446,526
Gm16477,677073,11,14,11,9,12,3
Saxo4,67752,21,17,17,21,9,17
Smad7,17131,771,658,786,505,852,763
Ugt2b36,231396,31484,33759,34725,33500,39432,35551
Eid2b,434156,122,146,212,215,134,204
A530016L24Rik,319942,12,7,9,28,10,14
Myo5b,17919,1380,1460,1525,1882,1927,1548
Gm35315,102638847,51,49,109,34,40,48
Casp12,12364,55,57,56,59,36,36
Zfp974,73430,84,74,115,75,75,64
Casp1,12362,85,79,77,89,77,95
Fgb,110135,157414,149473,149563,165619,197903,171043
Ier2,15936,1345,1132,2416,1657,3721,1340
Pirb,18733,132,173,194,145,148,213
Eif3k,73830,1923,2215,2268,3720,3876,3054
ENSMUSG00000116164,,52,51,41,41,44,49
Cox5b,12859,6969,7141,8314,10779,11238,11026
Psat1,107272,94,100,76,25,34,27
Tle4,21888,432,527,367,529,430,430
Cndp2,66054,1775,1783,2172,1853,2290,1716
Timm21,67105,921,900,1157,1092,957,942
Cyb5a,109672,61786,73539,88781,70714,72036,62955
Slc17a5,235504,1899,1961,2093,2275,2419,2270
Tifab,212937,169,152,205,126,123,114
Gm37273,,0,0,0,0,0,0
Slc15a5,277898,48,41,34,46,39,51
C4a,625018,1696,1213,3836,1154,1228,2345
Ager,11596,49,23,52,45,27,17
A430033K04Rik,243308,149,160,216,194,259,210
Zfp512,269639,504,487,658,647,618,598
Ei24,13663,9214,9564,9033,14168,13403,10264
Zfp709,236193,122,117,160,145,133,141
Heatr5a,320487,501,595,605,560,567,509
Fam124a,629059,309,324,377,370,369,360
Ubd,24108,26,20,20,13,7,19
Hmgn2-ps,100042405,57,21,37,46,36,47
Mob1a,232157,1805,1790,1886,1907,1898,1712
Kbtbd3,69149,94,68,95,94,82,95
Aasdhppt,67618,1027,1061,1092,1183,1096,1201
Gm45338,,196,131,177,113,120,139
Cwf19l2,244672,649,687,718,801,466,710
Alkbh8,67667,320,331,398,343,331,345
Mrpl15,27395,2162,2092,2401,3598,3342,3080
Zfp865,319748,591,549,730,718,718,586
Mob1b,68473,1341,1183,1276,1286,1071,1238
Zfp628,232816,378,328,455,535,514,403
Rpl15-ps6,,308,372,433,497,513,487
Asrgl1,66514,746,709,890,843,812,778
Anxa1,16952,160,135,141,161,117,107
Prkar2a,19087,3834,4293,4020,5094,5014,4556
Slc25a20,57279,11011,11006,11424,15787,16306,13296
Qars1,97541,2233,2384,2838,3272,3732,3355
Nicn1,66257,739,793,857,912,1147,839
Amt,434437,3102,2449,2579,3637,3427,3121
Klhdc8b,78267,403,343,481,452,439,450
Ankrd44,329154,283,282,303,329,253,265
Cx3cr1,13051,35,21,9,11,8,16
Immt,76614,5238,5802,6314,6609,7075,6904
Arf1,11840,9800,11037,12131,14853,15403,14410
Tenm4,23966,95,62,43,37,34,30
D630033O11Rik,,223,163,164,240,210,172
Atf6b,12915,1085,1134,1470,1441,1546,1405
Clca3a1,12722,245,315,389,342,283,363
Egfl8,81701,17,24,28,37,38,16
Notch4,18132,177,244,478,236,369,353
Tubg1,103733,1474,1606,1792,1874,2197,1851
Tmem200b,623230,73,64,99,100,82,80
Arl6ip5,65106,1372,1406,1600,1640,1690,1495
Tmem186,66690,632,632,821,699,788,724
Gm12966,,12,21,34,32,11,35
Kcnk10,72258,40,25,23,24,7,23
Ston1,77057,271,382,327,408,469,379
Mir100hg,73144,89,67,65,64,44,61
Engase,217364,299,285,425,374,412,480
Rex1bd,66462,1868,2034,2510,2547,2857,2346
Atp6v1b2,11966,1860,1926,2159,2388,2431,2192
Pira12,100038909,34,53,45,23,38,31
Tanc2,77097,246,282,253,319,316,233
Abi1,11308,1801,1895,2065,2191,1998,2236
Zfand2a,100494,578,659,742,742,833,764
Eps15l1,13859,730,747,901,971,1078,1002
Phlda3,27280,34,28,53,44,36,35
Vmn2r20,667180,69,49,74,26,66,56
Cacybp,12301,1136,1543,1700,1308,1771,1682
Gm49492,,50,50,52,60,49,43
Cep128,75216,51,60,60,53,77,45
Sec22c,215474,739,607,864,1239,934,914
Mad2l1,56150,135,136,164,140,129,164
Ssbp1,381760,908,860,1022,1069,940,1006
Snrpg,68011,545,549,660,821,741,616
Incenp,16319,97,73,71,72,58,74
Fth1,14319,58900,62407,75638,95611,95642,83344
Agk,69923,331,283,372,366,321,313
Rab3il1,74760,254,153,174,203,187,182
Mrps33,14548,388,361,416,522,485,464
Fads3,60527,672,315,344,1364,551,569
Hpgds,54486,58,47,41,34,24,25
