Gene_Symbol,Entrez,SCD_AJ_GSM5534384_m_bxd_009771,SCD_AJ_GSM5534385_m_bxd_009773,SCD_AJ_GSM5534386_m_bxd_009775,HFD_AJ_GSM5534390_m_bxd_010579,HFD_AJ_GSM5534391_m_bxd_010585,HFD_AJ_GSM5534392_m_bxd_010586
Tbc1d30,74694,668,211,335,249,295,381
Hbb-bs,100503605,2511,1133,264,768,2209,1139
Klhl18,270201,427,629,567,571,500,638
Cadm4,260299,412,450,448,279,347,357
Zbtb33,56805,558,563,531,676,511,798
Gzmb,14939,38,11,3,13,14,19
Zfp677,210503,7,13,8,10,10,6
Ints6,18130,484,1060,642,845,666,1028
Zc3h12c,244871,179,166,177,260,197,255
Tanc1,66860,426,571,489,535,460,622
Arl10,56795,199,196,162,127,150,189
4833439L19Rik,97820,1789,2693,2353,2398,2278,2705
Lrrn4,320974,11,26,9,11,6,9
Thoc3,73666,1233,1477,1417,1190,1333,1487
Faf2,76577,2680,3402,3122,3025,2854,3169
Tspan17,74257,130,104,126,86,113,125
Unc5a,107448,49,71,93,59,84,79
Hk3,212032,76,102,58,108,182,140
Uimc1,20184,698,906,765,825,933,936
Klkb1,16621,6854,7199,7980,6625,8557,9044
Gm15690,,107,309,151,70,66,113
Ccdc159,67119,162,225,203,170,186,185
Dnah8,13417,175,135,171,250,189,165
Col13a1,12817,333,474,341,425,349,407
Chlsn,73212,164,94,197,123,168,424
Hspd1-ps3,,109,112,89,87,68,121
Igkv3-12,667914,7,13,7,9,15,12
Smagp,207818,2003,2180,2032,1848,2382,1769
Gnaq,14682,970,1326,1061,1232,960,1150
BC024139,271278,337,432,497,322,376,320
Slc16a13,69309,204,321,203,325,285,264
Slc39a1,30791,5417,5534,5269,4670,5613,5060
Lrrc15,74488,227,328,290,331,248,358
Gm14325,329575,152,115,89,120,96,131
Ldlrad3,241576,81,104,65,80,71,77
Gm28438,,669,442,440,461,640,518
Smim29,106672,173,146,135,123,228,195
1110059E24Rik,66206,783,699,702,632,731,1143
Plekhh3,217198,542,679,717,667,650,696
Ccdc186,213993,404,505,437,497,387,481
Gm16477,677073,7,1,2,15,5,9
Saxo4,67752,18,26,13,21,22,23
Smad7,17131,432,567,670,727,657,972
Ugt2b36,231396,21296,21636,19126,20881,23253,27472
Eid2b,434156,242,207,264,186,216,229
A530016L24Rik,319942,101,133,151,118,113,153
Myo5b,17919,1505,1662,1683,1345,1161,1471
Gm35315,102638847,43,31,61,52,63,73
Casp12,12364,53,54,40,86,72,79
Zfp974,73430,100,74,91,60,66,71
Casp1,12362,139,107,96,166,205,213
Fgb,110135,201379,182245,183040,180396,192206,198522
Ier2,15936,1384,1389,1421,1417,1412,1373
Pirb,18733,258,359,254,325,410,415
Eif3k,73830,2423,2602,2584,2217,2817,2948
ENSMUSG00000116164,,45,55,54,24,42,26
Cox5b,12859,5544,5976,5638,5346,6627,6503
Psat1,107272,31,24,39,62,53,47
Tle4,21888,308,545,348,558,380,535
Cndp2,66054,2069,2199,2136,1824,2480,2564
Timm21,67105,735,761,747,780,779,968
Cyb5a,109672,38356,37634,37250,40667,48731,52074
Slc17a5,235504,1698,1715,1657,1379,1484,1684
