Gene_Symbol,Entrez,SCD_C57BL6J_GSM5534348_m_lim_j16800,SCD_C57BL6J_GSM5534349_m_lim_j16801,SCD_C57BL6J_GSM5534350_m_lim_j16802,HFD_C57BL6J_GSM5534354_m_lim_j17543,HFD_C57BL6J_GSM5534355_m_lim_j17544,HFD_C57BL6J_GSM5534356_m_lim_j17556
Tbc1d30,74694,1038,1837,623,731,441,374
Hbb-bs,100503605,568,507,656,981,800,957
Klhl18,270201,444,493,322,574,465,512
Cadm4,260299,897,914,405,268,565,398
Zbtb33,56805,780,802,439,710,818,850
Gzmb,14939,12,15,13,11,20,8
Zfp677,210503,27,31,18,38,19,24
Ints6,18130,1058,1077,697,729,1354,914
Zc3h12c,244871,232,194,128,258,231,265
Tanc1,66860,733,589,347,579,611,608
Arl10,56795,235,202,73,170,160,156
4833439L19Rik,97820,2846,2373,1876,3863,3235,3606
Lrrn4,320974,9,11,8,29,9,12
Thoc3,73666,1386,1500,1345,1521,1176,1342
Faf2,76577,2853,2833,2387,2996,3037,3383
Tspan17,74257,151,152,192,170,118,107
Unc5a,107448,119,142,72,143,126,156
Hk3,212032,213,324,184,319,418,275
Uimc1,20184,962,1083,954,1082,1002,1014
Klkb1,16621,6771,6618,11226,8790,9091,8826
Gm15690,,177,320,58,176,95,120
Ccdc159,67119,249,231,172,371,274,268
Dnah8,13417,44,32,68,45,49,43
Col13a1,12817,451,368,254,301,382,422
Chlsn,73212,159,151,122,146,108,128
Hspd1-ps3,,108,111,102,91,99,138
Igkv3-12,667914,0,1,4,1,3,2
Smagp,207818,1805,1669,2496,1667,1539,1445
Gnaq,14682,1102,1187,1115,1215,1212,1253
BC024139,271278,279,219,186,485,462,520
Slc16a13,69309,286,288,251,355,416,367
Slc39a1,30791,4523,4525,3271,4944,4891,4777
Lrrc15,74488,101,76,50,135,84,83
Gm14325,329575,185,197,147,237,221,245
Ldlrad3,241576,270,262,254,534,459,438
Gm28438,,12,18,17,28,18,20
Smim29,106672,182,182,158,218,133,161
1110059E24Rik,66206,808,746,782,834,829,896
Plekhh3,217198,804,525,412,876,765,868
Ccdc186,213993,556,528,425,532,491,540
Gm16477,677073,7,6,13,7,4,6
Saxo4,67752,9,6,6,6,2,8
