Gene_Symbol,Entrez,SCD_CASTEiJ_GSM5534402_m_bxd_011923,SCD_CASTEiJ_GSM5534403_m_bxd_011924,SCD_CASTEiJ_GSM5534404_m_bxd_011960,HFD_CASTEiJ_GSM5534405_m_bxd_012044,HFD_CASTEiJ_GSM5534406_m_bxd_012090,HFD_CASTEiJ_GSM5534407_m_bxd_012091
Tbc1d30,74694,426,350,317,506,296,313
Hbb-bs,100503605,172,167,148,213,293,294
Klhl18,270201,703,859,686,757,696,640
Cadm4,260299,37,26,52,32,27,15
Zbtb33,56805,754,839,526,1045,649,859
Gzmb,14939,2,3,3,6,4,4
Zfp677,210503,5,2,3,0,3,5
Ints6,18130,1337,1238,928,1183,857,1051
Zc3h12c,244871,230,222,227,251,166,223
Tanc1,66860,826,740,650,700,555,591
Arl10,56795,148,178,132,169,159,111
4833439L19Rik,97820,1747,2147,1856,2409,2376,2368
Lrrn4,320974,12,19,54,11,15,6
Thoc3,73666,1546,1760,1929,1656,1430,1321
Faf2,76577,2787,3500,3054,3319,2748,2921
Tspan17,74257,109,147,239,163,147,141
Unc5a,107448,23,22,15,19,22,20
Hk3,212032,43,70,42,90,57,79
Uimc1,20184,811,739,920,904,731,744
Klkb1,16621,1741,2275,1579,4378,2738,3805
Gm15690,,70,140,241,188,161,149
Ccdc159,67119,159,125,179,211,134,164
Dnah8,13417,115,34,59,65,68,50
Col13a1,12817,477,370,452,401,490,356
Chlsn,73212,276,185,400,411,392,371
Hspd1-ps3,,149,146,116,135,97,112
Igkv3-12,667914,0,2,7,1,3,0
Smagp,207818,840,1017,878,1064,1107,994
Gnaq,14682,1271,1745,1234,1785,1304,1262
BC024139,271278,335,293,343,478,520,376
Slc16a13,69309,206,230,255,96,102,109
Slc39a1,30791,5311,6445,5520,4834,4938,4455
Lrrc15,74488,8,8,7,13,9,8
Gm14325,329575,245,208,242,337,218,327
Ldlrad3,241576,96,80,54,52,66,57
Gm28438,,368,383,448,553,535,383
Smim29,106672,71,63,73,83,106,65
1110059E24Rik,66206,917,647,879,814,717,748
Plekhh3,217198,696,548,478,745,618,512
Ccdc186,213993,654,625,668,812,519,569
Gm16477,677073,481,406,534,388,456,358
Saxo4,67752,98,51,72,67,65,42
Smad7,17131,532,377,416,811,393,711
Ugt2b36,231396,19659,25839,24273,35358,26541,30338
Eid2b,434156,149,91,134,173,182,145
A530016L24Rik,319942,33,44,57,53,60,56
Myo5b,17919,1947,2321,2162,2100,1469,1436
Gm35315,102638847,37,23,39,44,22,28
Casp12,12364,94,101,225,147,91,118
Zfp974,73430,124,79,88,165,102,117
Casp1,12362,52,44,48,91,65,63
Fgb,110135,210629,155527,265700,264002,199853,290338
Ier2,15936,984,1355,1630,1608,2457,1238
Pirb,18733,61,56,94,80,81,86
Eif3k,73830,2219,2013,2678,2489,2609,2023
ENSMUSG00000116164,,8,6,6,2,4,8
Cox5b,12859,6353,4915,7424,6790,7819,6036
Psat1,107272,272,279,420,174,132,106
Tle4,21888,747,814,422,600,754,544
Cndp2,66054,2112,2506,3158,2782,2738,2546
Timm21,67105,794,665,933,1036,769,781
Cyb5a,109672,18837,18242,25934,25751,27540,27930
Slc17a5,235504,2590,2671,2828,3057,2542,2243
Tifab,212937,83,40,47,110,104,72
Gm37273,,0,0,1,0,0,0
Slc15a5,277898,269,238,176,302,169,201
C4a,625018,8920,15032,12874,15627,11305,14355
Ager,11596,35,13,22,24,17,19
A430033K04Rik,243308,236,195,298,253,134,226
Zfp512,269639,631,583,575,621,456,447
Ei24,13663,12737,14928,14879,10334,9939,8177
Zfp709,236193,460,377,253,474,368,373
Heatr5a,320487,581,633,689,857,564,672
Fam124a,629059,293,266,197,373,300,343
Ubd,24108,1,2,3,7,3,3
Hmgn2-ps,100042405,19,9,20,9,12,10
Mob1a,232157,2013,2183,1711,2533,1666,2019
Kbtbd3,69149,80,49,107,127,71,66
Aasdhppt,67618,1064,1065,1031,1189,894,955
Gm45338,,74,43,52,122,91,89
Cwf19l2,244672,1020,844,945,1251,861,865
Alkbh8,67667,365,321,314,429,276,337
Mrpl15,27395,4503,4120,4399,4924,5148,4153
Zfp865,319748,1027,1075,590,886,960,773
Mob1b,68473,1718,1565,1268,1908,1294,1373
Zfp628,232816,347,400,403,364,377,308
Rpl15-ps6,,414,286,538,382,421,344
Asrgl1,66514,357,333,454,507,440,378
Anxa1,16952,25,25,36,51,47,52
Prkar2a,19087,5337,6067,4788,5379,4298,4031
Slc25a20,57279,11655,13636,13549,10556,10786,9317
Qars1,97541,3205,3323,5055,3445,2951,2717
Nicn1,66257,559,598,644,679,620,566
Amt,434437,1946,2059,2327,3086,2960,2300
Klhdc8b,78267,321,250,411,494,390,408
Ankrd44,329154,479,323,427,351,282,259
Cx3cr1,13051,10,4,13,9,19,7
Immt,76614,5138,5368,6126,5801,5047,4619
Arf1,11840,13804,15640,17323,15672,14376,13154
Tenm4,23966,76,25,42,39,36,28
D630033O11Rik,,810,581,789,851,815,609
Atf6b,12915,1092,1174,2060,1325,1431,1042
Clca3a1,12722,688,496,633,577,574,567
Egfl8,81701,32,14,34,36,28,28
Notch4,18132,282,221,307,270,303,337
Tubg1,103733,1428,1615,1713,1320,1542,1098
Tmem200b,623230,28,41,33,41,31,31
Arl6ip5,65106,1658,1494,1457,1475,1516,1497
Tmem186,66690,573,453,453,553,525,475
Gm12966,,177,119,236,308,160,216
Kcnk10,72258,28,0,13,6,19,8
Ston1,77057,120,100,155,108,113,152
Mir100hg,73144,64,19,49,80,51,53
Engase,217364,312,338,592,320,322,206
Rex1bd,66462,1218,1116,1623,1319,1636,1445
Atp6v1b2,11966,2157,2795,2516,2342,2007,1971
Pira12,100038909,10,4,6,13,6,4
Tanc2,77097,420,414,338,309,201,271
Abi1,11308,1907,2316,2124,2588,2077,2021
Zfand2a,100494,1720,1817,1545,1475,1320,1268
Eps15l1,13859,803,1039,994,915,835,883
Phlda3,27280,43,56,95,46,44,39
Vmn2r20,667180,20,12,19,35,27,40
Cacybp,12301,1402,1203,1189,1698,1413,1649
Gm49492,,53,31,52,78,54,37
Cep128,75216,22,19,41,35,18,24
Sec22c,215474,816,777,592,1010,992,817
Mad2l1,56150,84,78,133,120,97,68
Ssbp1,381760,1143,795,1246,1386,1037,1196
Snrpg,68011,518,354,599,655,560,554
Incenp,16319,106,54,402,85,66,67
Fth1,14319,68863,79873,89992,70201,68825,56541
Agk,69923,323,319,357,492,385,364
Rab3il1,74760,101,102,94,237,198,161
Mrps33,14548,272,191,293,297,333,295
Fads3,60527,1201,968,675,1471,1234,935
Hpgds,54486,26,14,14,44,37,45
Fads2,56473,32792,41421,23131,37991,44436,43372
Tmem138,72982,93,65,69,79,68,61
Tmem216,68642,129,125,108,203,198,175
2310022A10Rik,66367,376,432,424,340,346,235
Sdhaf2,66072,1153,1186,1197,1536,1381,1321
Dsg2,13511,2245,2656,2065,3246,1838,1961
1700102P08Rik,112418,77,29,67,49,42,41
Usp4,22258,5057,6536,6168,6066,4847,4761
Nt5m,103850,560,549,508,533,620,458
Prkacb,18749,2222,2494,2533,2716,2043,1888
Ahcyl,11615,15887,19516,22908,14516,15951,9301
BC018473,,23,0,9,4,7,4
Ppt2,54397,820,985,930,875,822,673
Cyp3a11,13112,131726,162746,237111,11154,11307,15483
Csprs,114564,10,15,14,15,9,4
Rnf5,54197,1177,1139,1420,1439,1447,1462
Kcnc3,16504,529,415,388,567,485,507
Rmdn3,67809,1384,1367,1434,1530,1509,1352
Fryl,72313,900,851,967,963,671,726
Crppa,75847,77,86,90,110,49,71
Tmem35b,100039968,93,105,119,130,120,138
Ppp2r3a,235542,534,553,771,864,522,609
Dgkd,227333,1146,1483,1267,1354,1054,1131
Fgg,99571,158900,119752,180131,199574,147997,217916
Cdk10,234854,929,897,1096,1010,958,908
