Gene_Symbol,Entrez,HFD_DBA2J_GSM5534360_m_bxd_011219,HFD_DBA2J_GSM5534361_m_bxd_011220,HFD_DBA2J_GSM5534362_m_bxd_011225,SCD_DBA2J_GSM5534366_m_bxd_011864,SCD_DBA2J_GSM5534367_m_bxd_011867,SCD_DBA2J_GSM5534368_m_bxd_011868
Tbc1d30,74694,285,193,514,619,549,386
Hbb-bs,100503605,463,1092,1217,445,740,730
Klhl18,270201,426,380,469,391,410,506
Cadm4,260299,629,618,605,559,519,564
Zbtb33,56805,533,468,644,418,472,658
Gzmb,14939,4,0,12,1,4,2
Zfp677,210503,5,9,18,13,13,6
Ints6,18130,604,731,815,580,830,932
Zc3h12c,244871,154,135,164,130,122,159
Tanc1,66860,457,393,456,502,410,498
Arl10,56795,180,157,164,193,198,219
4833439L19Rik,97820,1935,1732,2110,1982,1736,2662
Lrrn4,320974,6,4,6,2,4,15
Thoc3,73666,1034,962,1040,1093,940,1163
Faf2,76577,2448,2338,2602,2413,2327,2983
Tspan17,74257,89,69,105,95,79,88
Unc5a,107448,37,25,33,31,31,38
Hk3,212032,255,164,263,185,142,147
Uimc1,20184,715,616,776,656,751,833
Klkb1,16621,5727,4446,5074,5359,4962,4119
Gm15690,,67,85,60,105,144,88
Ccdc159,67119,182,164,233,211,140,240
Dnah8,13417,90,87,99,115,93,187
Col13a1,12817,228,216,245,326,272,365
Chlsn,73212,593,222,287,135,96,180
Hspd1-ps3,,104,66,70,83,86,116
Igkv3-12,667914,1,3,2,3,4,8
Smagp,207818,1594,1423,1926,1690,1531,2146
Gnaq,14682,840,785,910,806,870,1057
BC024139,271278,248,186,278,227,195,302
Slc16a13,69309,76,80,155,102,111,234
Slc39a1,30791,4573,3578,4191,3997,3767,4597
Lrrc15,74488,18,33,18,170,145,222
Gm14325,329575,137,114,151,105,129,138
Ldlrad3,241576,168,83,125,127,128,181
Gm28438,,352,321,382,467,364,452
Smim29,106672,183,151,171,145,100,206
1110059E24Rik,66206,715,700,748,565,505,723
Plekhh3,217198,524,468,462,509,502,531
Ccdc186,213993,426,418,541,369,453,580
Gm16477,677073,6,7,8,7,6,6
Saxo4,67752,6,7,15,23,11,20
Smad7,17131,328,281,369,408,510,468
