Gene_Symbol,Entrez,HFD_NODShiLtJ_GSM5534410_m_bxd_011425,HFD_NODShiLtJ_GSM5534411_m_bxd_011426,HFD_NODShiLtJ_GSM5534413_m_bxd_011434,SCD_NODShiLtJ_GSM5534414_m_bxd_011717,SCD_NODShiLtJ_GSM5534415_m_bxd_011718,SCD_NODShiLtJ_GSM5534416_m_bxd_011720
Tbc1d30,74694,203,229,215,327,221,330
Hbb-bs,100503605,2329,1642,2156,4513,382,1078
Klhl18,270201,501,471,494,506,363,405
Cadm4,260299,62,43,62,108,48,49
Zbtb33,56805,607,660,721,721,689,698
Gzmb,14939,15,9,11,15,13,22
Zfp677,210503,37,25,26,21,25,35
Ints6,18130,1102,969,1139,1085,1057,738
Zc3h12c,244871,190,156,188,230,188,260
Tanc1,66860,442,522,506,598,479,527
Arl10,56795,137,133,173,211,115,145
4833439L19Rik,97820,2469,2481,2412,2234,1921,2036
Lrrn4,320974,8,10,21,8,8,4
Thoc3,73666,987,935,985,1052,1015,1038
Faf2,76577,3277,3165,3116,3279,2721,2884
Tspan17,74257,201,218,200,291,203,267
Unc5a,107448,27,18,32,29,14,32
Hk3,212032,141,142,127,198,158,175
Uimc1,20184,838,917,1077,1250,891,910
Klkb1,16621,7059,7148,6151,6108,6536,5235
Gm15690,,121,248,219,204,140,119
Ccdc159,67119,249,234,252,259,209,208
Dnah8,13417,95,110,116,85,71,71
Col13a1,12817,418,407,409,563,261,520
Chlsn,73212,132,82,130,99,112,87
Hspd1-ps3,,90,76,89,97,110,99
Igkv3-12,667914,0,2,1,1,1,0
Smagp,207818,1888,1636,1590,1743,1412,1427
Gnaq,14682,1101,1411,1000,1193,1227,1022
BC024139,271278,311,310,330,209,151,169
Slc16a13,69309,604,410,355,499,376,741
Slc39a1,30791,5501,4768,4903,4430,3620,3969
Lrrc15,74488,26,43,8,89,41,85
Gm14325,329575,207,218,202,271,254,205
Ldlrad3,241576,162,162,163,145,97,137
Gm28438,,569,640,402,613,449,504
Smim29,106672,126,100,120,147,84,109
1110059E24Rik,66206,884,752,932,794,739,686
Plekhh3,217198,658,425,635,701,355,539
Ccdc186,213993,377,466,491,498,619,548
Gm16477,677073,6,4,5,7,1,11
Saxo4,67752,11,10,13,12,9,11
Smad7,17131,600,672,924,694,971,680
Ugt2b36,231396,35019,35968,30402,33960,31497,29314
Eid2b,434156,195,181,188,193,183,230
A530016L24Rik,319942,16,7,12,10,8,7
Myo5b,17919,1433,1244,1410,1539,1268,1198
Gm35315,102638847,79,85,102,70,85,90
Casp12,12364,55,55,63,40,43,54
Zfp974,73430,97,117,106,100,59,78
Casp1,12362,107,105,127,115,98,97
Fgb,110135,278539,266770,254936,213854,196363,177759
Ier2,15936,2016,1706,3419,2353,1777,2188
Pirb,18733,225,260,274,290,176,241
Eif3k,73830,2084,1577,1859,2366,1821,2225
ENSMUSG00000116164,,47,67,39,48,60,47
Cox5b,12859,7547,6619,7590,7678,5056,5773
Psat1,107272,22,17,55,17,22,10
Tle4,21888,283,493,271,471,362,374
Cndp2,66054,2119,2000,2012,1893,1969,1765
Timm21,67105,954,852,954,1144,907,888
Cyb5a,109672,60699,50027,57383,47503,41750,40485
Slc17a5,235504,1969,2269,1740,2137,1842,1861
Tifab,212937,107,117,94,83,74,76
Gm37273,,0,0,0,1,0,0
Slc15a5,277898,343,401,272,208,151,109
C4a,625018,30514,31058,27786,22900,24758,24051
Ager,11596,16,27,36,40,26,32
A430033K04Rik,243308,97,100,152,156,141,174
Zfp512,269639,356,460,444,528,448,441
Ei24,13663,13044,13525,12437,17342,10999,14170
Zfp709,236193,114,143,107,139,105,116
Heatr5a,320487,595,770,619,1002,914,818
Fam124a,629059,342,450,360,470,401,395
Ubd,24108,15,11,12,4,7,8
Hmgn2-ps,100042405,31,21,35,34,21,14
Mob1a,232157,1811,2052,2009,1937,2087,2019
Kbtbd3,69149,72,63,94,74,63,64
Aasdhppt,67618,1343,1153,1258,1242,1312,1224
Gm45338,,180,165,193,151,91,120
Cwf19l2,244672,632,641,741,699,676,731
Alkbh8,67667,360,300,333,432,322,349
Mrpl15,27395,3160,2364,2917,3340,2872,2986
Zfp865,319748,574,571,636,750,504,699
Mob1b,68473,1502,1652,1582,1411,1456,1470
Zfp628,232816,327,326,348,331,315,335
Rpl15-ps6,,4,5,4,6,4,8
Asrgl1,66514,630,569,609,588,462,401
Anxa1,16952,197,150,199,197,179,198
Prkar2a,19087,3597,3974,3664,4584,3980,4190
Slc25a20,57279,10742,8288,11236,11160,8374,10867
Qars1,97541,2202,2334,2197,2308,2121,2280
Nicn1,66257,761,805,689,729,712,735
Amt,434437,3673,3234,3804,2977,3145,2825
Klhdc8b,78267,441,412,600,573,434,494
Ankrd44,329154,235,239,268,276,224,239
Cx3cr1,13051,28,20,27,8,5,5
Immt,76614,4608,4429,4861,5017,4277,4577
Arf1,11840,10205,9602,11059,10996,10006,10838
Tenm4,23966,46,58,50,33,27,66
D630033O11Rik,,482,401,508,560,370,468
Atf6b,12915,1444,1492,1377,1572,1094,1318
Clca3a1,12722,150,142,356,179,196,241
Egfl8,81701,21,38,39,38,21,42
Notch4,18132,301,377,391,524,298,516
Tubg1,103733,1602,1339,1667,1673,1258,1570
Tmem200b,623230,61,68,75,71,51,58
Arl6ip5,65106,1545,1549,1532,1656,1281,1425
Tmem186,66690,510,534,638,674,553,606
Gm12966,,19,18,33,25,22,22
Kcnk10,72258,195,145,171,101,87,105
Ston1,77057,155,190,285,275,233,301
Mir100hg,73144,42,34,72,41,48,52
Engase,217364,335,355,348,359,295,317
Rex1bd,66462,1582,1307,1417,1420,1196,1398
Atp6v1b2,11966,2241,2013,2188,2393,2048,2552
Pira12,100038909,40,49,54,44,29,32
Tanc2,77097,237,301,272,307,278,289
Abi1,11308,1806,1918,1900,2043,1647,1753
Zfand2a,100494,680,669,813,1040,899,896
Eps15l1,13859,806,848,901,1012,753,844
Phlda3,27280,67,88,62,28,34,45
Vmn2r20,667180,56,107,28,7,14,10
Cacybp,12301,1459,1505,1360,1869,1867,2130
Gm49492,,73,77,95,111,114,115
Cep128,75216,41,49,54,44,39,42
Sec22c,215474,636,655,619,680,518,770
Mad2l1,56150,72,50,66,63,79,57
Ssbp1,381760,876,885,978,838,764,986
Snrpg,68011,585,454,565,596,464,620
Incenp,16319,101,95,84,72,73,96
Fth1,14319,53950,52924,54059,67417,56605,67344
Agk,69923,299,239,320,264,252,206
Rab3il1,74760,278,234,230,248,195,202
Mrps33,14548,397,342,418,433,341,344
Fads3,60527,455,360,808,407,292,292
Hpgds,54486,84,105,90,77,56,57
Fads2,56473,19708,18006,23206,27577,18869,26223
Tmem138,72982,105,96,82,93,85,91
Tmem216,68642,162,186,170,163,140,178
2310022A10Rik,66367,246,245,239,270,236,254
Sdhaf2,66072,941,932,974,1007,978,885
Dsg2,13511,2616,2777,2623,2572,2379,1978
1700102P08Rik,112418,9,10,16,19,12,23
Usp4,22258,3947,3961,3978,4042,3657,3527
Nt5m,103850,391,377,368,413,324,380
Prkacb,18749,2350,2620,2276,2520,2200,2004
Ahcyl,11615,38105,33009,35211,62011,30228,37812
BC018473,,192,347,254,593,313,476
Ppt2,54397,909,753,771,969,633,755
Cyp3a11,13112,124735,139547,85781,295728,214516,281583
Csprs,114564,60,66,70,85,74,74
Rnf5,54197,1508,1428,1539,1668,1470,1619
Kcnc3,16504,320,428,379,492,327,498
Rmdn3,67809,1799,1692,1872,1833,1531,1576
Fryl,72313,636,812,704,954,796,781
Crppa,75847,97,86,90,80,67,75
Tmem35b,100039968,268,272,177,243,233,207
Ppp2r3a,235542,737,756,737,745,731,683
Dgkd,227333,1101,1107,1072,1278,1032,1192
Fgg,99571,191511,186844,194853,151896,151698,126728
Cdk10,234854,871,740,905,803,713,836
Klf9,16601,5094,4561,6973,5642,4997,5578
Tep1,21745,901,945,820,889,719,803
Slc6a16,381884,578,518,416,402,231,245
Ttc5,219022,396,351,417,391,316,404
Osgep,66246,568,630,613,632,609,601
Sult2a7,638251,28,33,40,15,8,10
Poldip3,73826,2223,1982,2155,2272,1982,2018
Cluap1,76779,117,117,112,128,105,130
Orm2,18406,225,229,150,167,159,125
Zfp229,381067,175,165,210,199,200,178
Smarcad1,13990,546,646,660,701,608,626
St6galnac2,20446,119,109,119,94,82,108
Mkrn1,54484,1310,1019,1279,1178,908,891
Slc37a3,72144,1226,1376,1263,1420,1351,1319
Tbxas1,21391,120,140,107,131,116,114
Ms4a1,12482,19,8,13,16,13,8
Ms4a4c,64380,5,9,19,10,8,12
Ms4a6b,69774,29,41,50,57,38,57
Ms4a4d,66607,74,41,172,143,144,148
Ms4a6d,68774,94,101,113,122,69,112
Fndc1,68655,31,22,50,29,16,21
Zbtb5,230119,561,656,554,598,520,484
Bdp1,544971,439,547,488,710,563,634
Aftph,216549,1715,1713,1670,1800,1611,1758
Srek1,218543,1134,1236,1546,1620,1256,1409
Eml4,78798,934,1020,873,995,797,778
Thsd7a,330267,33,41,65,42,50,65
Sgsh,27029,325,293,303,309,188,206
Lmcd1,30937,54,79,47,78,30,32
Chaserr,69170,470,397,546,548,489,598
Cacfd1,381356,1378,1504,1407,1792,1683,1545
Zfp599,235048,38,61,34,35,36,31
Hikeshi,67669,672,731,619,946,756,953
Pyurf,66459,599,528,539,683,599,555
Loricrin,16939,37,45,46,53,26,88
Ppargc1b,170826,223,81,265,409,122,415
Gm17767,100045066,31,40,41,35,37,31
Aamp,227290,4786,4354,4943,5433,4154,4988
4933416M06Rik,71174,18,11,15,8,3,6
Rnasel,24014,131,166,155,184,119,155
Zswim7,69747,383,325,382,349,285,317
Oasl1,231655,707,406,694,385,405,251
Abca8a,217258,3513,4396,2711,3291,5391,2274
Pigl,327942,329,301,328,286,240,324
