Gene_Symbol,Entrez,SCD_NZOHlLtJ_GSM5534423_m_bxd_012156,SCD_NZOHlLtJ_GSM5534427_m_bxd_012210,SCD_NZOHlLtJ_GSM5534428_m_bxd_012212,HFD_NZOHlLtJ_GSM5534429_m_bxd_012761
Tbc1d30,74694,214,163,174,294
Hbb-bs,100503605,366,4634,632,1149
Klhl18,270201,602,494,444,652
Cadm4,260299,747,969,744,444
Zbtb33,56805,905,685,694,762
Gzmb,14939,9,26,9,14
Zfp677,210503,15,18,6,11
Ints6,18130,953,607,881,952
Zc3h12c,244871,285,165,181,186
Tanc1,66860,582,422,467,691
Arl10,56795,209,178,126,225
4833439L19Rik,97820,2946,2104,2241,3639
Lrrn4,320974,37,31,22,16
Thoc3,73666,1489,1043,1207,1530
Faf2,76577,3300,3242,2743,3401
Tspan17,74257,79,72,81,71
Unc5a,107448,26,17,36,41
Hk3,212032,212,513,156,333
Uimc1,20184,1042,805,808,1074
Klkb1,16621,8984,5949,8643,8041
Gm15690,,486,107,294,360
Ccdc159,67119,167,173,128,209
Dnah8,13417,74,43,59,82
Col13a1,12817,345,325,377,271
Chlsn,73212,83,188,81,129
Hspd1-ps3,,99,62,77,105
Igkv3-12,667914,1,2,1,1
Smagp,207818,1662,1725,1582,1945
Gnaq,14682,1399,987,1013,1214
BC024139,271278,219,221,212,291
Slc16a13,69309,213,204,210,270
Slc39a1,30791,5402,9431,4858,5369
Lrrc15,74488,95,5,36,71
Gm14325,329575,248,157,189,153
Ldlrad3,241576,158,111,119,162
Gm28438,,1487,1040,1380,1981
Smim29,106672,115,188,109,207
1110059E24Rik,66206,660,653,570,662
Plekhh3,217198,820,421,536,733
Ccdc186,213993,508,488,425,551
Gm16477,677073,8,2,3,6
Saxo4,67752,6,8,9,7
Smad7,17131,740,407,592,938
Ugt2b36,231396,51362,29361,41363,44792
Eid2b,434156,188,174,161,310
A530016L24Rik,319942,54,34,33,79
Myo5b,17919,2348,1741,1753,2242
Gm35315,102638847,118,47,68,78
Casp12,12364,59,57,52,84
Zfp974,73430,106,105,103,146
Casp1,12362,101,212,93,138
Fgb,110135,225825,1056323,225550,233358
Ier2,15936,1288,1171,1171,1641
Pirb,18733,275,1338,248,595
Eif3k,73830,1868,2142,1767,2347
ENSMUSG00000116164,,141,47,94,86
Cox5b,12859,7468,5291,6467,8214
Psat1,107272,69,132,65,42
Tle4,21888,456,420,374,439
Cndp2,66054,2476,2237,1924,2594
Timm21,67105,1015,818,860,1156
Cyb5a,109672,48301,38832,44695,59252
Slc17a5,235504,2753,1775,1998,2107
Tifab,212937,160,457,175,284
Gm37273,,0,0,1,0
Slc15a5,277898,177,110,139,187
C4a,625018,16702,27216,13780,9061
Ager,11596,38,28,19,18
A430033K04Rik,243308,157,117,149,129
Zfp512,269639,557,525,535,695
Ei24,13663,14385,8012,10772,14346
Zfp709,236193,184,174,144,230
Heatr5a,320487,736,682,547,638
Fam124a,629059,504,430,377,649
Ubd,24108,7,15,3,51
Hmgn2-ps,100042405,5,7,3,10
Mob1a,232157,2617,2448,2077,2603
Kbtbd3,69149,111,84,105,126
Aasdhppt,67618,1570,1103,1374,1683
Gm45338,,238,201,214,238
Cwf19l2,244672,833,624,725,819
Alkbh8,67667,407,280,388,445
Mrpl15,27395,3517,3265,3073,3763
Zfp865,319748,757,488,658,915
Mob1b,68473,2299,1305,1656,2103
Zfp628,232816,349,272,240,421
Rpl15-ps6,,2,3,4,1
Asrgl1,66514,1218,891,810,996
Anxa1,16952,39,577,33,39
Prkar2a,19087,7422,4848,4865,5657
Slc25a20,57279,11881,8251,9667,11639
Qars1,97541,3219,2794,2510,3048
Nicn1,66257,1201,1009,1001,1160
Amt,434437,3752,3175,3531,4256
Klhdc8b,78267,527,359,380,520
Ankrd44,329154,225,266,242,236
Cx3cr1,13051,61,116,45,44
Immt,76614,6823,3804,5174,7725
Arf1,11840,11382,12069,9856,13771
Tenm4,23966,32,14,29,25
D630033O11Rik,,277,135,223,316
Atf6b,12915,1271,1551,1131,1985
Clca3a1,12722,370,562,304,572
Egfl8,81701,26,16,21,43
Notch4,18132,251,163,183,286
Tubg1,103733,1797,1380,1526,2062
Tmem200b,623230,74,74,63,133
Arl6ip5,65106,1948,2051,1657,2257
Tmem186,66690,640,528,554,858
Gm12966,,30,30,22,44
Kcnk10,72258,55,33,71,98
Ston1,77057,405,297,300,388
Mir100hg,73144,65,63,45,55
Engase,217364,343,434,301,548
Rex1bd,66462,2173,2030,1969,2567
Atp6v1b2,11966,2636,2602,2271,3062
Pira12,100038909,9,51,10,21
Tanc2,77097,499,330,294,347
Abi1,11308,2183,1861,1816,2443
Zfand2a,100494,703,597,551,858
Eps15l1,13859,859,769,721,956
Phlda3,27280,51,19,25,398
Vmn2r20,667180,200,55,215,573
Cacybp,12301,1422,1158,1169,1506
Gm49492,,137,64,78,99
Cep128,75216,67,53,38,50
Sec22c,215474,1259,668,902,1482
Mad2l1,56150,132,112,106,124
Ssbp1,381760,1157,949,972,1323
Snrpg,68011,661,644,543,770
Incenp,16319,85,99,51,92
Fth1,14319,99273,46729,78660,100547
Agk,69923,329,298,276,391
Rab3il1,74760,228,292,147,256
Mrps33,14548,415,444,412,459
Fads3,60527,484,248,427,780
Hpgds,54486,62,121,53,80
Fads2,56473,33101,7713,22219,27114
Tmem138,72982,114,116,109,153
Tmem216,68642,237,205,214,259
2310022A10Rik,66367,298,266,249,396
Sdhaf2,66072,1275,1143,1062,1319
Dsg2,13511,7620,4093,5257,4773
1700102P08Rik,112418,17,14,12,14
Usp4,22258,5765,4188,4254,5010
Nt5m,103850,619,491,521,747
Prkacb,18749,3853,2374,2794,3209
Ahcyl,11615,48707,29526,40751,50843
BC018473,,207,729,245,430
Ppt2,54397,932,697,814,985
Cyp3a11,13112,303075,86040,153586,22983
Csprs,114564,33,46,23,44
Rnf5,54197,1763,1190,1498,1596
Kcnc3,16504,365,244,239,397
Rmdn3,67809,2723,1796,2128,2546
Fryl,72313,1024,699,799,822
Crppa,75847,169,145,134,149
Tmem35b,100039968,292,213,306,355
Ppp2r3a,235542,1059,521,769,867
Dgkd,227333,1342,837,985,1275
Fgg,99571,162544,744279,158234,169838
Cdk10,234854,697,603,552,730
Klf9,16601,5018,4729,5418,5316
Tep1,21745,1008,757,779,1133
Slc6a16,381884,220,49,129,404
Ttc5,219022,499,517,447,635
Osgep,66246,793,637,562,874
Sult2a7,638251,253,877,178,560
Poldip3,73826,2335,2067,1857,2710
Cluap1,76779,199,113,106,157
Orm2,18406,321,91502,295,297
Zfp229,381067,267,235,231,298
Smarcad1,13990,609,653,573,651
St6galnac2,20446,47,122,46,110
Mkrn1,54484,1469,1427,1393,1995
Slc37a3,72144,1834,1498,1340,1493
Tbxas1,21391,138,245,98,165
Ms4a1,12482,19,39,12,23
Ms4a4c,64380,6,66,11,8
Ms4a6b,69774,35,123,54,59
Ms4a4d,66607,83,86,81,132
Ms4a6d,68774,58,312,73,129
Fndc1,68655,31,18,17,27
Zbtb5,230119,813,657,615,675
Bdp1,544971,504,380,406,420
Aftph,216549,2129,1586,1583,1905
Srek1,218543,1204,1005,1030,1278
Eml4,78798,1227,938,905,1155
Thsd7a,330267,23,19,17,33
Sgsh,27029,294,316,232,472
Lmcd1,30937,32,22,17,44
Chaserr,69170,421,397,422,571
Cacfd1,381356,1351,1296,1386,1912
Zfp599,235048,19,10,13,7
Hikeshi,67669,736,714,731,898
Pyurf,66459,770,462,680,757
Loricrin,16939,33,15,29,28
Ppargc1b,170826,209,71,143,159
Gm17767,100045066,30,57,40,76
Aamp,227290,6018,4323,4886,5967
4933416M06Rik,71174,20,11,28,60
Rnasel,24014,143,241,119,142
Zswim7,69747,626,379,455,671
Oasl1,231655,1427,1263,1325,1522
Abca8a,217258,6137,1407,4942,4486
Pigl,327942,278,234,270,283
Gm10179,,5,3,9,5
Skic8,66317,2245,2006,2077,2624
Mrpl16,94063,1620,1497,1421,1915
Osbp,76303,4147,3577,3287,4900
Flcn,216805,2753,1890,1976,1993
Atxn2l,233871,3242,2529,2399,3987
Gnai1,14677,152,72,71,74
Cstb,13014,1094,1277,1044,1624
Sh2b2,23921,102,113,72,125
B630019K06Rik,102941,50,29,31,46
Tmem106c,380967,1097,649,825,1055
Mia3,338366,9484,5261,7530,7624
S100a8,20201,33,2878,65,13
Sag,20215,1,12,15,11
Lgals3bp,19039,5443,5742,5192,7596
Zfp267,241944,235,198,228,239
Pxk,218699,1348,1402,1046,1784
Ubb,22187,15071,18608,14513,15652
Ptpre,19267,252,172,162,195
Pdcd7,50996,485,292,399,542
Golph3,66629,3883,3118,2976,3907
Zfr,22763,2936,2560,2519,2801
Ngdn,68966,1085,1348,959,1326
Sub1,20024,2219,1889,1944,2506
Npr3,18162,114,52,85,116
Fam111a,107373,110,232,95,151
Keg1,64697,3303,894,2808,3303
Morn4,226123,27,14,15,23
Zfp91,109910,7707,4131,4765,5469
Lpxn,107321,74,124,60,91
Zbtb14,22666,493,455,431,542
Gna14,14675,285,329,283,308
Chsy1,269941,151,199,131,201
Gpr19,14760,139,125,111,177
Fhl3,14201,27,23,31,57
Pygm,19309,48,36,45,61
Colgalt2,269132,347,247,340,380
Actn2,11472,2,10,4,5
Pex5,19305,8090,5224,6918,9067
Insig2,72999,24785,14210,18852,24050
Pomgnt1,68273,940,873,815,1134
Otulinl,223433,98,238,72,184
Lrrc41,230654,1150,1038,916,1232
Nsun4,72181,1041,637,807,988
