Gene_Symbol,Entrez,HFD_PWKPhJ_GSM5534436_m_bxd_010968,HFD_PWKPhJ_GSM5534437_m_bxd_010975,HFD_PWKPhJ_GSM5534438_m_bxd_010976,SCD_PWKPhJ_GSM5534439_m_bxd_011025,SCD_PWKPhJ_GSM5534440_m_bxd_011029,SCD_PWKPhJ_GSM5534441_m_bxd_011052
Tbc1d30,74694,139,172,191,318,214,183
Hbb-bs,100503605,1211,763,1453,664,498,854
Klhl18,270201,652,687,679,809,745,631
Cadm4,260299,88,106,54,90,73,204
Zbtb33,56805,660,650,679,844,733,474
Gzmb,14939,26,24,30,50,26,47
Zfp677,210503,38,32,62,76,45,27
Ints6,18130,995,681,776,925,1047,801
Zc3h12c,244871,179,143,111,186,135,101
Tanc1,66860,640,574,622,743,533,478
Arl10,56795,118,130,117,132,133,85
4833439L19Rik,97820,3094,2937,2838,2623,2484,2664
Lrrn4,320974,13,10,11,10,18,5
Thoc3,73666,1098,1015,1274,1285,1238,1410
Faf2,76577,3143,3312,3598,3480,3594,2907
Tspan17,74257,103,120,144,143,231,147
Unc5a,107448,113,106,115,126,83,112
Hk3,212032,69,107,119,120,116,181
Uimc1,20184,896,754,887,984,810,822
Klkb1,16621,2288,1631,2764,2591,2786,2370
Gm15690,,568,273,259,156,276,308
Ccdc159,67119,221,171,298,236,245,159
Dnah8,13417,166,152,198,133,160,58
Col13a1,12817,376,517,501,444,431,320
Chlsn,73212,93,98,155,133,133,132
Hspd1-ps3,,134,130,122,132,187,141
Igkv3-12,667914,1,8,1,0,2,0
Smagp,207818,1915,2052,2521,2243,2553,2214
Gnaq,14682,1674,1338,1530,1690,1718,1467
BC024139,271278,695,518,997,690,720,674
Slc16a13,69309,125,450,266,424,204,250
Slc39a1,30791,3793,4469,5442,4407,4884,5150
Lrrc15,74488,3,3,4,1,6,3
Gm14325,329575,75,59,79,70,62,37
Ldlrad3,241576,108,83,135,113,148,63
Gm28438,,247,188,222,221,233,268
Smim29,106672,83,89,124,72,113,114
1110059E24Rik,66206,626,565,761,663,626,609
Plekhh3,217198,288,432,535,526,268,304
Ccdc186,213993,869,774,688,850,811,558
Gm16477,677073,352,416,419,430,413,450
Saxo4,67752,21,17,26,15,15,12
Smad7,17131,468,349,635,558,603,476
Ugt2b36,231396,34797,33207,37596,39218,38965,39052
Eid2b,434156,125,199,235,161,141,115
A530016L24Rik,319942,3,1,5,8,4,5
Myo5b,17919,2174,1674,2123,2046,2069,2069
Gm35315,102638847,28,27,37,28,22,6
Casp12,12364,17,15,18,19,19,23
Zfp974,73430,62,43,82,96,89,64
Casp1,12362,48,37,40,62,46,56
Fgb,110135,174293,189567,255001,180898,197424,161195
Ier2,15936,1252,1376,2670,1808,961,1788
Pirb,18733,171,117,259,175,187,206
Eif3k,73830,1512,1892,1812,1565,1715,2342
ENSMUSG00000116164,,49,43,38,59,46,37
Cox5b,12859,7098,7702,8092,6032,7482,8505
Psat1,107272,57,61,112,133,277,233
Tle4,21888,535,422,445,510,618,463
Cndp2,66054,1832,1833,2343,1987,2033,2224
Timm21,67105,1166,840,1291,1112,1177,1186
Cyb5a,109672,34518,33731,41756,33345,35534,40758
Slc17a5,235504,2464,2701,3045,2761,2763,2205
Tifab,212937,139,150,253,264,222,212
Gm37273,,2,3,4,1,0,0
Slc15a5,277898,262,265,346,359,357,332
C4a,625018,821,804,1421,1246,1095,1059
Ager,11596,18,14,20,17,23,17
A430033K04Rik,243308,145,236,198,176,133,117
Zfp512,269639,601,593,800,784,689,543
Ei24,13663,10525,11221,11566,8593,11012,8946
Zfp709,236193,163,173,200,194,176,140
Heatr5a,320487,751,533,530,730,650,511
Fam124a,629059,440,505,591,437,503,454
Ubd,24108,3,15,26,34,30,86
Hmgn2-ps,100042405,17,21,14,31,30,39
Mob1a,232157,2466,2058,2419,2653,2557,1717
Kbtbd3,69149,66,46,97,115,92,60
