Gene_Symbol,Entrez,SCD_WSBEiJ_GSM5534445_m_bxd_010948,SCD_WSBEiJ_GSM5534446_m_bxd_010949,SCD_WSBEiJ_GSM5534447_m_bxd_010950,HFD_WSBEiJ_GSM5534451_m_bxd_012010,HFD_WSBEiJ_GSM5534452_m_bxd_012011,HFD_WSBEiJ_GSM5534453_m_bxd_012014
Tbc1d30,74694,1340,859,694,721,901,1254
Hbb-bs,100503605,538,3041,139,126,163,187
Klhl18,270201,493,513,941,506,581,459
Cadm4,260299,149,184,386,311,423,312
Zbtb33,56805,522,604,673,548,605,524
Gzmb,14939,10,1,5,0,1,3
Zfp677,210503,16,9,17,9,21,9
Ints6,18130,710,803,1363,1050,1202,1037
Zc3h12c,244871,148,148,264,168,233,139
Tanc1,66860,597,550,945,400,715,573
Arl10,56795,180,225,226,176,317,174
4833439L19Rik,97820,2183,2161,2133,2139,2326,2401
Lrrn4,320974,6,6,20,6,4,3
Thoc3,73666,1315,1210,1766,1238,1450,1318
Faf2,76577,2473,2561,3427,2500,2994,2484
Tspan17,74257,90,100,82,46,62,80
Unc5a,107448,41,35,45,52,56,53
Hk3,212032,58,61,58,44,36,70
Uimc1,20184,685,867,1219,666,1038,853
Klkb1,16621,4220,4619,263,2203,1249,5398
Gm15690,,233,453,191,213,106,291
Ccdc159,67119,213,203,181,211,258,216
Dnah8,13417,18,59,9,15,29,38
Col13a1,12817,560,701,695,627,796,600
Chlsn,73212,164,149,227,168,170,209
Hspd1-ps3,,91,105,113,118,137,107
Igkv3-12,667914,0,0,0,0,0,0
Smagp,207818,1235,1237,2234,1455,1316,1243
Gnaq,14682,908,1032,1418,839,1264,1027
BC024139,271278,367,363,174,446,477,365
Slc16a13,69309,118,78,169,94,153,76
Slc39a1,30791,4219,3799,4997,4918,4608,4419
Lrrc15,74488,94,48,28,26,77,51
Gm14325,329575,50,77,67,46,60,40
Ldlrad3,241576,133,140,149,115,206,101
Gm28438,,589,817,860,580,803,786
Smim29,106672,225,216,299,170,221,247
1110059E24Rik,66206,940,906,866,784,1126,1118
Plekhh3,217198,470,446,587,548,775,462
Ccdc186,213993,473,565,757,497,622,474
Gm16477,677073,1,7,2,3,10,7
Saxo4,67752,5,17,12,4,6,5
Smad7,17131,602,776,445,781,732,752
Ugt2b36,231396,18461,17135,11387,12997,13707,21245
Eid2b,434156,218,141,159,120,128,141
A530016L24Rik,319942,127,99,113,92,108,111
Myo5b,17919,1385,1363,2160,1386,1815,1473
Gm35315,102638847,75,59,86,48,72,77
Casp12,12364,41,41,61,55,51,57
Zfp974,73430,79,102,108,99,166,129
Casp1,12362,70,74,68,40,56,68
Fgb,110135,217253,248420,313934,323908,294305,237497
Ier2,15936,1561,1948,1280,1779,1818,4144
Pirb,18733,158,171,247,116,184,150
Eif3k,73830,3030,2775,3025,2667,3023,3089
ENSMUSG00000116164,,28,27,25,22,34,35
Cox5b,12859,6497,6642,7629,6091,6793,6864
Psat1,107272,21,31,498,87,186,24
Tle4,21888,276,288,364,291,389,235
Cndp2,66054,2063,1591,1663,2213,1963,2056
Timm21,67105,933,973,1415,875,1043,854
Cyb5a,109672,43102,39007,25325,29510,29725,44412
Slc17a5,235504,1715,1759,1616,1518,1566,1686
Tifab,212937,146,153,125,86,109,149
Gm37273,,13,1,7,2,3,0
Slc15a5,277898,28,38,15,25,52,75
C4a,625018,14679,15482,5367,14439,15338,18594
Ager,11596,9,39,18,8,34,14
A430033K04Rik,243308,208,154,104,99,142,176
Zfp512,269639,586,574,816,565,662,645
Ei24,13663,13783,11727,16715,14381,16890,10875
Zfp709,236193,114,124,172,97,133,116
Heatr5a,320487,672,684,894,790,955,628
Fam124a,629059,180,229,254,209,190,234
Ubd,24108,11,10,6,9,0,2
Hmgn2-ps,100042405,31,45,62,50,41,41
Mob1a,232157,1410,1618,2013,1498,1853,1568
Kbtbd3,69149,77,98,77,74,118,119
Aasdhppt,67618,945,953,1324,984,1161,1009
Gm45338,,146,140,128,149,247,196
Cwf19l2,244672,678,735,982,653,808,657
Alkbh8,67667,321,318,478,287,419,323
Mrpl15,27395,4223,3980,4949,3459,3931,3639
Zfp865,319748,391,557,1037,521,905,429
Mob1b,68473,834,1122,1259,918,985,905
Zfp628,232816,276,376,863,298,442,330
Rpl15-ps6,,4,3,7,4,6,2
Asrgl1,66514,759,630,891,714,744,576
Anxa1,16952,231,186,242,169,203,236
Prkar2a,19087,3906,3952,5259,3857,4774,3410
Slc25a20,57279,11605,10454,9396,9897,9305,10303
Qars1,97541,3203,3040,4871,3735,4538,3222
Nicn1,66257,892,864,942,972,1017,807
Amt,434437,3676,3494,2464,3971,3430,4053
Klhdc8b,78267,323,421,294,268,262,455
Ankrd44,329154,262,372,260,238,413,270
Cx3cr1,13051,25,15,10,6,8,16
Immt,76614,5883,5779,7228,5434,6183,6091
Arf1,11840,11123,10416,13563,11073,10897,10771
Tenm4,23966,20,63,35,7,34,37
D630033O11Rik,,104,87,139,89,166,123
Atf6b,12915,1146,1165,2405,1394,1982,1122
Clca3a1,12722,670,662,1750,1065,1326,790
Egfl8,81701,31,60,29,27,47,40
Notch4,18132,118,144,229,90,206,131
Tubg1,103733,1637,1591,1786,1580,1801,1394
Tmem200b,623230,123,89,125,85,69,87
Arl6ip5,65106,1487,1433,1678,1332,1365,1228
Tmem186,66690,635,659,809,514,814,678
Gm12966,,37,50,39,19,34,26
Kcnk10,72258,109,131,19,160,124,176
Ston1,77057,306,295,442,288,467,267
Mir100hg,73144,58,68,57,21,51,50
Engase,217364,445,360,906,480,807,408
Rex1bd,66462,1619,1583,1442,1485,1390,1663
Atp6v1b2,11966,3211,2965,5670,2904,3369,2615
Pira12,100038909,29,24,23,20,30,17
Tanc2,77097,167,184,848,104,157,128
Abi1,11308,1914,1906,2534,1645,2320,1832
Zfand2a,100494,1136,1562,2904,2381,2015,1171
Eps15l1,13859,760,810,1208,692,1161,821
Phlda3,27280,34,28,93,29,69,38
Vmn2r20,667180,20,14,11,9,17,16
Cacybp,12301,1124,1256,1916,1721,1954,1460
Gm49492,,83,59,127,60,115,73
Cep128,75216,48,51,85,54,53,45
Sec22c,215474,1086,1062,659,630,809,685
Mad2l1,56150,86,82,182,93,150,85
Ssbp1,381760,849,934,1216,825,1205,952
Snrpg,68011,515,619,650,509,665,717
Incenp,16319,51,73,112,39,91,52
Fth1,14319,56613,52279,71680,49358,52829,55484
Agk,69923,252,310,337,298,241,299
Rab3il1,74760,210,165,105,133,130,159
Mrps33,14548,430,415,672,392,487,461
Fads3,60527,460,856,264,433,243,1130
Hpgds,54486,28,48,50,19,35,32
Fads2,56473,23822,24131,18426,21196,18710,29308
Tmem138,72982,115,97,124,84,129,100
Tmem216,68642,214,174,223,148,246,133
2310022A10Rik,66367,287,275,525,325,457,247
Sdhaf2,66072,1103,988,1293,910,1195,1065
Dsg2,13511,2270,2062,2365,1999,2119,2061
1700102P08Rik,112418,18,25,107,19,44,42
Usp4,22258,4109,3849,5132,3755,3793,4174
Nt5m,103850,435,377,908,358,549,267
Prkacb,18749,2699,2666,3528,2375,3044,2587
Ahcyl,11615,47959,42367,66515,32617,45009,39345
BC018473,,3,2,2,0,6,2
Ppt2,54397,1405,1372,1678,1150,1507,1247
Cyp3a11,13112,16226,15038,11357,870,1155,968
Csprs,114564,1,3,1,1,2,1
Rnf5,54197,1347,1233,1089,1273,1266,1403
Kcnc3,16504,319,389,808,228,636,333
Rmdn3,67809,2077,1992,1443,1725,1795,1811
Fryl,72313,599,761,787,507,776,548
Crppa,75847,87,102,102,131,92,96
Tmem35b,100039968,324,327,351,282,298,271
Ppp2r3a,235542,665,711,895,754,862,756
Dgkd,227333,1196,1138,1598,1170,1566,1352
Fgg,99571,155522,178970,234295,198198,185190,169585
Cdk10,234854,738,855,952,851,991,936
Klf9,16601,5069,6151,6968,7394,6716,7755
Tep1,21745,851,841,1186,822,1041,980
Slc6a16,381884,413,348,86,307,289,360
Ttc5,219022,508,465,642,428,540,494
Osgep,66246,679,632,689,709,787,784
Sult2a7,638251,39,35,11,18,36,26
Poldip3,73826,3399,3119,4649,3468,3931,3118
Cluap1,76779,162,133,167,113,168,122
Orm2,18406,482,590,1870,511,407,165
Zfp229,381067,191,188,227,135,200,151
Smarcad1,13990,613,727,1209,547,864,629
St6galnac2,20446,61,40,68,45,65,48
Mkrn1,54484,1243,1311,2081,1243,1542,1176
Slc37a3,72144,1487,1528,1798,1510,1495,1511
Tbxas1,21391,61,75,63,54,44,90
Ms4a1,12482,11,8,3,1,1,6
Ms4a4c,64380,1,2,3,3,0,0
Ms4a6b,69774,18,21,45,14,14,14
Ms4a4d,66607,107,81,235,74,149,103
Ms4a6d,68774,64,61,149,46,100,49
Fndc1,68655,19,28,19,23,14,13
Zbtb5,230119,421,405,634,412,597,415
Bdp1,544971,363,374,681,442,608,459
Aftph,216549,1660,1615,3393,1737,2326,1638
Srek1,218543,851,1136,1491,841,1226,1099
Eml4,78798,601,643,731,594,800,564
Thsd7a,330267,99,77,127,79,130,79
Sgsh,27029,462,419,631,426,677,407
Lmcd1,30937,44,47,24,46,79,71
Chaserr,69170,430,596,477,401,539,613
Cacfd1,381356,1420,1694,2863,1578,2383,1503
Zfp599,235048,16,19,15,14,10,13
Hikeshi,67669,895,869,1309,969,1264,1014
Pyurf,66459,573,609,835,533,651,484
Loricrin,16939,33,36,66,38,70,40
Ppargc1b,170826,190,236,347,146,116,203
Gm17767,100045066,6,17,115,20,34,11
Aamp,227290,5759,5382,8177,5489,6179,5682
4933416M06Rik,71174,2,5,5,1,3,6
Rnasel,24014,97,144,156,66,136,127
Zswim7,69747,363,319,389,311,362,328
Oasl1,231655,397,379,375,417,269,328
Abca8a,217258,1650,1944,810,1089,904,2093
Pigl,327942,412,416,496,333,382,340
Gm10179,,0,1,1,4,1,5
Skic8,66317,1857,1755,2069,1812,1809,1873
Mrpl16,94063,1197,1298,1544,1270,1280,1225
Osbp,76303,2991,3210,6777,4153,5715,3116
Flcn,216805,1457,1947,2020,2097,2292,2064
Atxn2l,233871,2247,3221,5021,2496,4233,2763
Gnai1,14677,129,135,265,125,196,191
Cstb,13014,875,812,1242,946,872,916
Sh2b2,23921,139,148,375,135,189,153
