RefSeq_Locus_Tag,BRC_ID,ND_SCD,DD_HFD,Peptide,Genome,Genome_ID,Product,Accession,Name,Genome_name,Protein_ID
b0201,511145.12.rna.1,76.9489176,201.7268303,280.7027918,Escherichia coli str K_12 substr MG1655,511145.12,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,NC_000913,gene199-b0201,Escherichia_coli_str_K_12_substr_MG1655,0
b0204,83333.111.rna.7,839.5981898,1496.470277,2450.05574,Escherichia coli K_12,83333.111,"LSU rRNA ## 23S rRNA, large subunit ribosomal RNA",NC_000913,gene202-b0204,Escherichia_coli_K_12,0
b2591,511145.12.rna.52,59.84915813,199.0898783,281.4890742,Escherichia coli str K_12 substr MG1655,511145.12,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,NC_000913,gene2658-b2591,Escherichia_coli_str_K_12_substr_MG1655,0
b3275,83333.111.rna.122,0,0.659238007,0.78628233,Escherichia coli K_12,83333.111,"LSU rRNA ## 23S rRNA, large subunit ribosomal RNA",NC_000913,gene3337-b3275,Escherichia_coli_K_12,0
b3278,511145.12.rna.73,32.48954299,117.3443653,130.5228668,Escherichia coli str K_12 substr MG1655,511145.12,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,NC_000913,gene3340-b3278,Escherichia_coli_str_K_12_substr_MG1655,0
b3756,511145.12.rna.76,0,1.977714022,1.57256466,Escherichia coli str K_12 substr MG1655,511145.12,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,NC_000913,gene3839-b3756,Escherichia_coli_str_K_12_substr_MG1655,0
b3758,83333.111.rna.136,83.78882139,121.9590314,143.1033841,Escherichia coli K_12,83333.111,"LSU rRNA ## 23S rRNA, large subunit ribosomal RNA",NC_000913,gene3841-b3758,Escherichia_coli_K_12,0
b3851,511145.12.rna.86,0,1.977714022,0,Escherichia coli str K_12 substr MG1655,511145.12,Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA,NC_000913,gene3931-b3851,Escherichia_coli_str_K_12_substr_MG1655,0
b3854,83333.111.rna.149,241.1066085,544.5305942,721.0208967,Escherichia coli K_12,83333.111,23S ribosomal RNA of ribosomal RNA operon,NC_000913,gene3934-b3854,Escherichia_coli_K_12,0
VC0164,243277.26.peg.151,1.709975947,0,0,Vibrio cholerae O1 biovar El Tor str N16961,243277.26,"RND efflux system, inner membrane transporter",NC_002505,gene162-VC0164,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,0
VCr020,243277.26.rna.108,0,0,0.78628233,Vibrio cholerae O1 biovar El Tor str N16961,243277.26,Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA,NC_002505,gene2656-VCr020,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,0
VCr023,243277.26.rna.115,0,0.659238007,0,Vibrio cholerae O1 biovar El Tor str N16961,243277.26,Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA,NC_002505,gene2663-VCr023,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,0
VCr002,243277.26.rna.3,0,0.659238007,1.57256466,Vibrio cholerae O1 biovar El Tor str N16961,243277.26,Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA,NC_002505,gene59-VCr002,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,0
VCr014,243277.26.rna.63,0,0.659238007,0,Vibrio cholerae O1 biovar El Tor str N16961,243277.26,Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA,NC_002505,gene725-VCr014,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961,0
NGO1852,242231.10.peg.2227,3.419951893,0,0,Neisseria gonorrhoeae FA 1090,242231.1,LSU ribosomal protein L7p/L12p (P1/P2),NC_002946,gene1678-NGO1852,Neisseria_gonorrhoeae_FA_1090,0
L0294,272623.7.peg.1043,18.80973541,0,0,Lactococcus lactis subsp lactis Il1403,272623.7,"Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1)",NC_002662,gene1037-L0294,Lactococcus_lactis_subsp_lactis_Il1403,0
L140690,272623.7.peg.374,0,0.659238007,0,Lactococcus lactis subsp lactis Il1403,272623.7,D-alanine--D-alanine ligase (EC 6.3.2.4),NC_002662,gene365-L140690,Lactococcus_lactis_subsp_lactis_Il1403,0
SMc00723,266834.11.peg.4148,25.6496392,0,0,Sinorhizobium meliloti 1021,266834.11,Diaminopimelate decarboxylase (EC 4.1.1.20),NC_003047,gene2711-SMc00723,Sinorhizobium_meliloti_1021,0
CT1176,194439.7.peg.1071,0,0.659238007,0,Chlorobium tepidum TLS,194439.7,Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),NC_002932,gene1207-CT1176,Chlorobium_tepidum_TLS,0
CT0141,194439.7.peg.138,3.419951893,0,0,Chlorobium tepidum TLS,194439.7,DNA gyrase subunit A (EC 5.99.1.3),NC_002932,gene142-CT0141,Chlorobium_tepidum_TLS,0
CT0155,194439.7.peg.152,29.06959109,0,0,Chlorobium tepidum TLS,194439.7,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),NC_002932,gene165-CT0155,Chlorobium_tepidum_TLS,0
