query,entrez,name,symbol,alias,taxid,MGI
239559,239559,"alpha 1,4-galactosyltransferase",A4galt,,10090,MGI:3512453
333424,333424,"alpha-1,4-N-acetylglucosaminyltransferase",A4gnt,"Alpha4gnt, Gm798",10090,MGI:2143261
78894,78894,acetoacetyl-CoA synthetase,Aacs,"2210408B16Rik, SUR5",10090,MGI:1926144
67758,67758,arylacetamide deacetylase,Aadac,"5033417E09Rik, Aada",10090,MGI:1915008
23923,23923,aminoadipate aminotransferase,Aadat,"Aadt, KATII, Kat2, Kyat2, mKat-2",10090,MGI:1345167
11298,11298,arylalkylamine N-acetyltransferase,Aanat,"AA-NAT, Nat-2, Nat4, Snat",10090,MGI:1328365
30956,30956,aminoadipate-semialdehyde synthase,Aass,"LKR, LKR/SDH, LOR, LOR/SDH, Lorsdh",10090,MGI:1353573
268860,268860,4-aminobutyrate aminotransferase,Abat,"9630038C02Rik, Gabaat, Gabat, Gm9851, I54",10090,MGI:2443582
11303,11303,"ATP-binding cassette, sub-family A member 1",Abca1,"ABC-1, Abc1",10090,MGI:99607
27413,27413,"ATP-binding cassette, sub-family B member 11",Abcb11,"ABC16, Bsep, Lith1, PFIC2, PGY4",10090,MGI:1351619
18670,18670,"ATP-binding cassette, sub-family B member 4",Abcb4,"Mdr2, Pgy-2, Pgy2, mdr-2",10090,MGI:97569
17250,17250,"ATP-binding cassette, sub-family C member 1",Abcc1,"Abcc1a, Abcc1b, MRP, Mdrap, Mrp1",10090,MGI:102676
76408,76408,"ATP-binding cassette, sub-family C member 3",Abcc3,"1700019L09Rik, ABC31, MLP2, MOAT-D, MRP3",10090,MGI:1923658
239273,239273,"ATP-binding cassette, sub-family C member 4",Abcc4,"ABCC4-N1, D630049P08Rik, MOATB, MRP4",10090,MGI:2443111
27416,27416,"ATP-binding cassette, sub-family C member 5",Abcc5,"2900011L11Rik, Abcc5a, Abcc5b, Mrp5",10090,MGI:1351644
113868,113868,acetyl-Coenzyme A acyltransferase 1A,Acaa1a,"Acaa, Acaa1, D9Ertd25e, PTL",10090,MGI:2148491
107476,107476,acetyl-Coenzyme A carboxylase alpha,Acaca,"A530025K05Rik, Acac, Acc1, Gm738",10090,MGI:108451
100705,100705,acetyl-Coenzyme A carboxylase beta,Acacb,"Acc2, Accb",10090,MGI:2140940
71985,71985,"acyl-Coenzyme A dehydrogenase family, member 10",Acad10,2410021P16Rik,10090,MGI:1919235
102632,102632,"acyl-Coenzyme A dehydrogenase family, member 11",Acad11,5730439E10Rik,10090,MGI:2143169
66948,66948,"acyl-Coenzyme A dehydrogenase family, member 8",Acad8,2310016C19Rik,10090,MGI:1914198
229211,229211,"acyl-Coenzyme A dehydrogenase family, member 9",Acad9,"2600017P15Rik, 4732402K02, C630012L17Rik, NPD002",10090,MGI:1914272
11364,11364,"acyl-Coenzyme A dehydrogenase, medium chain",Acadm,MCAD,10090,MGI:87867
11409,11409,"acyl-Coenzyme A dehydrogenase, short chain",Acads,"Bcd-1, Bcd1, Hdlq8, SCAD",10090,MGI:87868
66885,66885,"acyl-Coenzyme A dehydrogenase, short/branched chain",Acadsb,"1300003O09Rik, 2-MEBCAD, SBCAD",10090,MGI:1914135
110446,110446,acetyl-Coenzyme A acetyltransferase 1,Acat1,"6330585C21Rik, Acat",10090,MGI:87870
224530,224530,acetyl-Coenzyme A acetyltransferase 3,Acat3,ACTL,10090,MGI:109182
11423,11423,acetylcholinesterase,Ache,,10090,MGI:87876
104112,104112,ATP citrate lyase,Acly,A730098H14Rik,10090,MGI:103251
266645,266645,amino carboxymuconate semialdehyde decarboxylase,Acmsd,,10090,MGI:2386323
11428,11428,aconitase 1,Aco1,"Aco-1, Irebp, Irp1",10090,MGI:87879
11429,11429,"aconitase 2, mitochondrial",Aco2,"Aco-2, Aco3, D10Wsu183e, Irp1",10090,MGI:87880
74156,74156,acyl-CoA thioesterase 12,Acot12,"1300004O04Rik, 4930449F15Rik, CACH-1, Cach, mCACH-1",10090,MGI:1921406
171210,171210,acyl-CoA thioesterase 2,Acot2,"MTE-I, Mte1",10090,MGI:2159605
170789,170789,acyl-CoA thioesterase 8,Acot8,"PTE-1, PTE-2, Pte1",10090,MGI:2158201
11430,11430,"acyl-Coenzyme A oxidase 1, palmitoyl",Acox1,"AOX, Acox, D130055E20Rik, Paox",10090,MGI:1330812
93732,93732,"acyl-Coenzyme A oxidase 2, branched chain",Acox2,THCCox,10090,MGI:1934852
80911,80911,"acyl-Coenzyme A oxidase 3, pristanoyl",Acox3,"EST-s59, PCOX",10090,MGI:1933156
11431,11431,"acid phosphatase 1, soluble",Acp1,"4632432E04Rik, Acp-1, LMW-PTP, Lmptp",10090,MGI:87881
11432,11432,"acid phosphatase 2, lysosomal",Acp2,"Acp-2, LAP",10090,MGI:87882
14081,14081,acyl-CoA synthetase long-chain family member 1,Acsl1,"Acas, Acas1, Acs, FACS, Facl2",10090,MGI:102797
74205,74205,acyl-CoA synthetase long-chain family member 3,Acsl3,"2610510B12Rik, Acs3, Facl3, LACS 3, Pro2194",10090,MGI:1921455
50790,50790,acyl-CoA synthetase long-chain family member 4,Acsl4,"9430020A05Rik, ACS4, Facl4, Lacs4",10090,MGI:1354713
433256,433256,acyl-CoA synthetase long-chain family member 5,Acsl5,"1700030F05Rik, ACS2, ACS5, Facl5",10090,MGI:1919129
117147,117147,acyl-CoA synthetase medium-chain family member 1,Acsm1,"Acas3, Bucs1, Macs",10090,MGI:2152200
68738,68738,acyl-CoA synthetase short-chain family member 1,Acss1,"1110032O15Rik, Acas2, Acas2l, AceCS2",10090,MGI:1915988
60525,60525,acyl-CoA synthetase short-chain family member 2,Acss2,"1110017C11Rik, ACAS, ACS, Acas1, Acas2",10090,MGI:1890410
109652,109652,aminoacylase 1,Acy1,"1110014J22Rik, Acy-1",10090,MGI:87913
71670,71670,aminoacylase 3,Acy3,"0610006H10Rik, AA3, AAIII, Acy-3, HCBP1",10090,MGI:1918920
66204,66204,acylphosphatase 1,Acyp1,1110039O14Rik,10090,MGI:1913454
75572,75572,"acylphosphatase 2, muscle type",Acyp2,2310004B09Rik,10090,MGI:1922822
11486,11486,adenosine deaminase,Ada,,10090,MGI:87916
432530,432530,adenylate cyclase 1,Adcy1,"AC1, D11Bwg1392e, I-AC, brl",10090,MGI:99677
271639,271639,adenylate cyclase 10,Adcy10,"4930431D04Rik, 4931412F17, Sacy, sAC",10090,MGI:2660854
210044,210044,adenylate cyclase 2,Adcy2,mKIAA1060,10090,MGI:99676
104111,104111,adenylate cyclase 3,Adcy3,"AC3, ACIII, mKIAA0511",10090,MGI:99675
104110,104110,adenylate cyclase 4,Adcy4,mKIAA4004,10090,MGI:99674
224129,224129,adenylate cyclase 5,Adcy5,Ac5,10090,MGI:99673
11512,11512,adenylate cyclase 6,Adcy6,"AC6, mKIAA0422",10090,MGI:87917
11513,11513,adenylate cyclase 7,Adcy7,,10090,MGI:102891
11514,11514,adenylate cyclase 8,Adcy8,AC8,10090,MGI:1341110
11515,11515,adenylate cyclase 9,Adcy9,"AC9, ACtp10, D16Wsu65e, mKIAA0520",10090,MGI:108450
11532,11532,"alcohol dehydrogenase 5 (class III), chi polypeptide",Adh5,"Adh-5, Adh3, GSNOR",10090,MGI:87929
11534,11534,adenosine kinase,Adk,"2310026J05Rik, 5033405D03Rik, Ak",10090,MGI:87930
11564,11564,adenylosuccinate lyase,Adsl,"Adl, Asl",10090,MGI:103202
11565,11565,adenylosuccinate synthase 1,Adss1,"Adss, Adssl1",10090,MGI:87947
11566,11566,adenylosuccinate synthase 2,Adss2,"AS, Adss, adSS 2",10090,MGI:87948
11593,11593,aspartylglucosaminidase,Aga,,10090,MGI:104873
77559,77559,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase",Agl,"1110061O17Rik, 9430004C13Rik, 9630046L06Rik",10090,MGI:1924809
75986,75986,agmatinase,Agmat,5033405N08Rik,10090,MGI:1923236
55979,55979,1-acylglycerol-3-phosphate O-acyltransferase 1,Agpat1,"1-AGP, 1-AGPAT",10090,MGI:1932075
67512,67512,1-acylglycerol-3-phosphate O-acyltransferase 2,Agpat2,"1-AGPAT 2, 2510002J07Rik, BSCL, BSCL1, LPAAB",10090,MGI:1914762
28169,28169,1-acylglycerol-3-phosphate O-acyltransferase 3,Agpat3,"D10Jhu12e, lpaat3",10090,MGI:1336186
68262,68262,1-acylglycerol-3-phosphate O-acyltransferase 4,Agpat4,1500003P24Rik,10090,MGI:1915512
52123,52123,1-acylglycerol-3-phosphate O-acyltransferase 5,Agpat5,"1110013A05Rik, D8Ertd319e",10090,MGI:1196345
228061,228061,alkylglycerone phosphate synthase,Agps,"5832437L22, 9930035G10Rik, Adaps, Adas, Adhaps",10090,MGI:2443065
11611,11611,alanine-glyoxylate aminotransferase,Agxt,"AGT, Agt1, Agxt1, SPT",10090,MGI:1329033
268782,268782,alanine-glyoxylate aminotransferase 2,Agxt2,,10090,MGI:2146052
269378,269378,S-adenosylhomocysteine hydrolase,Ahcy,"CuBP, SAHH",10090,MGI:87968
229709,229709,S-adenosylhomocysteine hydrolase-like 1,Ahcyl1,"1110034F20Rik, Ahcy-rs3, DCAL, Irbit",10090,MGI:2385184
74340,74340,S-adenosylhomocysteine hydrolase-like 2,Ahcyl2,"4631427C17Rik, Adohcyase3, mKIAA0828",10090,MGI:1921590
11628,11628,activation-induced cytidine deaminase,Aicda,"Aid, Arp2",10090,MGI:1342279
11636,11636,adenylate kinase 1,Ak1,"Ak-1, B430205N08Rik",10090,MGI:87977
56248,56248,adenylate kinase 3,Ak3,"AK-3, Ak3l, Ak3l1, Akl3l",10090,MGI:1860835
229949,229949,adenylate kinase 5,Ak5,,10090,MGI:2677491
78801,78801,adenylate kinase 7,Ak7,"4930502N02Rik, AK 7",10090,MGI:1926051
58810,58810,"aldo-keto reductase family 1, member A1",Akr1a1,"2610201A18Rik, Akr1a4",10090,MGI:1929955
11677,11677,aldo-keto reductase family 1 member B,Akr1b1,"ALR2, AR, Ahr-1, Ahr1, Akr1b3",10090,MGI:1353494
77337,77337,"aldo-keto reductase family 1, member C21",Akr1c21,9430025F20Rik,10090,MGI:1924587
83702,83702,"aldo-keto reductase family 1, member C6",Akr1c6,"3alpha-HSD, Akr1c1, Hsd17b5",10090,MGI:1933427
208665,208665,"aldo-keto reductase family 1, member D1",Akr1d1,,10090,MGI:2384785
